"Fecha","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
2013-11-01,98.2600021362305,100.139999389648,97.2699966430664,99.9100036621094,977300,91.2978591918945
2013-11-04,99.8600006103516,100.269996643066,99.3199996948242,99.379997253418,675900,90.8135452270508
2013-11-05,99.2699966430664,100.279998779297,98.5199966430664,99.2600021362305,618500,90.703857421875
2013-11-06,100,100.019996643066,98.1399993896484,98.5100021362305,684000,90.0184860229492
2013-11-07,98.5100021362305,99.25,96.5800018310547,96.6699981689453,651100,88.3371200561523
2013-11-08,96.9199981689453,97.9599990844727,96.6500015258789,96.9599990844727,426200,88.6021194458008
2013-11-11,96.7600021362305,99.5299987792969,96.7600021362305,99.4400024414062,728300,90.8683395385742
2013-11-12,98.9800033569336,99.3099975585938,98.5,99.2399978637695,419000,90.6855850219727
2013-11-13,99.0699996948242,100.190002441406,98.9100036621094,99.6800003051758,367300,91.0876693725586
2013-11-14,99.5800018310547,99.9499969482422,98.1399993896484,98.879997253418,289000,90.3566436767578
2013-11-15,99.25,99.5400009155273,98.6900024414062,99.3399963378906,402600,90.7769927978516
2013-11-18,99.6800003051758,99.9899978637695,97.9000015258789,98.3099975585938,407300,89.8357467651367
2013-11-19,98.3300018310547,98.3300018310547,96.9899978637695,97.0599975585938,476400,88.693489074707
2013-11-20,97.8099975585938,98.379997253418,96.7600021362305,97.6699981689453,308800,89.2509384155273
2013-11-21,100,100.879997253418,99.1600036621094,100.040000915527,949900,91.4166412353516
2013-11-22,100,100.220001220703,99.2099990844727,100.099998474121,915500,91.4714508056641
2013-11-25,100.050003051758,100.419998168945,99.1500015258789,100.120002746582,750100,91.4897689819336
2013-11-26,100,102.839996337891,99.9499969482422,101.51000213623,2340800,92.7599334716797
2013-11-27,102.26000213623,102.669998168945,101.410003662109,102.029998779297,400600,93.2351150512695
2013-11-29,101.879997253418,102.110000610352,101.01000213623,101.01000213623,247600,92.3030166625977
2013-12-02,101.349998474121,103.400001525879,100.940002441406,103.050003051758,650400,94.1671676635742
2013-12-03,102.269996643066,107.23999786377,102.269996643066,107.120002746582,1766500,97.886344909668
2013-12-04,106.25,107.720001220703,104.25,105.709999084473,1425400,96.5978927612305
2013-12-05,104.650001525879,105.620002746582,104,104.949996948242,852800,95.9033889770508
2013-12-06,106.650001525879,106.900001525879,103.75,104.550003051758,1178200,95.5378646850586
2013-12-09,104.75,105.599998474121,103.940002441406,104.330001831055,760600,95.3368301391602
2013-12-10,105.470001220703,111.529998779297,105.230003356934,109.449996948242,1707500,100.015525817871
2013-12-11,109.550003051758,109.949996948242,106.889999389648,107.050003051758,1043200,97.822380065918
2013-12-12,106.779998779297,108.080001831055,106.559997558594,107.930000305176,941800,98.6265106201172
2013-12-13,110.550003051758,110.550003051758,108.190002441406,109.849998474121,1433100,100.381004333496
2013-12-16,110.01000213623,110.400001525879,108.879997253418,109.269996643066,774400,99.8510055541992
2013-12-17,109.629997253418,109.879997253418,108.029998779297,108.459999084473,846300,99.1108322143555
2013-12-18,108.849998474121,109.559997558594,106.879997253418,109.269996643066,1104500,99.9062728881836
2013-12-19,109.199996948242,109.480003356934,107.75,108.400001525879,623500,99.11083984375
2013-12-20,108.51000213623,109.959999084473,108.51000213623,109.360000610352,1013900,99.9885635375977
2013-12-23,109.779998779297,110.339996337891,109.190002441406,109.839996337891,620000,100.42741394043
2013-12-24,109.769996643066,110.940002441406,109.580001831055,110.279998779297,130700,100.829727172852
2013-12-26,110.169998168945,110.970001220703,109.559997558594,110.169998168945,563400,100.729148864746
2013-12-27,110.300003051758,111.940002441406,109.629997253418,109.919998168945,364200,100.500602722168
2013-12-30,110.339996337891,110.580001831055,108.76000213623,109.629997253418,479700,100.235412597656
2013-12-31,109.800003051758,111.410003662109,109.48999786377,110.680000305176,381300,101.195472717285
2014-01-02,110.360000610352,111.879997253418,109.290000915527,109.73999786377,542700,100.335998535156
2014-01-03,111.230003356934,114.330001831055,110.580001831055,112.879997253418,987700,103.206909179688
2014-01-06,113.099998474121,113.910003662109,111.440002441406,111.800003051758,1030200,102.219497680664
2014-01-07,111.980003356934,113.400001525879,111.629997253418,113.180000305176,922800,103.48120880127
2014-01-08,112.470001220703,113.620002746582,111.910003662109,112.300003051758,777200,102.676612854004
2014-01-09,113.059997558594,114.220001220703,112.709999084473,113.550003051758,486800,103.819526672363
2014-01-10,114.279998779297,115.800003051758,113.639999389648,115.639999389648,678600,105.730392456055
2014-01-13,115.449996948242,115.98999786377,113.769996643066,114.290000915527,941700,104.496101379395
2014-01-14,115.400001525879,117.98999786377,113.819999694824,117.599998474121,819500,107.522453308105
