"Fecha","FLT.Open","FLT.High","FLT.Low","FLT.Close","FLT.Volume","FLT.Adjusted"
2013-11-01,115.080001831055,116.949996948242,113.169998168945,114.160003662109,851000,114.160003662109
2013-11-04,114.5,115.180000305176,113.25,114.400001525879,681900,114.400001525879
2013-11-05,114.019996643066,116.669998168945,113.01000213623,116.269996643066,745200,116.269996643066
2013-11-06,116.529998779297,117.099998474121,113.599998474121,114.709999084473,517200,114.709999084473
2013-11-07,115.019996643066,115.379997253418,110.5,111.180000305176,715000,111.180000305176
2013-11-08,112.080001831055,114.089996337891,111.48999786377,113.599998474121,482400,113.599998474121
2013-11-11,113.73999786377,115.290000915527,113.160003662109,114.860000610352,545200,114.860000610352
2013-11-12,114.379997253418,115.400001525879,114.169998168945,114.819999694824,459700,114.819999694824
2013-11-13,114.120002746582,117.059997558594,113.800003051758,116.98999786377,569700,116.98999786377
2013-11-14,117.180000305176,117.569999694824,116.110000610352,117.48999786377,379400,117.48999786377
2013-11-15,117.129997253418,118.480003356934,116.019996643066,118.199996948242,476500,118.199996948242
2013-11-18,118.550003051758,120.23999786377,117.23999786377,118.029998779297,686800,118.029998779297
2013-11-19,118.190002441406,118.610000610352,115.980003356934,116.080001831055,765900,116.080001831055
2013-11-20,116.180000305176,117.709999084473,116.099998474121,116.980003356934,700800,116.980003356934
2013-11-21,117.73999786377,119.720001220703,117.029998779297,119.360000610352,624300,119.360000610352
2013-11-22,120,122.089996337891,119.73999786377,120.930000305176,1296700,120.930000305176
2013-11-25,121.900001525879,122.339996337891,120.099998474121,120.720001220703,1265100,120.720001220703
2013-11-26,121.150001525879,121.860000610352,119.440002441406,120.519996643066,3568900,120.519996643066
2013-11-27,120.550003051758,121.410003662109,119.73999786377,121.199996948242,443700,121.199996948242
2013-11-29,120.98999786377,122.790000915527,120.559997558594,121.779998779297,245900,121.779998779297
2013-12-02,122.400001525879,123.959999084473,121.5,122.699996948242,928400,122.699996948242
2013-12-03,122.180000305176,123,121.150001525879,122.050003051758,678200,122.050003051758
2013-12-04,121.660003662109,122.75,120.709999084473,121.98999786377,523000,121.98999786377
2013-12-05,121.169998168945,123.319999694824,121.169998168945,122.190002441406,561900,122.190002441406
2013-12-06,119.300003051758,120.209999084473,117.629997253418,118.730003356934,2107800,118.730003356934
2013-12-09,119,119.720001220703,117.819999694824,118.309997558594,985000,118.309997558594
2013-12-10,118,119.48999786377,117.059997558594,118.480003356934,696900,118.480003356934
2013-12-11,118.330001831055,118.730003356934,116.470001220703,116.779998779297,476200,116.779998779297
2013-12-12,116.400001525879,117.459999084473,115.620002746582,116.589996337891,487600,116.589996337891
2013-12-13,117.139999389648,118.51000213623,116.51000213623,118.120002746582,506700,118.120002746582
2013-12-16,118.910003662109,120,118.330001831055,118.599998474121,624800,118.599998474121
2013-12-17,118.73999786377,119.23999786377,116.949996948242,118.150001525879,670200,118.150001525879
2013-12-18,118.73999786377,119.419998168945,116.029998779297,119.120002746582,413900,119.120002746582
2013-12-19,118.809997558594,119.26000213623,116.860000610352,117.059997558594,563400,117.059997558594
2013-12-20,117.779998779297,119.019996643066,116.860000610352,117.870002746582,830100,117.870002746582
