"Fecha","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
2013-11-01,100.669998168945,101.290000915527,100.269996643066,101.059997558594,1088600,80.5060958862305
2013-11-04,101,101.599998474121,100.75,101.23999786377,1237200,80.6494827270508
2013-11-05,101.029998779297,101.769996643066,100.569999694824,101.269996643066,891500,80.6734008789062
2013-11-06,101.819999694824,102.730003356934,101.769996643066,102.209999084473,1464700,81.4222183227539
2013-11-07,102.220001220703,102.860000610352,100.220001220703,100.430000305176,1497200,80.4133224487305
2013-11-08,100.410003662109,103.220001220703,100.26000213623,103.120002746582,1724000,82.5671920776367
2013-11-11,103.309997558594,104.209999084473,102.849998474121,103.839996337891,884600,83.1436767578125
2013-11-12,103.190002441406,103.830001831055,102.360000610352,102.870002746582,1124100,82.3670043945312
2013-11-13,102.160003662109,104.209999084473,102.089996337891,104.160003662109,1186700,83.3999176025391
2013-11-14,104.209999084473,105.309997558594,103.959999084473,105.220001220703,736000,84.248649597168
2013-11-15,105.300003051758,105.790000915527,104.930000305176,105.470001220703,1083100,84.4488067626953
2013-11-18,105.919998168945,106.180000305176,104.930000305176,105.25,826700,84.2726669311523
2013-11-19,105.25,106.040000915527,105.069999694824,105.199996948242,1073300,84.2326354980469
2013-11-20,105.25,106.290000915527,104.809997558594,105.470001220703,850500,84.4488067626953
2013-11-21,105.660003662109,107.01000213623,105.660003662109,106.790000915527,1248000,85.5057220458984
2013-11-22,106.790000915527,107.690002441406,106.5,107.580001831055,1242800,86.1382522583008
2013-11-25,107.959999084473,108.120002746582,107.339996337891,107.5,822400,86.07421875
2013-11-26,107.599998474121,109.059997558594,107.529998779297,108.300003051758,1398600,86.7147674560547
2013-11-27,108.5,108.970001220703,108.059997558594,108.529998779297,646100,86.8989334106445
2013-11-29,108.800003051758,109.120002746582,108.230003356934,108.25,330500,86.6747436523438
2013-12-02,108.309997558594,109.559997558594,108.089996337891,108.230003356934,941200,86.6587142944336
2013-12-03,107.459999084473,107.970001220703,106.519996643066,106.900001525879,1123700,85.5938034057617
2013-12-04,106.51000213623,107.809997558594,105.730003356934,107.01000213623,863100,85.6818695068359
2013-12-05,106.440002441406,106.720001220703,105.680000305176,106.230003356934,805700,85.0573425292969
2013-12-06,107.730003356934,109.220001220703,107.690002441406,108.98999786377,875600,87.2672500610352
2013-12-09,109.029998779297,109.870002746582,108.650001525879,108.98999786377,1281600,87.2672500610352
2013-12-10,108.519996643066,108.519996643066,107.410003662109,108.180000305176,1323500,86.6186828613281
2013-12-11,108.23999786377,108.620002746582,106.190002441406,106.400001525879,1161900,85.1934356689453
2013-12-12,106.25,107.290000915527,106.110000610352,106.519996643066,1069000,85.2895431518555
2013-12-13,106.860000610352,107.529998779297,106.089996337891,106.680000305176,1121700,85.4176712036133
2013-12-16,107.51000213623,109.190002441406,107.379997253418,109,1150800,87.2752685546875
2013-12-17,108.849998474121,109.230003356934,108.5,108.580001831055,1193800,86.9389801025391
2013-12-18,109.120002746582,111.849998474121,107.809997558594,111.819999694824,1250700,89.5332107543945
2013-12-19,111.430000305176,111.5,110.650001525879,110.839996337891,1269300,88.7485122680664
2013-12-20,111.25,112.669998168945,111,111.809997558594,1796200,89.5251770019531
2013-12-23,112.76000213623,113.430000305176,112.339996337891,113.069999694824,869300,90.5340576171875
2013-12-24,112.430000305176,113.069999694824,112.199996948242,112.879997253418,378700,90.3819122314453
2013-12-26,113.150001525879,114.150001525879,112.790000915527,113.809997558594,412400,91.126594543457
2013-12-27,113.910003662109,114.269996643066,113.440002441406,113.940002441406,465000,91.2306823730469
2013-12-30,113.860000610352,114.330001831055,113.389999389648,113.589996337891,492600,90.9504241943359
2013-12-31,113.73999786377,115.360000610352,113.73999786377,115.050003051758,686500,92.1194229125977
2014-01-02,114.580001831055,114.809997558594,113.419998168945,113.879997253418,783800,91.1826400756836
2014-01-03,113.860000610352,114.839996337891,113.410003662109,113.900001525879,980000,91.1986236572266
2014-01-06,114.550003051758,115.720001220703,112.769996643066,113.599998474121,2009300,90.9584121704102
2014-01-07,113.819999694824,115.110000610352,113.629997253418,114.569999694824,1571500,91.7351226806641
2014-01-08,115.040000915527,116.730003356934,114.75,115.800003051758,1944300,92.7199478149414
2014-01-09,116.23999786377,116.819999694824,115.150001525879,115.51000213623,1924500,92.4877395629883
2014-01-10,115.709999084473,115.839996337891,114.370002746582,115.059997558594,1154200,92.1274337768555
2014-01-13,114.930000305176,115.330001831055,112.889999389648,113.180000305176,1202700,90.6221466064453
2014-01-14,113.620002746582,114.290000915527,113.120002746582,114.209999084473,1392400,91.4468460083008
2014-01-15,114.389999389648,114.660003662109,113.699996948242,114.360000610352,1238500,91.5669479370117
2014-01-16,114.290000915527,114.360000610352,113.569999694824,113.660003662109,991700,91.006477355957
2014-01-17,113.480003356934,114.26000213623,113,113.370002746582,1154900,90.7742691040039
2014-01-21,113.919998168945,114.620002746582,113.190002441406,114.139999389648,1240300,91.3907928466797
2014-01-22,114.51000213623,114.949996948242,113.75,114.769996643066,1008500,91.8952255249023
2014-01-23,114.110000610352,114.120002746582,111.029998779297,111.23999786377,1613000,89.0688171386719
2014-01-24,110.180000305176,110.900001525879,106.699996948242,106.790000915527,1529500,85.5057220458984
