"Fecha","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
2013-11-01,54.3800010681152,54.7900009155273,53.8699989318848,54.189998626709,1310900,54.189998626709
2013-11-04,54.439998626709,54.5699996948242,54.0200004577637,54.3699989318848,1024800,54.3699989318848
2013-11-05,54.0800018310547,54.5999984741211,53.9199981689453,54.2999992370605,1069500,54.2999992370605
2013-11-06,54.5200004577637,54.6300010681152,54.2599983215332,54.310001373291,995700,54.310001373291
2013-11-07,54.4099998474121,54.5900001525879,53.2299995422363,53.2900009155273,843700,53.2900009155273
2013-11-08,53.3499984741211,54.4799995422363,53.3499984741211,54.1500015258789,1151400,54.1500015258789
2013-11-11,54.2599983215332,54.6699981689453,54.0200004577637,54.2999992370605,743800,54.2999992370605
2013-11-12,54.0400009155273,54.810001373291,53.9599990844727,54.7299995422363,782000,54.7299995422363
2013-11-13,54.3699989318848,55.0999984741211,54.0800018310547,55.0999984741211,709500,55.0999984741211
2013-11-14,54.9900016784668,55.9500007629395,54.7900009155273,55.810001373291,1690800,55.810001373291
2013-11-15,55.7799987792969,56.0900001525879,55.5999984741211,55.6500015258789,906900,55.6500015258789
2013-11-18,55.8699989318848,56.1699981689453,55.4300003051758,55.4900016784668,619400,55.4900016784668
2013-11-19,55.4199981689453,55.9799995422363,55.0900001525879,55.4900016784668,1025800,55.4900016784668
2013-11-20,55.7299995422363,55.9500007629395,55.1500015258789,55.2799987792969,1577300,55.2799987792969
2013-11-21,55.310001373291,56.1199989318848,55.310001373291,55.939998626709,1102400,55.939998626709
2013-11-22,56.1399993896484,56.7299995422363,56,56.7200012207031,1073600,56.7200012207031
2013-11-25,57,57.0299987792969,56.060001373291,56.4500007629395,854800,56.4500007629395
2013-11-26,56.5699996948242,56.9900016784668,56.4199981689453,56.5800018310547,1144100,56.5800018310547
2013-11-27,56.5699996948242,56.9500007629395,56.5400009155273,56.7000007629395,612800,56.7000007629395
2013-11-29,56.6800003051758,57.2999992370605,56.6500015258789,56.8600006103516,652300,56.8600006103516
2013-12-02,57.060001373291,57.3300018310547,56.8600006103516,57.1699981689453,1007400,57.1699981689453
2013-12-03,56.9000015258789,57.3600006103516,56.5400009155273,56.6599998474121,1498800,56.6599998474121
2013-12-04,56.4199981689453,57.1500015258789,56.2400016784668,56.8300018310547,999000,56.8300018310547
2013-12-05,56.7200012207031,57,56.3699989318848,56.8899993896484,854500,56.8899993896484
2013-12-06,57.4799995422363,57.9099998474121,56.7900009155273,57.2000007629395,760100,57.2000007629395
2013-12-09,57.0999984741211,57.310001373291,56.5900001525879,56.7700004577637,870900,56.7700004577637
2013-12-10,56.7599983215332,57.6100006103516,56.7599983215332,57.3499984741211,1239000,57.3499984741211
2013-12-11,57.3199996948242,57.3199996948242,56.1800003051758,56.2900009155273,1466200,56.2900009155273
2013-12-12,56.1500015258789,56.8300018310547,55.7200012207031,56.439998626709,2103400,56.439998626709
2013-12-13,56.6599998474121,57.5499992370605,56.560001373291,57.0499992370605,1286600,57.0499992370605
2013-12-16,57.439998626709,57.8899993896484,56.9900016784668,57.7599983215332,1232200,57.7599983215332
2013-12-17,57.8400001525879,57.9799995422363,57.5099983215332,57.7900009155273,1004100,57.7900009155273
2013-12-18,57.6699981689453,58.3300018310547,57.25,58.3199996948242,1670000,58.3199996948242
2013-12-19,58.189998626709,58.5999984741211,57.9099998474121,58.1300010681152,1597700,58.1300010681152
