"Fecha","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
2013-11-01,436.010009765625,437.940002441406,430,434.829986572266,156000,434.829986572266
2013-11-04,434.959991455078,439.640014648438,433.570007324219,436.510009765625,180900,436.510009765625
2013-11-05,438.190002441406,442.980010986328,432.549987792969,442.059997558594,245500,442.059997558594
2013-11-06,444.309997558594,447.799987792969,441.109985351562,447.420013427734,234600,447.420013427734
2013-11-07,447,448.299987792969,443.230010986328,443.489990234375,253200,443.489990234375
2013-11-08,443.579986572266,449.119995117188,440.239990234375,448.549987792969,243700,448.549987792969
2013-11-11,443.609985351562,449.799987792969,440.5,447.790008544922,169100,447.790008544922
2013-11-12,448.130004882812,451.549987792969,444.869995117188,451.549987792969,275200,451.549987792969
2013-11-13,450.570007324219,456.940002441406,450.570007324219,456.880004882812,172700,456.880004882812
2013-11-14,457.5,458.959991455078,455.950012207031,458.339996337891,167600,458.339996337891
2013-11-15,455.929992675781,465.700012207031,455.929992675781,464.079986572266,201800,464.079986572266
2013-11-18,465,465.140014648438,458.459991455078,459.559997558594,200900,459.559997558594
2013-11-19,458.549987792969,465.5,457.429992675781,463.839996337891,191100,463.839996337891
2013-11-20,464.559997558594,467.869995117188,459.950012207031,461.299987792969,110300,461.299987792969
2013-11-21,463.709991455078,469.609985351562,460.709991455078,469.339996337891,139900,469.339996337891
2013-11-22,467.450012207031,469.420013427734,466.420013427734,467.690002441406,197600,467.690002441406
2013-11-25,466.769989013672,470.470001220703,465.010009765625,465.700012207031,146600,465.700012207031
2013-11-26,461.200012207031,463.359985351562,457,457.279998779297,378500,457.279998779297
2013-11-27,458.859985351562,462.329986572266,456.880004882812,458.799987792969,256100,458.799987792969
2013-11-29,459.109985351562,463.709991455078,458.279998779297,461.600006103516,163300,461.600006103516
2013-12-02,460.519989013672,463.529998779297,459,459.619995117188,172800,459.619995117188
2013-12-03,457.609985351562,461.640014648438,455.410003662109,460.510009765625,197100,460.510009765625
2013-12-04,460.209991455078,462.799987792969,454.880004882812,456.019989013672,232900,456.019989013672
2013-12-05,459.989990234375,463.190002441406,457.359985351562,460,226200,460
2013-12-06,462.630004882812,464.100006103516,458.869995117188,459.600006103516,228200,459.600006103516
2013-12-09,456.880004882812,462.730010986328,456.029998779297,457.339996337891,567100,457.339996337891
2013-12-10,467.470001220703,484.160003662109,461.609985351562,471.859985351562,965300,471.859985351562
2013-12-11,470.859985351562,473.679992675781,466.239990234375,467.790008544922,448100,467.790008544922
2013-12-12,466.380004882812,469.410003662109,463.5,465.899993896484,266200,465.899993896484
2013-12-13,466.290008544922,470.769989013672,463.850006103516,465.179992675781,217200,465.179992675781
2013-12-16,466.269989013672,469.070007324219,463.700012207031,464,280500,464
2013-12-17,463.769989013672,467.339996337891,461.140014648438,461.760009765625,274300,461.760009765625
2013-12-18,464.75,471.200012207031,461.600006103516,470.559997558594,319300,470.559997558594
2013-12-19,471.239990234375,473.329986572266,467.399993896484,470.839996337891,287300,470.839996337891
