"Fecha","DOW.Open","DOW.High","DOW.Low","DOW.Close","DOW.Volume","DOW.Adjusted"
2019-03-20,52.75,53.5,49.5,49.7999992370605,2350800,39.2387962341309
2019-03-21,49.9900016784668,50,48.2000007629395,48.9799995422363,1764700,38.592700958252
2019-03-22,48.7999992370605,49.9500007629395,48.1599998474121,48.5999984741211,844700,38.2932891845703
2019-03-25,48.5999984741211,49.4000015258789,48,49.1500015258789,440900,38.7266540527344
2019-03-26,49,49.75,48.1800003051758,48.8499984741211,504700,38.4902572631836
2019-03-27,49,50.7799987792969,49,50.0999984741211,1788600,39.4751739501953
2019-03-28,50.9000015258789,51,49.9150009155273,50.8499984741211,585400,40.0661201477051
2019-03-29,49.5200004577637,52.4799995422363,49.1800003051758,51.6300010681152,1769000,40.6807098388672
2019-04-01,52.2999992370605,54.3899993896484,51.25,53.5,19663400,42.1541366577148
2019-04-02,55.1199989318848,57.3899993896484,54.2999992370605,56.25,17414200,44.3209381103516
2019-04-03,57.0800018310547,57.2000007629395,55.5099983215332,56.8800010681152,15066200,44.8173370361328
2019-04-04,57.2000007629395,60.5200004577637,57.0999984741211,59.7099990844727,13309200,47.0471649169922
2019-04-05,58.3899993896484,58.9799995422363,56.2700004577637,57.2400016784668,17000800,45.1009902954102
2019-04-08,56.5,58.3899993896484,56.2700004577637,57.1500015258789,10764600,45.0300674438477
2019-04-09,56.7999992370605,57.2000007629395,56.0800018310547,56.2700004577637,9179900,44.3367004394531
2019-04-10,55.9900016784668,56.4099998474121,55.0999984741211,55.7099990844727,9081900,43.8954544067383
2019-04-11,55.7000007629395,56.2099990844727,54.8300018310547,54.8899993896484,7346100,43.2493629455566
2019-04-12,55.9300003051758,58.3300018310547,55.9300003051758,58.2999992370605,9281700,45.9361953735352
2019-04-15,58.5699996948242,58.8499984741211,57.2900009155273,57.7799987792969,5727300,45.5264701843262
2019-04-16,58.7099990844727,58.9900016784668,57.8400001525879,58.5,6681600,46.0937805175781
2019-04-17,58.9500007629395,59.0499992370605,58.2000007629395,58.3199996948242,6420700,45.9519500732422
2019-04-18,58.3600006103516,58.6100006103516,57.5499992370605,57.7700004577637,5178800,45.5185852050781
2019-04-22,57.4799995422363,58.4099998474121,57.2599983215332,57.8899993896484,4401700,45.6131401062012
2019-04-23,57.2900009155273,57.8400001525879,57,57.6399993896484,5687200,45.4161529541016
2019-04-24,57.4900016784668,57.8899993896484,55.8650016784668,55.9799995422363,5431300,44.1081962585449
2019-04-25,55.7599983215332,55.9799995422363,54.8199996948242,55.3300018310547,6260500,43.5960502624512
2019-04-26,55.2999992370605,55.5999984741211,54.9500007629395,55.25,4009800,43.5330085754395
2019-04-29,55.0499992370605,55.685001373291,54.7999992370605,55.5,5935200,43.7299957275391
2019-04-30,55.7599983215332,57.2050018310547,55.5999984741211,56.7299995422363,6454100,44.6991424560547
2019-05-01,56.8199996948242,57.4799995422363,55.8800010681152,56.1300010681152,7644400,44.2263793945312
2019-05-02,55.5400009155273,56.4900016784668,52.0299987792969,52.7000007629395,13932700,41.5237922668457
2019-05-03,53.2000007629395,53.3499984741211,51.7200012207031,53.2999992370605,7401700,41.9965476989746
2019-05-06,52.1500015258789,54.0299987792969,51.7000007629395,53.4599990844727,6089500,42.122615814209
