"Fecha","FI.Open","FI.High","FI.Low","FI.Close","FI.Volume","FI.Adjusted"
2013-11-01,26.2075004577637,26.2574996948242,26.0650005340576,26.2124996185303,1978400,26.2124996185303
2013-11-04,26.2749996185303,26.375,26.1774997711182,26.2749996185303,1253200,26.2749996185303
2013-11-05,26.1025009155273,26.2024993896484,26.0125007629395,26.1725006103516,2106400,26.1725006103516
2013-11-06,26.0925006866455,26.3325004577637,26.0925006866455,26.3274993896484,1272400,26.3274993896484
2013-11-07,26.4500007629395,26.4524993896484,25.9325008392334,25.9650001525879,1298000,25.9650001525879
2013-11-08,25.9500007629395,26.4174995422363,25.9099998474121,26.4050006866455,1682800,26.4050006866455
2013-11-11,26.3500003814697,26.4125003814697,26.2574996948242,26.3449993133545,923200,26.3449993133545
2013-11-12,26.2250003814697,26.4249992370605,26.1075000762939,26.4074993133545,1771600,26.4074993133545
2013-11-13,26.2350006103516,26.8050003051758,26.2150001525879,26.7975006103516,2078400,26.7975006103516
2013-11-14,26.8875007629395,27.0149993896484,26.7325000762939,26.7999992370605,1682400,26.7999992370605
2013-11-15,26.7325000762939,27.1700000762939,26.7000007629395,27.1525001525879,2509200,27.1525001525879
2013-11-18,27.125,27.4050006866455,27.1175003051758,27.3724994659424,2155600,27.3724994659424
2013-11-19,27.375,27.6299991607666,27.2425003051758,27.2600002288818,2215600,27.2600002288818
2013-11-20,27.2224998474121,27.3875007629395,27.0074996948242,27.0750007629395,1477200,27.0750007629395
2013-11-21,27.3024997711182,27.5249996185303,27.1825008392334,27.4950008392334,1825200,27.4950008392334
2013-11-22,27.5900001525879,27.6450004577637,27.4449996948242,27.5275001525879,1814800,27.5275001525879
2013-11-25,27.6749992370605,27.6825008392334,27.3575000762939,27.375,1808800,27.375
2013-11-26,27.5849990844727,27.6499996185303,27.4174995422363,27.5650005340576,2841200,27.5650005340576
2013-11-27,29.0925006866455,29.0925006866455,27.5750007629395,27.6875,1280400,27.6875
2013-11-29,27.5674991607666,27.7800006866455,27.4650001525879,27.4724998474121,1581200,27.4724998474121
2013-12-02,27.6175003051758,27.8425006866455,27.4874992370605,27.75,3694400,27.75
2013-12-03,27.5599994659424,27.8199996948242,27.4925003051758,27.5249996185303,1991200,27.5249996185303
2013-12-04,27.3199996948242,27.5300006866455,27.0475006103516,27.2775001525879,1326400,27.2775001525879
2013-12-05,27.2450008392334,27.3349990844727,27.0625,27.0699996948242,1501200,27.0699996948242
2013-12-06,27.3474998474121,27.7975006103516,27.1200008392334,27.7900009155273,1869600,27.7900009155273
2013-12-09,28.1025009155273,28.2175006866455,27.5650005340576,27.7800006866455,1463200,27.7800006866455
2013-12-10,27.6450004577637,27.9125003814697,27.6450004577637,27.7824993133545,1540400,27.7824993133545
2013-12-11,27.7250003814697,27.8624992370605,27.5650005340576,27.5974998474121,1782000,27.5974998474121
2013-12-12,27.7350006103516,28.1100006103516,27.5825004577637,27.9950008392334,2684400,27.9950008392334
2013-12-13,28.1900005340576,28.1900005340576,27.8850002288818,27.9599990844727,1712800,27.9599990844727
2013-12-16,28.0149993896484,28.4050006866455,28.0149993896484,28.3449993133545,2362000,28.3449993133545
2013-12-17,28.4200000762939,28.5,27.9799995422363,28.3050003051758,2518600,28.3050003051758
