"Fecha","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
2013-11-01,86.4000015258789,87.3399963378906,86.25,87,2027400,70.2124404907227
2013-11-04,87.4599990844727,87.879997253418,86.5100021362305,86.8399963378906,1651000,70.0833053588867
2013-11-05,86.5999984741211,86.9400024414062,86.2600021362305,86.4300003051758,1574400,69.7524261474609
2013-11-06,86.5899963378906,86.9300003051758,85.8199996948242,86.4599990844727,1839800,69.7766418457031
2013-11-07,86.9100036621094,87.3399963378906,85.2300033569336,85.4800033569336,1763600,68.9857330322266
2013-11-08,85.5500030517578,85.7600021362305,85,85.620002746582,2090600,69.0987243652344
2013-11-11,85.4300003051758,86.8600006103516,85.4100036621094,86.3600006103516,1492600,69.6959533691406
2013-11-12,86.3099975585938,86.75,85.9199981689453,86.6500015258789,1511300,69.9299774169922
2013-11-13,86.2200012207031,87.6500015258789,86.0299987792969,87.620002746582,1382100,70.7128219604492
2013-11-14,87.75,87.8600006103516,87.2699966430664,87.3399963378906,1636500,70.4868316650391
2013-11-15,87.2900009155273,87.620002746582,86.8000030517578,87.1500015258789,1320400,70.3335266113281
2013-11-18,87,87.7600021362305,86.9499969482422,87.2300033569336,1018200,70.3980712890625
2013-11-19,87.2699966430664,87.2699966430664,85.9800033569336,86.3000030517578,1270700,69.6474990844727
2013-11-20,86.5100021362305,86.8300018310547,85.8399963378906,86.0500030517578,1185800,69.4457550048828
2013-11-21,86.3300018310547,87.1100006103516,85.7699966430664,86.8199996948242,1443100,70.0671844482422
2013-11-22,86.8000030517578,87.1999969482422,86.4100036621094,87.120002746582,890300,70.3092803955078
2013-11-25,87.1500015258789,87.4300003051758,86.9499969482422,87.0199966430664,710100,70.2285766601562
2013-11-26,87.2200012207031,87.2799987792969,86.4499969482422,86.9800033569336,918500,70.1962966918945
2013-11-27,86.9899978637695,87.870002746582,86.8000030517578,87.6699981689453,1079100,70.7531585693359
2013-11-29,87.5899963378906,88.4199981689453,87.1399993896484,87.6900024414062,907200,70.769287109375
2013-12-02,87.6999969482422,88.870002746582,87.4000015258789,88.25,1501200,71.2212448120117
2013-12-03,87.9199981689453,88.2200012207031,87.2600021362305,87.7900009155273,1463400,70.8500061035156
2013-12-04,87.5299987792969,88.1999969482422,86.5500030517578,87.1900024414062,2763400,70.3657684326172
2013-12-05,87.2900009155273,88.9899978637695,86.9000015258789,88.1699981689453,2381800,71.1566619873047
2013-12-06,89.0400009155273,89.75,88.75,89.6699981689453,1570400,72.3672485351562
2013-12-09,90.120002746582,91.0500030517578,89.8899993896484,90.4899978637695,2520400,73.0290069580078
2013-12-10,90.4899978637695,90.9599990844727,89.6900024414062,89.7799987792969,1102500,72.4559936523438
2013-12-11,89.4800033569336,89.7699966430664,87.9700012207031,88.0599975585938,1681800,71.0679168701172
2013-12-12,87.7399978637695,88.0400009155273,87.3600006103516,87.5100021362305,1343900,70.6240158081055
2013-12-13,87.7099990844727,88.5699996948242,87.4899978637695,87.9700012207031,765400,70.9952697753906
2013-12-16,88.8300018310547,89.8399963378906,88.7099990844727,89.4100036621094,1408000,72.1574172973633
2013-12-17,89.3499984741211,89.5999984741211,88.9000015258789,89.1600036621094,1790200,71.9556350708008
2013-12-18,89.2600021362305,90.7900009155273,88.6800003051758,90.7399978637695,1472900,73.2307739257812
