"Fecha","CLX.Open","CLX.High","CLX.Low","CLX.Close","CLX.Volume","CLX.Adjusted"
2013-11-01,89.5599975585938,90.5,89.1699981689453,89.6100006103516,1881700,68.2243118286133
2013-11-04,89.9499969482422,90.0500030517578,88.7900009155273,89.7099990844727,1156900,68.3004455566406
2013-11-05,89.379997253418,90.5699996948242,89.2399978637695,90.1600036621094,1403200,68.6430435180664
2013-11-06,90.5999984741211,92.0100021362305,90.1500015258789,91.5,1594300,69.6632690429688
2013-11-07,91.6399993896484,92.1900024414062,90.3499984741211,90.5,1069500,68.9019088745117
2013-11-08,90.25,90.4499969482422,89.2699966430664,89.879997253418,1459200,68.4298706054688
2013-11-11,89.8000030517578,90.6399993896484,89.7699966430664,90.2399978637695,927200,68.7039489746094
2013-11-12,90,91.120002746582,89.9100036621094,91.0400009155273,972300,69.3130264282227
2013-11-13,90.629997253418,92.4899978637695,90.629997253418,92.4199981689453,1246100,70.3636932373047
2013-11-14,92.0699996948242,92.9899978637695,92.0400009155273,92.9400024414062,1026200,70.7596130371094
2013-11-15,92.75,93.6100006103516,92.6999969482422,93.5999984741211,1383800,71.2620697021484
2013-11-18,93.8000030517578,93.8000030517578,92.4400024414062,92.620002746582,1588100,70.5159606933594
2013-11-19,92.2900009155273,92.6999969482422,92.0299987792969,92.0800018310547,876500,70.1048126220703
2013-11-20,92,93.0100021362305,92,92.5100021362305,730000,70.4322280883789
2013-11-21,92.8899993896484,94.1100006103516,92.6900024414062,93.9100036621094,1190900,71.4981079101562
2013-11-22,93.8099975585938,94.0500030517578,93.370002746582,93.6999969482422,954100,71.3381958007812
2013-11-25,92.6399993896484,93.2099990844727,92.2200012207031,92.6399993896484,1367200,70.5311813354492
2013-11-26,92.5899963378906,93.4700012207031,92.4800033569336,93.0100021362305,1258700,70.8129119873047
2013-11-27,93.2099990844727,93.370002746582,92.4899978637695,93.1600036621094,678100,70.9271087646484
2013-11-29,93.4700012207031,93.7600021362305,93.0400009155273,93.1699981689453,287800,70.934700012207
2013-12-02,93.4300003051758,93.4300003051758,92.3399963378906,92.5299987792969,1056000,70.4474563598633
2013-12-03,92.3199996948242,93.3099975585938,92.2600021362305,93.2900009155273,804800,71.0260620117188
2013-12-04,92.7300033569336,93.9899978637695,92.0699996948242,93.8300018310547,2015500,71.4371643066406
