"Fecha","SWKS.Open","SWKS.High","SWKS.Low","SWKS.Close","SWKS.Volume","SWKS.Adjusted"
2013-11-01,25.8600006103516,26.1299991607666,25.8199996948242,25.9699993133545,4626400,22.3995304107666
2013-11-04,26.1399993896484,26.1499996185303,25.7700004577637,25.8099994659424,2257800,22.2615242004395
2013-11-05,25.6800003051758,26.0100002288818,25.4599990844727,25.8099994659424,1783600,22.2615242004395
2013-11-06,26,26.2000007629395,25.7800006866455,26.1800003051758,2207000,22.5806522369385
2013-11-12,24.9799995422363,25.7600002288818,24.9699993133545,25.5599994659424,3429900,22.0458946228027
2013-11-13,25.5300006866455,26.0699996948242,25.4400005340576,26.0100002288818,2516300,22.4340286254883
2013-11-14,26.0300006866455,26.25,25.9400005340576,26.0699996948242,1890000,22.4857692718506
2013-11-15,26.0699996948242,26.2000007629395,25.8799991607666,25.9300003051758,1644600,22.3650321960449
2013-11-20,25.1200008392334,25.8899993896484,25.1100006103516,25.6700000762939,3073900,22.1407699584961
2013-11-21,25.7999992370605,26.6700000762939,25.6700000762939,26.5699996948242,3682300,22.9170379638672
2013-11-22,26.2700004577637,26.6499996185303,26.2700004577637,26.5100002288818,1881000,22.8652896881104
2013-11-25,26.5900001525879,26.75,26.2199993133545,26.7199993133545,1693400,23.0464172363281
2013-11-26,26.4699993133545,26.7000007629395,26.3299999237061,26.4799995422363,2227500,22.8394050598145
2013-11-27,26.4400005340576,26.6499996185303,26.2999992370605,26.6100006103516,1741800,22.9515342712402
2013-11-29,26.6299991607666,26.7800006866455,26.5100002288818,26.5900001525879,865900,22.9342880249023
2013-12-02,26.5900001525879,27.3700008392334,26.4300003051758,27.1800003051758,3088800,23.4431667327881
2013-12-03,27.1100006103516,27.6399993896484,27.0499992370605,27.5799999237061,2986800,23.7881717681885
2013-12-04,27.3999996185303,27.7399997711182,27.1900005340576,27.6299991607666,2589900,23.831298828125
2013-12-05,27.7999992370605,28.3099994659424,27.7000007629395,28.1499996185303,2782700,24.2798023223877
2013-12-06,28.4799995422363,28.4799995422363,27.4699993133545,27.5,3264600,23.7191753387451
2013-12-09,27.6900005340576,28.5400009155273,27.4899997711182,28.4300003051758,3125500,24.5213146209717
2013-12-10,28.4099998474121,28.5,28.0599994659424,28.2399997711182,1863600,24.3574409484863
2013-12-11,28.3500003814697,28.5599994659424,27.8400001525879,27.8700008392334,1930400,24.03830909729
2013-12-12,27.8500003814697,28.1299991607666,27.6299991607666,27.7299995422363,1609300,23.9175491333008
2013-12-13,27.6800003051758,27.7600002288818,27.2800006866455,27.3199996948242,2170700,23.5639190673828
2013-12-16,27.5,27.8700008392334,27.4099998474121,27.6700000762939,2249800,23.8658008575439
2013-12-17,27.7800006866455,28.6100006103516,27.6700000762939,28.4099998474121,3261400,24.5040588378906
2013-12-18,28.3500003814697,28.4400005340576,27.6100006103516,27.9699993133545,2640000,24.1245517730713
2013-12-19,28.0900001525879,28.0900001525879,27.4400005340576,27.4699993133545,2490500,23.6932983398438
