"Fecha","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
2013-11-01,86.8499984741211,87.7300033569336,86.6600036621094,87.1500015258789,877700,69.8280792236328
2013-11-04,87.4599990844727,87.5699996948242,86.9599990844727,87.0800018310547,800900,69.7719879150391
2013-11-05,87.0500030517578,87.5400009155273,86.7600021362305,87.0999984741211,1081500,69.7880096435547
2013-11-06,87.5899963378906,87.8499984741211,87.1999969482422,87.6699981689453,1192200,70.2447204589844
2013-11-07,87.7099990844727,87.9899978637695,86.7399978637695,86.8000030517578,1349900,69.5476608276367
2013-11-08,86.7600021362305,87.4599990844727,86.5899963378906,87.1999969482422,1427900,69.8681640625
2013-11-11,87.2200012207031,87.3099975585938,87.0400009155273,87.1699981689453,989400,69.8441162109375
2013-11-12,86.7600021362305,87.25,86.6399993896484,86.7300033569336,1014000,69.491569519043
2013-11-13,86.5100021362305,87.1500015258789,86.3600006103516,87.0800018310547,1846200,69.7719879150391
2013-11-14,87.5,87.9400024414062,87.2099990844727,87.9400024414062,2238800,70.461051940918
2013-11-15,87.8199996948242,88.7799987792969,87.2900009155273,88.7099990844727,1588600,71.0780181884766
2013-11-18,89,89.9300003051758,88.9100036621094,89.3000030517578,1407500,71.5507431030273
2013-11-19,89.1699981689453,89.9300003051758,89.0500030517578,89.8099975585938,1796600,71.9593811035156
2013-11-20,89.9000015258789,90.4199981689453,89.3000030517578,89.620002746582,1688900,71.8071594238281
2013-11-21,90,91.1600036621094,89.8300018310547,91.0999984741211,1796900,72.9929962158203
2013-11-22,90.9400024414062,92.2200012207031,90.7200012207031,92.1500015258789,1538400,73.8342590332031
2013-11-25,92.3099975585938,92.4899978637695,91.3000030517578,91.6800003051758,1122900,73.4577102661133
2013-11-26,91.7200012207031,92.2900009155273,91.6900024414062,91.9199981689453,1004700,73.6500015258789
2013-11-27,91.9899978637695,92.75,91.9199981689453,92.2699966430664,886300,73.9304504394531
2013-11-29,92.3300018310547,92.5,91.5699996948242,91.6600036621094,776200,73.4416656494141
2013-12-02,91.4000015258789,92.0800018310547,91.0199966430664,91.2200012207031,1136900,73.0891189575195
