"Fecha","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
2013-11-01,86.5800018310547,86.5999984741211,86.0199966430664,86.4000015258789,1432000,68.583984375
2013-11-04,86.5100021362305,87.0999984741211,86.3499984741211,86.5999984741211,1095600,68.7427597045898
2013-11-05,86.4700012207031,86.9300003051758,86.1399993896484,86.4599990844727,1445300,68.6316299438477
2013-11-06,86.5400009155273,87.5999984741211,86.4599990844727,87.4899978637695,1940600,69.4492492675781
2013-11-07,87.5999984741211,88.0299987792969,87.1500015258789,87.2200012207031,2139400,69.2349166870117
2013-11-08,87.1500015258789,87.8300018310547,87.0100021362305,87.8000030517578,1758400,69.6953125
2013-11-11,87.7799987792969,88.3099975585938,87.6500015258789,87.9700012207031,1367300,69.8302688598633
2013-11-12,87.5,87.8600006103516,86.120002746582,86.4400024414062,2496800,68.6157455444336
2013-11-13,86.2399978637695,87.5199966430664,86.0800018310547,87.2200012207031,2081900,69.2349166870117
2013-11-14,87.5599975585938,88.2799987792969,87.2900009155273,88.25,1585900,70.0525436401367
2013-11-15,88.2200012207031,88.870002746582,88.0699996948242,88.6699981689453,1764700,70.3859176635742
2013-11-18,88.879997253418,88.9300003051758,88.0699996948242,88.1800003051758,1676800,69.9969635009766
2013-11-19,88.2099990844727,88.4400024414062,87.9000015258789,88.0899963378906,1274100,69.9255218505859
2013-11-20,88.0599975585938,88.4499969482422,87.6900024414062,87.9300003051758,1755400,69.7985229492188
2013-11-21,88.1800003051758,89.4199981689453,88,89.2200012207031,1787700,70.8225021362305
2013-11-22,89.2200012207031,90.5899963378906,89.0599975585938,90.5199966430664,1885000,71.8544464111328
2013-11-25,90.5500030517578,90.9899978637695,90.5299987792969,90.7900009155273,2112200,72.0687484741211
2013-11-26,90.8000030517578,91.2300033569336,90.7200012207031,90.7900009155273,2454000,72.0687484741211
2013-11-27,90.9899978637695,91.4300003051758,90.7900009155273,90.9899978637695,1902200,72.2275238037109
2013-11-29,91.2099990844727,91.6800003051758,90.7399978637695,90.7399978637695,917100,72.0290679931641
2013-12-02,90.2600021362305,90.4000015258789,88.870002746582,89,3771100,70.6478729248047
2013-12-03,88.7300033569336,89.5899963378906,88.4300003051758,89.0299987792969,2531800,70.6716690063477
2013-12-04,88.7099990844727,89.4599990844727,87.8899993896484,88.6100006103516,2349600,70.3382873535156
2013-12-05,88.370002746582,88.7600021362305,87.8399963378906,87.9199981689453,2334300,69.7905807495117
2013-12-06,88.1800003051758,89.4199981689453,88.1800003051758,89.0100021362305,1831200,71.0599517822266
2013-12-09,89.0500030517578,89.2799987792969,88.3300018310547,88.4499969482422,2539400,70.6128616333008
2013-12-10,88.0899963378906,88.8300018310547,88.0299987792969,88.4400024414062,1931100,70.6048965454102
2013-12-11,88.4199981689453,88.7200012207031,87.0400009155273,87.0999984741211,2179900,69.5351028442383
2013-12-12,87.120002746582,87.370002746582,86.5,86.629997253418,1889300,69.1599044799805
2013-12-13,86.5599975585938,86.7900009155273,86.2900009155273,86.4899978637695,1568300,69.0481185913086
2013-12-16,86.9899978637695,87.3600006103516,86.6500015258789,87.0500030517578,2367800,69.4951858520508
2013-12-17,86.7699966430664,87,86.2600021362305,86.5699996948242,1852300,69.1120147705078
2013-12-18,86.9599990844727,88.1500015258789,86.620002746582,88.1399993896484,2928000,70.3653793334961
2013-12-19,87.7900009155273,88.9300003051758,87.7900009155273,88.7900009155273,2140300,70.8843154907227
2013-12-20,88.6699981689453,89.6399993896484,88.620002746582,89.1800003051758,3911300,71.195671081543
2013-12-23,89.9100036621094,89.9100036621094,89.0100021362305,89.1600036621094,1277100,71.1797027587891
2013-12-24,89.1100006103516,89.5500030517578,89.0100021362305,89.4899978637695,512800,71.4431457519531
2013-12-26,89.8899993896484,90.1600036621094,89.379997253418,90.0100021362305,938600,71.8582611083984
2013-12-27,90.0100021362305,90.2099990844727,89.4499969482422,89.8499984741211,758200,71.7305145263672
2013-12-30,90.0400009155273,90.5299987792969,89.8600006103516,90.2799987792969,1267900,72.0738067626953
