"Fecha","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
2013-11-01,127.089996337891,128.449996948242,126.410003662109,127.25,539800,119.934074401855
2013-11-04,127.430000305176,127.900001525879,126.099998474121,126.309997558594,383900,119.048133850098
2013-11-05,125.699996948242,126.190002441406,124.550003051758,124.76000213623,667400,117.587242126465
2013-11-06,125.050003051758,126.150001525879,124.599998474121,126.120002746582,355600,118.869064331055
2013-11-07,126.290000915527,126.290000915527,123.459999084473,123.569999694824,403800,116.46565246582
2013-11-08,123.769996643066,126,123.669998168945,125.930000305176,418700,118.689971923828
2013-11-11,126,126.720001220703,125.919998168945,126.360000610352,245900,119.095245361328
2013-11-12,125.819999694824,126.379997253418,125.220001220703,125.629997253418,307300,118.407196044922
2013-11-13,124.970001220703,126.610000610352,124.559997558594,126.26000213623,963500,119.001014709473
2013-11-14,126.720001220703,127.099998474121,126.069999694824,126.470001220703,505400,119.198921203613
2013-11-15,126.430000305176,127,125.209999084473,126.98999786377,1019700,119.689010620117
2013-11-18,126.949996948242,127.150001525879,126.029998779297,126.319999694824,580000,119.057556152344
2013-11-19,125.879997253418,126.370002746582,125.430000305176,125.680000305176,565800,118.45433807373
2013-11-20,126,127.599998474121,125.110000610352,126.620002746582,609100,119.340301513672
2013-11-21,127.110000610352,128.289993286133,126.849998474121,128.179992675781,324200,120.810592651367
2013-11-22,128.190002441406,128.990005493164,127.650001525879,128.940002441406,394400,121.526931762695
2013-11-25,129.139999389648,129.240005493164,128.029998779297,129.009994506836,325000,121.592887878418
2013-11-26,128.889999389648,129.889999389648,128.470001220703,129.669998168945,376600,122.214973449707
2013-11-27,129.660003662109,130.039993286133,129.149993896484,130,264300,122.526000976562
2013-11-29,130.309997558594,130.309997558594,129.110000610352,129.699996948242,164000,122.243217468262
2013-12-02,129.460006713867,130.449996948242,129.070007324219,129.850006103516,412700,122.384613037109
2013-12-03,129.149993896484,129.809997558594,127.75,128.199996948242,386700,120.829467773438
2013-12-04,127.589996337891,128.660003662109,126.050003051758,127.569999694824,343000,120.235694885254
