"Fecha","PKN.SG.Open","PKN.SG.High","PKN.SG.Low","PKN.SG.Close","PKN.SG.Volume","PKN.SG.Adjusted"
2013-11-01,27.7950000762939,27.7950000762939,27.7950000762939,27.7950000762939,0,26.7663764953613
2013-11-04,27.8600006103516,27.8600006103516,27.8600006103516,27.8600006103516,0,26.8289737701416
2013-11-05,27.8549995422363,27.8549995422363,27.8549995422363,27.8549995422363,0,26.8241558074951
2013-11-06,27.4400005340576,27.4400005340576,27.4400005340576,27.4400005340576,0,26.4245185852051
2013-11-07,26.9899997711182,26.9899997711182,26.9899997711182,26.9899997711182,0,25.9911708831787
2013-11-08,26.9549999237061,26.9549999237061,26.9549999237061,26.9549999237061,0,25.957462310791
2013-11-11,27.4400005340576,27.4400005340576,27.4400005340576,27.4400005340576,0,26.4245185852051
2013-11-12,27.375,27.375,27.375,27.375,0,26.3619213104248
2013-11-13,27.3250007629395,27.3250007629395,27.3250007629395,27.3250007629395,0,26.3137741088867
2013-11-14,27.3999996185303,27.3999996185303,27.3999996185303,27.3999996185303,0,26.3859996795654
2013-11-15,27.6350002288818,27.6350002288818,27.6350002288818,27.6350002288818,0,26.6123046875
2013-11-18,28.1149997711182,28.1149997711182,28.1149997711182,28.1149997711182,0,27.0745391845703
2013-11-19,27.7600002288818,27.7600002288818,27.7600002288818,27.7600002288818,0,26.7326774597168
2013-11-20,27.75,27.75,27.75,27.75,0,26.7230453491211
2013-11-21,27.9599990844727,27.9599990844727,27.9599990844727,27.9599990844727,0,26.9252738952637
2013-11-22,28.1149997711182,28.1149997711182,28.1149997711182,28.1149997711182,0,27.0745391845703
2013-11-25,27.8649997711182,27.8649997711182,27.8649997711182,27.8649997711182,0,26.8337841033936
2013-11-26,27.7549991607666,27.7549991607666,27.7549991607666,27.7549991607666,0,26.727855682373
2013-11-27,27.6949996948242,27.6949996948242,27.6949996948242,27.6949996948242,0,26.6700801849365
2013-11-28,27.8349990844727,27.8349990844727,27.8349990844727,27.8349990844727,0,26.804895401001
2013-11-29,27.7900009155273,27.7900009155273,27.7900009155273,27.7900009155273,0,26.7615661621094
2013-12-02,27.6949996948242,27.6949996948242,27.6949996948242,27.6949996948242,0,26.6700801849365
2013-12-03,27.6100006103516,27.6100006103516,27.6100006103516,27.6100006103516,0,26.5882263183594
2013-12-04,27.2549991607666,27.2549991607666,27.2549991607666,27.2549991607666,0,26.2463665008545
2013-12-05,27.2700004577637,27.2700004577637,27.2700004577637,27.2700004577637,0,26.2608051300049
2013-12-06,27.2600002288818,27.2600002288818,27.2600002288818,27.2600002288818,0,26.2511768341064
2013-12-09,27.6149997711182,27.6149997711182,27.6149997711182,27.6149997711182,0,26.5930442810059
2013-12-10,27.8899993896484,27.8899993896484,27.8899993896484,27.8899993896484,0,26.8578701019287
2013-12-11,28.5100002288818,28.5100002288818,28.5100002288818,28.5100002288818,0,27.4549236297607
2013-12-12,27.9200000762939,27.9200000762939,27.9200000762939,27.9200000762939,0,26.8867511749268
2013-12-13,28.1700000762939,28.1700000762939,28.1700000762939,28.1700000762939,0,27.127498626709
2013-12-16,28.1700000762939,28.1700000762939,28.1700000762939,28.1700000762939,0,27.127498626709
2013-12-17,28.2250003814697,28.2250003814697,28.2250003814697,28.2250003814697,0,27.1804695129395
2013-12-18,28.125,28.125,28.125,28.125,0,27.0841617584229
2013-12-19,29.1149997711182,29.1149997711182,29.1149997711182,29.1149997711182,0,28.0375308990479
2013-12-20,29.3799991607666,29.3799991607666,29.3799991607666,29.3799991607666,0,28.2927188873291
2013-12-23,29.5049991607666,29.5049991607666,29.5049991607666,29.5049991607666,0,28.4130954742432
2013-12-27,29.5550003051758,29.5550003051758,29.5550003051758,29.5550003051758,0,28.4612426757812
2013-12-30,29.6849994659424,29.6849994659424,29.6849994659424,29.6849994659424,0,28.5864353179932
