"Fecha","ALLE.Open","ALLE.High","ALLE.Low","ALLE.Close","ALLE.Volume","ALLE.Adjusted"
2013-11-18,49.75,50,47.4900016784668,48.4799995422363,587100,44.0593681335449
2013-11-19,48.9900016784668,49,45.2999992370605,45.7999992370605,1682000,41.623722076416
2013-11-20,45.9799995422363,46,43.9900016784668,44.6500015258789,1106900,40.5785980224609
2013-11-21,44.5,45.1500015258789,43.0400009155273,43.7900009155273,730200,39.797004699707
2013-11-22,43.9000015258789,44.0999984741211,43.25,43.9900016784668,947600,39.9787712097168
2013-11-25,44.2799987792969,45.6199989318848,43.7000007629395,44.1800003051758,727300,40.1514434814453
2013-11-26,45,45,43.0400009155273,43.2000007629395,873700,39.260814666748
2013-11-27,43.5499992370605,43.5499992370605,42.5,43.2400016784668,1153300,39.2971611022949
2013-11-29,42.75,43.8499984741211,42.75,43.2400016784668,949900,39.2971611022949
2013-12-02,43.0800018310547,43.6699981689453,41.5200004577637,43.1399993896484,5130700,39.2062873840332
2013-12-03,42.7999992370605,44.8499984741211,42.7000007629395,42.9000015258789,3239300,38.988166809082
2013-12-04,42.4300003051758,42.6100006103516,41.6500015258789,41.8300018310547,2777700,38.0157356262207
2013-12-05,42.2799987792969,42.2799987792969,40.6300010681152,41.0499992370605,3380500,37.3068618774414
2013-12-06,40.75,41.060001373291,40.6399993896484,40.7000007629395,4662300,36.9887657165527
2013-12-09,40.7000007629395,41.2700004577637,40.2400016784668,41.1800003051758,3074000,37.4250068664551
2013-12-10,41.0699996948242,42.8400001525879,41.0400009155273,42.560001373291,3289400,38.6791572570801
2013-12-11,42.3199996948242,43.0200004577637,42,42.4599990844727,3367300,38.5882835388184
2013-12-12,42.0099983215332,43.0999984741211,42,42.9700012207031,1770500,39.0517883300781
2013-12-13,42.9199981689453,43.7999992370605,42.9199981689453,43.25,683800,39.3062438964844
2013-12-16,43.0099983215332,43.9900016784668,42.1100006103516,43.689998626709,1953900,39.7061386108398
2013-12-17,43.4300003051758,44,43.1599998474121,43.75,1396700,39.7606620788574
2013-12-18,43.6500015258789,44.5,43.0999984741211,44.2700004577637,1225200,40.2332496643066
2013-12-19,43.9599990844727,44.5,43.8199996948242,44.4500007629395,593000,40.3968467712402
2013-12-20,44.2999992370605,44.4500007629395,43.9099998474121,44.2599983215332,2878600,40.2241516113281
2013-12-23,44.1699981689453,44.8499984741211,43.5499992370605,44.6500015258789,773600,40.5785980224609
2013-12-24,44.7599983215332,45.0200004577637,44.25,44.5800018310547,304700,40.5149726867676
2013-12-26,44.8600006103516,45.0099983215332,44.439998626709,44.7000007629395,513200,40.6240234375
2013-12-27,44.7700004577637,44.9700012207031,44.0900001525879,44.6399993896484,393300,40.5694999694824
2013-12-30,44.4500007629395,44.8800010681152,44,44.1199989318848,381500,40.0969123840332
2013-12-31,44.2299995422363,44.5,43.7599983215332,44.189998626709,874200,40.1605186462402
2014-01-02,44.0800018310547,44.1800003051758,43.2700004577637,43.6500015258789,992900,39.6697845458984
2014-01-03,43.5699996948242,44.3199996948242,43.1699981689453,43.9599990844727,378400,39.9515113830566
2014-01-06,43.9700012207031,43.9799995422363,43.3699989318848,43.6800003051758,597800,39.6970481872559
2014-01-07,42.1599998474121,43.9799995422363,42.1599998474121,43.8699989318848,1371300,39.8697128295898
2014-01-08,44.0200004577637,44.3600006103516,43.4000015258789,43.8800010681152,1407100,39.8788032531738
2014-01-09,43.8899993896484,44.25,43.8400001525879,44.1300010681152,1093500,40.1060104370117
2014-01-10,44.1699981689453,46.0800018310547,44.0200004577637,45.7299995422363,2008600,41.560115814209
2014-01-13,45.7000007629395,47.439998626709,45.2000007629395,47.0400009155273,2278500,42.7506561279297
2014-01-14,47.1599998474121,47.8899993896484,46.9099998474121,47.7999992370605,2338200,43.4413604736328
2014-01-15,47.9700012207031,49.189998626709,47.2599983215332,47.5,1733000,43.1687088012695
2014-01-16,47.2799987792969,47.6800003051758,47.0400009155273,47.4000015258789,1178700,43.0778274536133
2014-01-17,47.5200004577637,48.2400016784668,47,48,1572100,43.6231155395508
2014-01-21,49.3800010681152,49.3800010681152,47.939998626709,48.1699981689453,1570400,43.7776184082031
2014-01-22,48.1100006103516,49.1599998474121,48.0800018310547,48.5099983215332,682200,44.0866279602051
2014-01-23,48.6800003051758,48.6800003051758,47.5800018310547,47.7200012207031,867600,43.3686561584473
2014-01-24,47.6199989318848,47.7099990844727,45.8300018310547,46.8400001525879,1417500,42.5688972473145
2014-01-27,45.2000007629395,48,45.2000007629395,46.5999984741211,717800,42.3507804870605
2014-01-28,46.7700004577637,47.8800010681152,46.7700004577637,47.7299995422363,721700,43.3777503967285
2014-01-29,47.3499984741211,48.4799995422363,47.1300010681152,47.7799987792969,800900,43.4231834411621
2014-01-30,47.9099998474121,49.6300010681152,47.8300018310547,49.4199981689453,1247100,44.9136352539062
2014-01-31,49.25,49.9599990844727,49.0299987792969,49.3499984741211,2011100,44.850040435791
2014-02-03,49.3499984741211,49.939998626709,47.2000007629395,47.439998626709,1184800,43.114185333252
2014-02-04,47.439998626709,48.4799995422363,47.3199996948242,48.0499992370605,891300,43.6685676574707
2014-02-05,47.8400001525879,48.6500015258789,47.1500015258789,47.5999984741211,823100,43.2595977783203
2014-02-06,47.5,49.2700004577637,47.5,49.2400016784668,1168400,44.7500495910645
2014-02-07,49.3300018310547,50.2700004577637,49.3300018310547,49.939998626709,1837500,45.3862228393555
2014-02-10,49.9900016784668,50.1199989318848,49.4500007629395,49.8400001525879,763400,45.2953453063965
2014-02-11,49.7299995422363,50.4099998474121,49.3300018310547,49.8899993896484,1446100,45.3407897949219
2014-02-12,49.9199981689453,51,49.7299995422363,50,1405300,45.4407501220703
2014-02-13,49.9799995422363,50.439998626709,49.5900001525879,50.1199989318848,695000,45.5498085021973
2014-02-14,50.1500015258789,50.25,49.5900001525879,49.6300010681152,891700,45.1044998168945
2014-02-18,49.7200012207031,50.8600006103516,49.7200012207031,50.1100006103516,2748500,45.5407257080078
