"Fecha","D.Open","D.High","D.Low","D.Close","D.Volume","D.Adjusted"
2013-11-01,63.9599990844727,64.3499984741211,63.7200012207031,64.0899963378906,1881900,42.9338569641113
2013-11-04,64.370002746582,64.370002746582,63.6399993896484,63.9900016784668,2513200,42.8668594360352
2013-11-05,64.4199981689453,65.6699981689453,64.0400009155273,64.5699996948242,3635200,43.2554054260254
2013-11-06,64.9000015258789,66.0500030517578,64.7600021362305,66.0299987792969,3075900,44.2334442138672
2013-11-07,66.129997253418,66.4800033569336,65.1699981689453,65.3399963378906,2786400,43.7712249755859
2013-11-08,65.120002746582,65.4700012207031,64.0100021362305,65.4100036621094,3464300,43.8181266784668
2013-11-11,65.5299987792969,66.25,65.1999969482422,65.879997253418,1990500,44.1329650878906
2013-11-12,65.5199966430664,65.9000015258789,65.25,65.6500015258789,2080400,43.9788856506348
2013-11-13,65.2900009155273,66.3600006103516,64.8199996948242,66.3300018310547,3555000,44.4344253540039
2013-11-14,66.5100021362305,67.25,66.3000030517578,67.0599975585938,1961700,44.9234619140625
2013-11-15,66.9100036621094,67.5199966430664,66.8499984741211,67.5199966430664,2078500,45.2316131591797
2013-11-18,67.4899978637695,67.9700012207031,67.1900024414062,67.8000030517578,2442000,45.4191780090332
2013-11-19,67.6999969482422,67.9599990844727,67.4300003051758,67.7200012207031,2120700,45.3655853271484
2013-11-20,67.7200012207031,67.8300018310547,66.4800033569336,66.629997253418,2505100,44.6353988647461
2013-11-21,66.7200012207031,67.1100006103516,66.3899993896484,66.7399978637695,6287700,44.7090911865234
2013-11-22,66.75,66.9100036621094,66.4300003051758,66.620002746582,8747500,44.6287040710449
2013-11-25,66.8000030517578,66.870002746582,66.3199996948242,66.3499984741211,9847400,44.4478149414062
2013-11-26,66.5,66.5699996948242,65.5299987792969,65.9000015258789,3993100,44.146354675293
2013-11-27,65.8899993896484,66,64.620002746582,65.0500030517578,2885100,43.576961517334
2013-11-29,65,65.620002746582,64.7699966430664,64.9100036621094,1396200,43.4831771850586
2013-12-02,64.8000030517578,64.879997253418,63.7700004577637,64.3099975585938,2912100,43.0812301635742
2013-12-03,64.2900009155273,64.8600006103516,64,64.7900009155273,3696700,43.4027786254883
2013-12-04,63.8499984741211,64.3600006103516,63.439998626709,64.129997253418,2141900,43.3372230529785
2013-12-05,63.9000015258789,63.9000015258789,63.2599983215332,63.4500007629395,2452700,42.8777122497559
2013-12-06,63.8600006103516,64.7300033569336,63.75,64.4199981689453,1765000,43.533203125
