"Fecha","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
2013-11-01,60.0099983215332,61.0299987792969,59.7599983215332,60.9300003051758,2737800,49.674259185791
2013-11-04,62.5,62.7000007629395,61.4199981689453,62.0400009155273,7380200,50.5792083740234
2013-11-05,62.1399993896484,63.1800003051758,61.6500015258789,62.6500015258789,3599000,51.0765266418457
2013-11-06,62.8300018310547,63.4799995422363,62.6199989318848,63.1100006103516,1959300,51.4515571594238
2013-11-07,63.2299995422363,64,63.2299995422363,63.7000007629395,2283900,51.9325485229492
2013-11-08,63.5,63.5999984741211,62.7000007629395,63.3199996948242,1949300,51.6227493286133
2013-11-11,63.2400016784668,64.0999984741211,63.1399993896484,63.5999984741211,1521100,51.8510131835938
2013-11-12,63.7299995422363,63.8400001525879,63.1599998474121,63.3199996948242,2143500,51.6227493286133
2013-11-13,63.310001373291,63.6100006103516,62.6100006103516,62.8800010681152,2500000,51.264030456543
2013-11-14,62.7900009155273,63.0900001525879,62.5999984741211,62.6500015258789,2762200,51.0765266418457
2013-11-15,62.6699981689453,62.9599990844727,62.1800003051758,62.2000007629395,3510800,50.709644317627
2013-11-18,62.5,62.560001373291,61.6500015258789,61.8600006103516,2060100,50.4324569702148
2013-11-19,61.7200012207031,62.0499992370605,60.9500007629395,61.5200004577637,1952600,50.1552658081055
2013-11-20,61.4599990844727,62.0400009155273,61.1800003051758,61.3499984741211,1596700,50.016658782959
2013-11-21,61.4099998474121,61.7200012207031,61.2000007629395,61.4799995422363,1111200,50.1226501464844
2013-11-22,61.3499984741211,61.9599990844727,61.3300018310547,61.7999992370605,988700,50.3835334777832
2013-11-25,61.8600006103516,62.4799995422363,61.8400001525879,62.3600006103516,1256700,50.840087890625
2013-11-26,62.3400001525879,62.4799995422363,61.9900016784668,62.0800018310547,1858300,50.61181640625
2013-11-27,61.8600006103516,62.1300010681152,60.7099990844727,61.4199981689453,1897400,50.0737419128418
2013-11-29,61.3499984741211,61.6500015258789,60.9000015258789,60.939998626709,826200,49.6824226379395
2013-12-02,61.0499992370605,61.189998626709,60.560001373291,60.75,1248300,49.5275115966797
