"Fecha","VRSK.Open","VRSK.High","VRSK.Low","VRSK.Close","VRSK.Volume","VRSK.Adjusted"
2013-11-01,68.7900009155273,68.7900009155273,67.2600021362305,67.9800033569336,847100,65.8954086303711
2013-11-04,68.0500030517578,68.3399963378906,67.6500015258789,68.3300018310547,517200,66.2346649169922
2013-11-05,67.9100036621094,68.2300033569336,67.5299987792969,67.8000030517578,799800,65.7209396362305
2013-11-06,61,62.8499984741211,60.1599998474121,62,5231700,60.0987854003906
2013-11-07,61.6800003051758,64.1500015258789,61.1300010681152,61.2700004577637,1287500,59.391170501709
2013-11-08,61.4500007629395,62.5900001525879,61.25,62.4700012207031,935400,60.5543670654297
2013-11-11,62.5699996948242,62.75,62.1699981689453,62.310001373291,832600,60.3992767333984
2013-11-12,62.0800018310547,62.8600006103516,62,62.8499984741211,905400,60.9227180480957
2013-11-13,62.5499992370605,63.4300003051758,62.4300003051758,63.4199981689453,711300,61.4752311706543
2013-11-14,63.2999992370605,64.0899963378906,63.2000007629395,63.6699981689453,546000,61.7175750732422
2013-11-15,64,64.4300003051758,63.310001373291,64.370002746582,717700,62.3961029052734
2013-11-18,63.2099990844727,63.5699996948242,62.7999992370605,63.3300018310547,982300,61.3880004882812
2013-11-19,63.2000007629395,63.5699996948242,62.9099998474121,63.189998626709,436400,61.2522811889648
2013-11-20,63.1199989318848,63.1599998474121,62.4099998474121,62.6300010681152,1350600,60.7094573974609
2013-11-21,62.6300010681152,63.3899993896484,62.4300003051758,63.2700004577637,776600,61.3298454284668
2013-11-22,63.1800003051758,63.9599990844727,63.1699981689453,63.9099998474121,562000,61.9502105712891
2013-11-25,63.7000007629395,64.8600006103516,63.6800003051758,64.5299987792969,860700,62.5512008666992
2013-11-26,64.7799987792969,65.1100006103516,64.4700012207031,64.8899993896484,1047800,62.9001655578613
2013-11-27,64.8399963378906,65.8499984741211,64.629997253418,65.4499969482422,1604500,63.4429931640625
2013-11-29,65.5100021362305,65.6500015258789,64.8300018310547,65.1100006103516,333800,63.1134223937988
2013-12-02,64.8199996948242,65.629997253418,64.7300033569336,65.4000015258789,834500,63.3945274353027
2013-12-03,64.9199981689453,65.2200012207031,64.7300033569336,65.129997253418,651000,63.1327934265137
2013-12-04,64.9899978637695,65.5699996948242,64.7200012207031,65.2600021362305,576900,63.2588119506836
2013-12-05,65.0999984741211,65.120002746582,64.7099990844727,65.0999984741211,975000,63.1037178039551
2013-12-06,66.3300018310547,67.3300018310547,65.629997253418,67.3300018310547,1071800,65.2653503417969
2013-12-09,67.2399978637695,67.3399963378906,66.1900024414062,66.5199966430664,1323300,64.4801788330078
2013-12-10,66.1600036621094,66.3600006103516,65.8199996948242,66.2300033569336,616400,64.1990585327148
2013-12-11,65.5999984741211,65.9100036621094,64.5599975585938,64.5999984741211,1e+06,62.6190490722656
2013-12-12,64.6399993896484,64.8000030517578,64.0400009155273,64.1900024414062,849700,62.2216339111328
2013-12-13,64.5999984741211,65.1699981689453,64.3600006103516,64.629997253418,1163800,62.6481323242188
2013-12-16,64.6399993896484,65.5,64.5899963378906,65.2200012207031,665800,63.2200393676758
2013-12-17,65.0899963378906,65.5899963378906,64.5599975585938,65.2200012207031,665400,63.2200393676758
2013-12-18,65.4199981689453,65.8399963378906,64.7099990844727,65.75,503300,63.7337913513184
2013-12-19,65.5100021362305,66.0800018310547,65.5100021362305,65.8499984741211,516400,63.8307189941406
2013-12-20,65.5699996948242,66.6399993896484,65.5699996948242,66.5599975585938,879100,64.5189361572266
2013-12-23,66.4199981689453,66.8600006103516,65.879997253418,66.0299987792969,440800,64.0052032470703
2013-12-24,66.2300033569336,66.4899978637695,65.9199981689453,65.9700012207031,202200,63.9470481872559
2013-12-26,66.1900024414062,66.4199981689453,65.7399978637695,65.9800033569336,290300,63.9567527770996
2013-12-27,66.25,66.2699966430664,65.6999969482422,66.0500030517578,432400,64.0245819091797
2013-12-30,65.9100036621094,66.120002746582,65.7300033569336,65.8099975585938,374400,63.7919540405273
2013-12-31,65.3499984741211,66.1399993896484,65.3000030517578,65.7200012207031,723000,63.704719543457
2014-01-02,65.2699966430664,65.5699996948242,64.75,65.120002746582,683300,63.123104095459
2014-01-03,65.0299987792969,65.5,64.9599990844727,65.129997253418,532100,63.1327934265137
2014-01-06,65.0999984741211,65.4300003051758,63.6300010681152,63.6500015258789,889100,61.6981925964355
2014-01-07,63.7900009155273,64.25,63.5400009155273,63.6100006103516,693200,61.6594047546387
