"Fecha","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
2013-11-01,110.629997253418,111.220001220703,108.839996337891,109.430000305176,716200,89.2795028686523
2013-11-04,110.01000213623,110.809997558594,109.540000915527,109.769996643066,696900,89.5569152832031
2013-11-05,109.080001831055,109.569999694824,108.120002746582,108.790000915527,653700,88.7573776245117
2013-11-06,109.059997558594,110.129997253418,108.690002441406,109.029998779297,807600,88.9531784057617
2013-11-07,111.110000610352,113.949996948242,110.01000213623,111.559997558594,1444900,91.0172882080078
2013-11-08,111.319999694824,111.889999389648,110.870002746582,111.720001220703,1154600,91.1478424072266
2013-11-11,111.819999694824,113.180000305176,111.419998168945,112.690002441406,738200,91.9392242431641
2013-11-12,112.480003356934,113.400001525879,111.910003662109,112.949996948242,638600,92.1513442993164
2013-11-13,112.470001220703,114.069999694824,112.019996643066,113.75,925400,92.8040313720703
2013-11-14,113.269996643066,113.870002746582,112.529998779297,112.599998474121,611600,92.3366165161133
2013-11-15,112.910003662109,113.75,111.930000305176,111.980003356934,1004000,91.8282089233398
2013-11-18,112.610000610352,112.75,111,111.449996948242,890900,91.3935623168945
2013-11-19,111.610000610352,112.129997253418,110.819999694824,111.120002746582,564300,91.122932434082
2013-11-20,111.180000305176,111.76000213623,110.300003051758,110.959999084473,424300,90.9917449951172
2013-11-21,111.069999694824,111.98999786377,111.029998779297,111.440002441406,729400,91.3853607177734
2013-11-22,111.669998168945,114.169998168945,111.080001831055,114.069999694824,815600,93.5420913696289
2013-11-25,114.209999084473,114.349998474121,113.029998779297,113.290000915527,561300,92.9024353027344
2013-11-26,113.019996643066,114.319999694824,113.019996643066,113.900001525879,501000,93.4026641845703
2013-11-27,114.48999786377,114.48999786377,113.480003356934,114.360000610352,360600,93.7798919677734
2013-11-29,114.73999786377,114.76000213623,113.400001525879,113.580001831055,274900,93.140266418457
2013-12-02,113.139999389648,113.559997558594,111.669998168945,111.849998474121,701800,91.7215881347656
2013-12-03,112.559997558594,112.559997558594,110.279998779297,111.160003662109,640000,91.1557693481445
2013-12-04,110.5,111.209999084473,108.349998474121,108.889999389648,1577800,89.2942810058594
2013-12-05,108.980003356934,110.199996948242,108.5,109.209999084473,624700,89.5566787719727
2013-12-06,110.5,111.879997253418,110.01000213623,111.699996948242,666300,91.5985488891602
2013-12-09,111.440002441406,112.370002746582,111.110000610352,111.959999084473,706500,91.8117904663086
2013-12-10,111.620002746582,112.949996948242,111.379997253418,111.879997253418,678400,91.7461776733398
2013-12-11,112.360000610352,112.360000610352,109.440002441406,109.669998168945,516900,89.9338760375977
2013-12-12,109.610000610352,110.949996948242,108.779998779297,110.529998779297,798000,90.6391296386719
