"Fecha","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
2013-11-01,74.1999969482422,75.1900024414062,74.1999969482422,74.6999969482422,1372400,49.5266304016113
2013-11-04,73.9300003051758,74.3300018310547,72.1699981689453,73.8199996948242,2151300,48.9431953430176
2013-11-05,73.9100036621094,75.0299987792969,73.6600036621094,73.6600036621094,1408300,48.8371238708496
2013-11-06,73.6600036621094,74.8000030517578,73.5500030517578,74.7300033569336,1053000,49.5465354919434
2013-11-07,74.75,75.8499984741211,74.6100006103516,74.6600036621094,1647000,49.5001220703125
2013-11-08,74.8300018310547,78.0299987792969,74.6500015258789,77.8099975585938,2152600,51.5885772705078
2013-11-11,77.2799987792969,78.8499984741211,77.25,77.9400024414062,1462600,51.6747779846191
2013-11-12,77.9000015258789,78.6999969482422,77.620002746582,78.5699996948242,1901600,52.0924835205078
2013-11-13,78.4599990844727,78.6800003051758,77.5800018310547,78.629997253418,1345000,52.1322593688965
2013-11-14,78.6900024414062,79.0500030517578,77.8000030517578,78.8399963378906,1022800,52.2714729309082
2013-11-15,78.7099990844727,79.6900024414062,78.7099990844727,79.5599975585938,1531000,52.7488670349121
2013-11-18,79.5899963378906,80.7799987792969,79.1500015258789,79.7699966430664,1984300,52.8880996704102
2013-11-19,79.9300003051758,81.2600021362305,79.3099975585938,81.1399993896484,1776300,53.7964172363281
2013-11-20,81.2600021362305,82.5,80.9199981689453,81.4199981689453,2050400,53.9820442199707
2013-11-21,81.5299987792969,83.8199996948242,81.4800033569336,83.5800018310547,1979300,55.4141578674316
2013-11-22,83.3399963378906,84.3499984741211,83.3399963378906,83.8499984741211,1756400,55.5931701660156
2013-11-25,83.9899978637695,84,82.1399993896484,82.2900009155273,1305600,54.5588607788086
2013-11-26,82.1699981689453,82.8600006103516,81.5699996948242,81.9499969482422,1940500,54.3334312438965
2013-11-27,82.4400024414062,82.5299987792969,81.75,82.3099975585938,1020200,54.5721130371094
2013-11-29,82.0800018310547,82.4499969482422,81.7600021362305,81.9499969482422,667000,54.3334312438965
2013-12-02,82.0199966430664,82.3099975585938,81.3300018310547,81.3899993896484,1364900,53.9621696472168
2013-12-03,81.1800003051758,81.5800018310547,80.4000015258789,80.9700012207031,1319000,53.6836929321289
2013-12-04,80.5899963378906,81.1800003051758,79.3199996948242,80.0599975585938,2536700,53.0803489685059
2013-12-05,79.8000030517578,80.3399963378906,77.9300003051758,79.1100006103516,2882200,52.4505157470703
