"Fecha","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
2013-11-01,53.7000007629395,54.8699989318848,52.7599983215332,53.6699981689453,1040300,49.6754150390625
2013-11-04,54.3499984741211,60.1399993896484,54.0699996948242,57.7799987792969,3650300,53.4795150756836
2013-11-05,57.7999992370605,58.439998626709,56.0299987792969,56.439998626709,1541000,52.2392463684082
2013-11-06,56.6500015258789,56.7000007629395,55.8699989318848,56.1800003051758,699900,51.9985961914062
2013-11-07,56.6300010681152,57.3400001525879,55.1800003051758,55.3499984741211,750300,51.2303695678711
2013-11-08,55.2599983215332,56.6300010681152,54.5999984741211,56.5999984741211,672600,52.3873252868652
2013-11-11,56.4900016784668,56.689998626709,55.810001373291,56.2799987792969,364800,52.0911560058594
2013-11-12,56.0999984741211,56.2799987792969,55.439998626709,55.8400001525879,582000,51.6839027404785
2013-11-13,55.310001373291,56.3300018310547,55.2299995422363,56.060001373291,620700,51.8875427246094
2013-11-14,56.2599983215332,56.4300003051758,55.4500007629395,55.9599990844727,534700,51.7949600219727
2013-11-15,55.9300003051758,56.8400001525879,55.8499984741211,56.7999992370605,639200,52.5724601745605
2013-11-18,57.0099983215332,57.4199981689453,55.0999984741211,55.3400001525879,639100,51.2211265563965
2013-11-19,55.4000015258789,56.4900016784668,55.2700004577637,55.689998626709,612000,51.5450553894043
2013-11-20,55.5800018310547,55.939998626709,55.2000007629395,55.7299995422363,644000,51.5820770263672
2013-11-21,55.6800003051758,56.75,55.6800003051758,56.3499984741211,999500,52.1653099060059
2013-11-22,56.5,57.2999992370605,56.3199996948242,56.7900009155273,896200,52.572639465332
2013-11-25,56.6699981689453,57.8699989318848,56.5999984741211,57.4300003051758,824900,53.1651039123535
2013-11-26,57.2299995422363,57.7999992370605,57.0999984741211,57.3199996948242,494500,53.0632667541504
2013-11-27,57.439998626709,57.7900009155273,56.939998626709,57.1100006103516,340800,52.8688621520996
2013-11-29,57.0999984741211,57.0999984741211,56.2799987792969,56.3699989318848,341100,52.1838226318359
