"Fecha","ILMN.Open","ILMN.High","ILMN.Low","ILMN.Close","ILMN.Volume","ILMN.Adjusted"
2013-11-01,93.4800033569336,95.9700012207031,93,95.7099990844727,1592000,95.7099990844727
2013-11-04,95.6900024414062,97.1900024414062,94.6500015258789,96.8199996948242,1637900,96.8199996948242
2013-11-05,96.129997253418,96.5999984741211,95.120002746582,95.4400024414062,1022700,95.4400024414062
2013-11-06,95.2099990844727,95.5,93.1900024414062,94.4199981689453,1000900,94.4199981689453
2013-11-07,94.379997253418,95.1500015258789,91.6500015258789,92.9899978637695,1143900,92.9899978637695
2013-11-08,93.129997253418,96.2099990844727,93.129997253418,96.0500030517578,834600,96.0500030517578
2013-11-11,96.2300033569336,96.6900024414062,94.8600006103516,96.1999969482422,612100,96.1999969482422
2013-11-12,95.6100006103516,96.7300033569336,95.129997253418,96.5199966430664,539800,96.5199966430664
2013-11-13,95.9499969482422,96,95.0199966430664,95.3099975585938,646200,95.3099975585938
2013-11-14,95.6100006103516,95.9199981689453,93.5699996948242,94.0999984741211,1063300,94.0999984741211
2013-11-15,93.2099990844727,94.2699966430664,93.129997253418,93.5299987792969,885100,93.5299987792969
2013-11-18,93.5299987792969,94.0299987792969,91.8000030517578,92.0999984741211,833300,92.0999984741211
2013-11-19,92,92.5599975585938,91.0299987792969,91.3600006103516,832100,91.3600006103516
2013-11-20,91.2799987792969,93.8600006103516,91.2600021362305,92.3000030517578,860600,92.3000030517578
2013-11-21,93,99.6999969482422,92.4499969482422,98.8499984741211,1249600,98.8499984741211
2013-11-22,98.8499984741211,100,98.0199966430664,99.8300018310547,973100,99.8300018310547
2013-11-25,100,100.98999786377,97.5800018310547,98.3499984741211,1680800,98.3499984741211
2013-11-26,97.6399993896484,98.4899978637695,96.5400009155273,98.2900009155273,1292600,98.2900009155273
2013-11-27,98.9300003051758,99.6900024414062,97.6100006103516,99.370002746582,706600,99.370002746582
2013-11-29,99.4599990844727,100,97.0999984741211,98,530800,98
2013-12-02,97.870002746582,98.6399993896484,96.75,98.4800033569336,574200,98.4800033569336
2013-12-03,97.8000030517578,98.9199981689453,96.870002746582,97.2900009155273,1218700,97.2900009155273
2013-12-04,96.7699966430664,98.5800018310547,96.5100021362305,98.0699996948242,1157900,98.0699996948242
2013-12-05,97.4000015258789,98.7699966430664,96.7300033569336,97.6500015258789,896200,97.6500015258789
2013-12-06,98.25,99.2699966430664,97.6500015258789,99.25,1137400,99.25
2013-12-09,99.9100036621094,101.800003051758,99.2699966430664,101.330001831055,1047100,101.330001831055
2013-12-10,100.730003356934,101.379997253418,98.5100021362305,99.9700012207031,1037700,99.9700012207031
