"Fecha","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
2013-11-01,126.76000213623,126.930000305176,125.120002746582,125.900001525879,1676600,91.7669448852539
2013-11-04,125.980003356934,126.48999786377,125.559997558594,126.319999694824,1741500,92.0731048583984
2013-11-05,125.75,126.459999084473,124.860000610352,126.120002746582,1757900,91.9273071289062
2013-11-06,126.459999084473,127.319999694824,126.230003356934,127.129997253418,1910300,92.6634902954102
2013-11-07,127.150001525879,127.879997253418,126.230003356934,126.410003662109,3188900,92.1386795043945
2013-11-08,126.029998779297,128.020004272461,126.029998779297,127.98999786377,2234300,93.2903213500977
2013-11-11,127.540000915527,128.169998168945,127.25,127.949996948242,1751500,93.2611618041992
2013-11-12,128.149993896484,128.589996337891,127.550003051758,128.360000610352,2428600,93.5600204467773
2013-11-13,127.860000610352,128.660003662109,127.430000305176,128.589996337891,2426300,93.7276763916016
2013-11-14,128.970001220703,130.119995117188,128.800003051758,129.789993286133,2569800,94.6023101806641
2013-11-15,129.149993896484,130,128.979995727539,129.850006103516,2360400,94.6460418701172
2013-11-18,129.910003662109,130.5,129.779998779297,130.130004882812,2148200,94.8501586914062
2013-11-19,130.020004272461,130.779998779297,129.919998168945,130.050003051758,2532500,94.7918319702148
2013-11-20,129.5,130.300003051758,128.550003051758,129.179992675781,2691800,94.6197052001953
2013-11-21,129.690002441406,130.410003662109,129.589996337891,130.350006103516,1576100,95.476692199707
2013-11-22,130.360000610352,132.550003051758,129.820007324219,131.020004272461,1644800,95.9674453735352
2013-11-25,131.800003051758,131.869995117188,130.940002441406,131.229995727539,2496300,96.1212768554688
2013-11-26,131.449996948242,132.639999389648,131.330001831055,132.149993896484,4229600,96.7951202392578
2013-11-27,132.630004882812,133.649993896484,131.940002441406,133.5,2433500,97.7839431762695
2013-11-29,133.509994506836,134.160003662109,133.339996337891,133.509994506836,2029000,97.7912902832031
2013-12-02,131.669998168945,132,127.389999389648,127.680000305176,6897900,93.5210266113281
2013-12-03,126.059997558594,127.389999389648,125.150001525879,126.599998474121,7864500,92.7299728393555
2013-12-04,125.949996948242,127.589996337891,125.48999786377,126.459999084473,3450700,92.6274032592773
2013-12-05,126.400001525879,127.650001525879,126.220001220703,126.830001831055,2842700,92.8984222412109
2013-12-06,128.190002441406,128.800003051758,127.849998474121,128.610000610352,2886100,94.2022171020508
2013-12-09,128.800003051758,129.179992675781,128.389999389648,128.570007324219,2064400,94.1729049682617
2013-12-10,128.070007324219,128.529998779297,127.529998779297,127.550003051758,2353100,93.4258041381836
2013-12-11,128.740005493164,129.660003662109,126.709999084473,126.769996643066,3897500,92.8544769287109
2013-12-12,126.629997253418,127.389999389648,125.980003356934,126.580001831055,2486700,92.7153091430664
2013-12-13,126.650001525879,127.349998474121,125.980003356934,126.430000305176,1743400,92.6054077148438
2013-12-16,126.769996643066,128.770004272461,126.470001220703,127.660003662109,2805300,93.5063705444336
2013-12-17,130.419998168945,131.619995117188,129.979995727539,131.389999389648,6206800,96.2384414672852
2013-12-18,131.479995727539,135.809997558594,131.479995727539,135.800003051758,5580000,99.4686126708984
2013-12-19,135.059997558594,136.520004272461,134.729995727539,136.410003662109,4080900,99.9154205322266
2013-12-20,136.779998779297,138.089996337891,136.600006103516,136.720001220703,5856800,100.142486572266
2013-12-23,137.100006103516,137.429992675781,136.320007324219,136.800003051758,3439600,100.201095581055
2013-12-24,137.229995727539,137.339996337891,136.350006103516,136.990005493164,1311700,100.340263366699
2013-12-26,137.300003051758,138.679992675781,137.029998779297,138.289993286133,2158200,101.292434692383
2013-12-27,138.779998779297,139.399993896484,138.550003051758,139.350006103516,1894900,102.068878173828
2013-12-30,139.080001831055,139.649993896484,138.789993286133,139.419998168945,1714300,102.120147705078
2013-12-31,140,140.429992675781,139.479995727539,140.25,1846500,102.728057861328
2014-01-02,138.050003051758,139,137.610000610352,138.130004882812,3052100,101.175239562988
2014-01-03,138.369995117188,138.880004882812,138.029998779297,138.449996948242,2133300,101.409652709961
2014-01-06,138.75,139.289993286133,137.479995727539,137.630004882812,2712100,100.809036254883
