"Fecha","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
2013-11-01,168.009994506836,176.679992675781,166.639999389648,168.990005493164,634400,115.786628723145
2013-11-04,168.779998779297,169.850006103516,166.139999389648,168.649993896484,546700,115.553680419922
2013-11-05,167.130004882812,167.740005493164,164.75,165.229995727539,625400,113.210411071777
2013-11-06,165.899993896484,166.809997558594,164.429992675781,164.669998168945,743200,112.826705932617
2013-11-07,164.699996948242,165.119995117188,160.130004882812,161.190002441406,1160700,110.442344665527
2013-11-08,160.419998168945,160.529998779297,157.229995727539,159.910003662109,995600,109.565307617188
2013-11-11,159.649993896484,161.160003662109,159.509994506836,159.889999389648,609100,109.551582336426
2013-11-12,159.419998168945,159.770004272461,157.539993286133,159.119995117188,671500,109.024040222168
2013-11-13,158.270004272461,160.339996337891,157.979995727539,160.259994506836,685200,109.805114746094
2013-11-14,160.740005493164,163.229995727539,160.389999389648,162.669998168945,961400,111.456390380859
2013-11-15,162.679992675781,163.020004272461,160.910003662109,162.410003662109,633500,111.27823638916
2013-11-18,162.179992675781,162.289993286133,159.130004882812,159.5,623700,109.284339904785
2013-11-19,158.699996948242,159.720001220703,156.649993896484,156.949996948242,878300,107.537208557129
2013-11-20,156.919998168945,157.639999389648,153.949996948242,154.550003051758,743200,105.892791748047
2013-11-21,155.449996948242,156.050003051758,154.050003051758,154.729995727539,755100,106.016128540039
2013-11-22,154.820007324219,155.119995117188,153.539993286133,154.860000610352,496100,106.105194091797
2013-11-25,155.240005493164,155.660003662109,153.520004272461,153.710006713867,517500,105.317253112793
2013-11-26,153.860000610352,154.350006103516,152.600006103516,152.649993896484,620300,104.590950012207
2013-11-27,153.220001220703,154.419998168945,152.399993896484,154.190002441406,399900,105.646125793457
2013-11-29,154.580001831055,155.029998779297,152.630004882812,152.699996948242,289800,104.625244140625
2013-12-02,152.960006713867,153.539993286133,151.300003051758,152.800003051758,649500,104.693778991699
2013-12-03,151.639999389648,153.039993286133,150.229995727539,150.419998168945,807300,103.063011169434
2013-12-04,149.020004272461,153.110000610352,148.509994506836,151.929992675781,1058000,104.097640991211
2013-12-05,151.940002441406,152.529998779297,150.570007324219,151.149993896484,600700,103.56324005127
2013-12-06,152.410003662109,154.220001220703,151.949996948242,154,859500,105.51594543457
2013-12-09,154,155.350006103516,153.369995117188,155.199996948242,910500,106.338150024414
2013-12-10,155.179992675781,155.899993896484,154.130004882812,154.699996948242,1107600,105.995544433594
2013-12-11,153.610000610352,153.639999389648,150.470001220703,150.550003051758,1186500,104.094169616699
2013-12-12,150.330001831055,151.130004882812,149.669998168945,149.710006713867,835200,103.513359069824
2013-12-13,150.089996337891,152.070007324219,149.380004882812,149.539993286133,749700,103.395805358887
2013-12-16,150.639999389648,151.589996337891,149.479995727539,151.009994506836,917200,104.41219329834
2013-12-17,149.839996337891,150.289993286133,148.25,149.520004272461,867600,103.381988525391
2013-12-18,149.309997558594,152.399993896484,147.139999389648,152.149993896484,1036300,105.200393676758
2013-12-19,151.470001220703,151.630004882812,150.369995117188,151.160003662109,652600,104.515953063965
2013-12-20,151.160003662109,151.919998168945,151,151.820007324219,806000,104.97225189209
2013-12-23,152.330001831055,153.309997558594,151.399993896484,151.550003051758,619400,104.785591125488
2013-12-24,151.470001220703,151.740005493164,151,151.600006103516,291500,104.820190429688
2013-12-26,151.699996948242,152.440002441406,150.740005493164,151.149993896484,311100,104.50902557373
2013-12-27,151.639999389648,152.259994506836,150.539993286133,151.119995117188,361800,104.488265991211
2013-12-30,151.369995117188,152.669998168945,150.910003662109,151.570007324219,403500,104.799407958984
2013-12-31,151.740005493164,151.940002441406,150.080001831055,150.520004272461,794400,104.073425292969
2014-01-02,150.490005493164,150.490005493164,148.039993286133,148.949996948242,665500,102.98787689209
2014-01-03,149.119995117188,150.710006713867,148.339996337891,150.110000610352,517900,103.789932250977
2014-01-06,150.699996948242,151,149.110000610352,150.029998779297,398100,103.73462677002
2014-01-07,150.029998779297,151.490005493164,149.550003051758,149.860000610352,633100,103.617042541504
2014-01-08,150.020004272461,150.660003662109,148.75,150.130004882812,655900,103.803764343262
2014-01-09,151.490005493164,153.110000610352,150.309997558594,153.050003051758,978800,105.822715759277
2014-01-10,153.039993286133,154.600006103516,153.039993286133,154.259994506836,644400,106.659332275391
2014-01-13,153.520004272461,155.100006103516,153.520004272461,153.960006713867,594700,106.451942443848
2014-01-14,155.220001220703,156.710006713867,154.220001220703,155.729995727539,713500,107.675735473633
2014-01-15,155.669998168945,156.100006103516,154.669998168945,155.039993286133,854900,107.198654174805
2014-01-16,155.190002441406,156.259994506836,155.050003051758,156.009994506836,487600,107.869338989258
2014-01-17,156.229995727539,156.339996337891,154.779998779297,154.970001220703,541400,107.150268554688
2014-01-21,155.889999389648,157.410003662109,154.509994506836,155.029998779297,843900,107.191749572754
2014-01-22,155.100006103516,156.330001831055,154.029998779297,155.320007324219,649300,107.392227172852
2014-01-23,154.279998779297,155.360000610352,153.610000610352,154.460006713867,640500,106.797637939453
2014-01-24,153.990005493164,153.990005493164,152.149993896484,152.419998168945,663100,105.387130737305
2014-01-27,152.580001831055,153.630004882812,151.839996337891,152.630004882812,693200,105.532295227051
2014-01-28,153.089996337891,155.229995727539,153.089996337891,154.729995727539,754000,106.984306335449
2014-01-29,153.289993286133,155.360000610352,153.009994506836,154.509994506836,715000,106.832168579102
2014-01-30,155.330001831055,157.899993896484,155.330001831055,156.809997558594,638700,108.422477722168
2014-01-31,155.520004272461,158.729995727539,155.089996337891,157.589996337891,984300,108.961776733398
2014-02-03,157.350006103516,157.410003662109,155,155.860000610352,802500,107.765617370605
2014-02-04,156.630004882812,158.809997558594,155.610000610352,158.570007324219,978800,109.63939666748
2014-02-05,158.089996337891,158.770004272461,157.240005493164,157.899993896484,745100,109.176139831543
2014-02-06,157.889999389648,158.509994506836,157.259994506836,158.410003662109,848500,109.528755187988
2014-02-07,158.830001831055,160.350006103516,158.119995117188,160.25,872700,110.800987243652
2014-02-10,160.199996948242,162.360000610352,159.699996948242,162.050003051758,734300,112.045585632324
2014-02-11,161.619995117188,164.809997558594,161.25,163.380004882812,733200,112.965187072754
2014-02-12,163.669998168945,163.679992675781,162,163.509994506836,543200,113.05500793457
2014-02-13,162.899993896484,165.190002441406,162.289993286133,164.520004272461,614700,113.753387451172
2014-02-14,164.190002441406,166.100006103516,164.070007324219,165.75,460800,114.603797912598
2014-02-18,165.410003662109,167.029998779297,164.820007324219,166.910003662109,711500,115.405906677246
2014-02-19,166.869995117188,167.869995117188,166.029998779297,166.449996948242,642700,115.087799072266
2014-02-20,166.720001220703,167.729995727539,165.610000610352,166.710006713867,686100,115.267616271973
2014-02-21,166.539993286133,167.490005493164,164.520004272461,166.440002441406,1213100,115.080932617188
2014-02-24,166.570007324219,167.820007324219,166.570007324219,166.699996948242,868800,115.260696411133
2014-02-25,166.75,168.740005493164,166.600006103516,167.660003662109,776000,115.924476623535
2014-02-26,166.440002441406,168.679992675781,165.850006103516,167.110000610352,929200,115.544143676758
2014-02-27,167.240005493164,168.429992675781,165.789993286133,166.539993286133,680100,115.150062561035
2014-02-28,166.729995727539,169.600006103516,166.729995727539,169,1315900,116.850959777832
2014-03-03,168.199996948242,168.979995727539,166.970001220703,168.690002441406,759800,116.636604309082
2014-03-04,168.690002441406,171.050003051758,168.690002441406,170.889999389648,617700,118.157745361328
2014-03-05,170.75,172.110000610352,170,171.169998168945,733200,118.351364135742
2014-03-06,171.089996337891,171.419998168945,169.199996948242,169.330001831055,751600,117.079139709473
2014-03-07,168.820007324219,168.820007324219,166.660003662109,167.550003051758,818700,115.848388671875
2014-03-10,167.580001831055,167.830001831055,166.059997558594,167.029998779297,665500,115.488861083984
2014-03-11,168,168.179992675781,166.910003662109,167.809997558594,620200,116.028160095215
2014-03-12,165.929992675781,167.009994506836,165.850006103516,166.800003051758,617100,116.300086975098
2014-03-13,167.25,167.690002441406,166,167.149993896484,745200,116.544136047363
2014-03-14,166.429992675781,168.619995117188,166.429992675781,168.169998168945,990000,117.255302429199
2014-03-17,169.5,169.669998168945,167.660003662109,168.100006103516,687600,117.206520080566
2014-03-18,167.960006713867,170,167.169998168945,168.360000610352,615700,117.387771606445
2014-03-19,168.740005493164,169.600006103516,165.910003662109,166.889999389648,896600,116.362823486328
2014-03-20,166.490005493164,167.630004882812,164.649993896484,167.589996337891,667500,116.85090637207
2014-03-21,169.059997558594,170,167.600006103516,169.360000610352,1454500,118.085029602051
2014-03-24,169.199996948242,169.360000610352,167.520004272461,167.899993896484,667000,117.067039489746
2014-03-25,168.529998779297,169.190002441406,167.350006103516,168.880004882812,774000,117.750366210938
2014-03-26,169.149993896484,169.770004272461,167.110000610352,167.830001831055,775300,117.018264770508
2014-03-27,167.660003662109,168.009994506836,166.320007324219,167.589996337891,672000,116.85090637207
2014-03-28,168.059997558594,169.259994506836,167.610000610352,168.029998779297,507700,117.157691955566
2014-03-31,168.589996337891,169.550003051758,167.460006713867,168.490005493164,663000,117.478393554688
2014-04-01,168.690002441406,169.610000610352,167.410003662109,169.490005493164,606800,118.175643920898
2014-04-02,169.100006103516,170.130004882812,168.490005493164,169.949996948242,545100,118.496376037598
2014-04-03,169.839996337891,169.839996337891,168.580001831055,169.320007324219,442500,118.057167053223
2014-04-04,170.339996337891,170.440002441406,168.979995727539,169.550003051758,506200,118.217491149902
2014-04-07,169.610000610352,170.929992675781,168.899993896484,169.779998779297,604100,118.377883911133
2014-04-08,169.630004882812,171.460006713867,168.809997558594,171.369995117188,620600,119.486488342285
