"Fecha","BIO.Open","BIO.High","BIO.Low","BIO.Close","BIO.Volume","BIO.Adjusted"
2013-11-01,124.230003356934,124.230003356934,121.769996643066,122.940002441406,46400,122.940002441406
2013-11-04,123.379997253418,125,122.190002441406,124.339996337891,71800,124.339996337891
2013-11-05,123.330001831055,123.860000610352,121.919998168945,122.190002441406,69000,122.190002441406
2013-11-06,122.819999694824,123,120.949996948242,122.680000305176,63400,122.680000305176
2013-11-07,122.599998474121,123.98999786377,121.120002746582,123.610000610352,74200,123.610000610352
2013-11-08,122.370002746582,123.099998474121,119.76000213623,121.629997253418,145700,121.629997253418
2013-11-11,120.73999786377,122.23999786377,120.400001525879,121.139999389648,95900,121.139999389648
2013-11-12,120.599998474121,121.919998168945,119.620002746582,121.849998474121,51100,121.849998474121
2013-11-13,121.150001525879,121.830001831055,120.860000610352,121.830001831055,39400,121.830001831055
2013-11-14,121.650001525879,122.23999786377,119.690002441406,121.699996948242,25200,121.699996948242
2013-11-15,121.26000213623,123.519996643066,121.080001831055,123.23999786377,45700,123.23999786377
2013-11-18,122.629997253418,123.470001220703,121.680000305176,121.769996643066,30600,121.769996643066
2013-11-19,121.5,122,120.98999786377,121.580001831055,46700,121.580001831055
2013-11-20,121.480003356934,122.860000610352,119.830001831055,122.290000915527,23800,122.290000915527
2013-11-21,122.440002441406,123.879997253418,122.050003051758,123.73999786377,57800,123.73999786377
2013-11-22,123.75,124.040000915527,122.800003051758,123,29300,123
2013-11-25,122.870002746582,123.980003356934,121.669998168945,122.099998474121,43800,122.099998474121
2013-11-26,121.860000610352,124.019996643066,120.940002441406,123.930000305176,119500,123.930000305176
2013-11-27,124.180000305176,124.180000305176,122.01000213623,123.139999389648,41900,123.139999389648
2013-11-29,123.360000610352,123.580001831055,121.26000213623,122.620002746582,38800,122.620002746582
2013-12-02,122.120002746582,123.360000610352,119.690002441406,122.360000610352,62300,122.360000610352
2013-12-03,121.720001220703,122.599998474121,120.419998168945,122.360000610352,42500,122.360000610352
2013-12-04,121.5,122.940002441406,120.279998779297,122.190002441406,102100,122.190002441406
2013-12-05,122.25,123.059997558594,120.849998474121,121.580001831055,49900,121.580001831055
2013-12-06,122.069999694824,122.800003051758,121.680000305176,122.73999786377,72200,122.73999786377
2013-12-09,122.360000610352,122.980003356934,121.730003356934,121.75,85000,121.75
2013-12-10,121.099998474121,121.5,119.839996337891,121.110000610352,92800,121.110000610352
2013-12-11,120.940002441406,120.940002441406,118.610000610352,119.610000610352,127500,119.610000610352
2013-12-12,118.970001220703,120.279998779297,118.970001220703,119.860000610352,90900,119.860000610352
2013-12-13,120.629997253418,121.690002441406,119.819999694824,121.669998168945,68400,121.669998168945
2013-12-16,120.660003662109,122.879997253418,120.660003662109,122.449996948242,68900,122.449996948242
2013-12-17,122.76000213623,122.76000213623,121.309997558594,122.330001831055,72600,122.330001831055
2013-12-18,122.730003356934,124.230003356934,121.319999694824,123.879997253418,94100,123.879997253418
2013-12-19,123.860000610352,124.199996948242,122.730003356934,122.790000915527,175500,122.790000915527
2013-12-20,122.680000305176,123.230003356934,121.860000610352,122.849998474121,139200,122.849998474121
2013-12-23,123.839996337891,124.209999084473,123.089996337891,123.610000610352,98000,123.610000610352
2013-12-24,123.709999084473,123.959999084473,123.400001525879,123.540000915527,57600,123.540000915527
2013-12-26,123.300003051758,123.949996948242,122.730003356934,123.860000610352,112400,123.860000610352
2013-12-27,124.25,124.440002441406,123.5,124.349998474121,123100,124.349998474121
2013-12-30,124.400001525879,124.610000610352,123.75,124.5,127800,124.5
2013-12-31,124.25,124.290000915527,123.589996337891,123.610000610352,151500,123.610000610352
2014-01-02,123.930000305176,123.930000305176,121.919998168945,122.650001525879,62200,122.650001525879
2014-01-03,122.01000213623,122.5,121.349998474121,121.849998474121,134600,121.849998474121
2014-01-06,121.470001220703,121.949996948242,120.540000915527,121.069999694824,179400,121.069999694824
2014-01-07,121.879997253418,124.019996643066,120.430000305176,123.919998168945,183000,123.919998168945
2014-01-08,123.180000305176,124.360000610352,123.180000305176,124.349998474121,162600,124.349998474121
2014-01-09,124.5,128.580001831055,124.389999389648,128.360000610352,148500,128.360000610352
2014-01-10,128.970001220703,133,128.210006713867,131.929992675781,267300,131.929992675781
2014-01-13,131.259994506836,131.669998168945,127.48999786377,127.660003662109,150700,127.660003662109
2014-01-14,128.5,131.059997558594,127.819999694824,130.009994506836,122700,130.009994506836
2014-01-15,130,130.509994506836,129.600006103516,129.839996337891,122000,129.839996337891
2014-01-16,129.929992675781,129.929992675781,128.490005493164,128.630004882812,141400,128.630004882812
