"Fecha","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
2013-11-01,66.120002746582,67.0100021362305,66.1100006103516,66.7699966430664,412700,57.9306449890137
2013-11-04,66.7900009155273,67.370002746582,66.7900009155273,67.1600036621094,484900,58.2690086364746
2013-11-05,66.9199981689453,67.2600021362305,66.25,66.6900024414062,296600,57.8612442016602
2013-11-06,66.8899993896484,67.4499969482422,66.7200012207031,67.0800018310547,208500,58.199592590332
2013-11-07,67.1800003051758,67.5199966430664,66.4400024414062,66.5800018310547,328400,57.765796661377
2013-11-08,66.4599990844727,67.3399963378906,66.4599990844727,67.3399963378906,513100,58.425178527832
2013-11-11,67.1999969482422,67.5400009155273,66.8899993896484,67.3499984741211,317200,58.4338531494141
2013-11-12,67.2300033569336,67.879997253418,66.9100036621094,67.2399978637695,620900,58.3384284973145
2013-11-13,67.0199966430664,67.5899963378906,66.870002746582,67.4100036621094,432100,58.4859237670898
2013-11-14,67.5699996948242,67.9100036621094,67.2900009155273,67.5500030517578,328100,58.6073837280273
2013-11-15,67.5100021362305,67.6800003051758,67.3199996948242,67.5800018310547,372000,58.6334075927734
2013-11-18,67.7699966430664,67.8199996948242,67.25,67.5299987792969,357300,58.5900268554688
2013-11-19,67.4700012207031,67.6900024414062,66.9100036621094,67.2399978637695,381300,58.3384284973145
2013-11-20,67.3300018310547,67.5800018310547,67.0599975585938,67.2799987792969,374700,58.3731307983398
2013-11-21,67.4100036621094,68.3300018310547,67.0899963378906,68.129997253418,468700,59.1105880737305
2013-11-22,68.0999984741211,68.3899993896484,67.7099990844727,68.2900009155273,305600,59.2494087219238
2013-11-25,68.25,68.6900024414062,68.120002746582,68.5,395500,59.4316139221191
2013-11-26,68.5,68.6500015258789,67.9199981689453,67.9899978637695,678300,58.989128112793
2013-11-27,68.0299987792969,69.0299987792969,67.7600021362305,69,522900,59.8654251098633
2013-11-29,69.1900024414062,69.5,68.6800003051758,68.7099990844727,267000,59.6138114929199
2013-12-02,68.870002746582,69.8300018310547,68.5100021362305,68.8899993896484,643500,59.7699775695801
2013-12-03,68.629997253418,69.0800018310547,67.7300033569336,68.2600021362305,503300,59.2234077453613
2013-12-04,68.0299987792969,68.6900024414062,67.3099975585938,67.9199981689453,407200,58.9283981323242
2013-12-05,67.7600021362305,68.7200012207031,67.4100036621094,68.3000030517578,532700,59.2580909729004
2013-12-06,68.9300003051758,69.6800003051758,68.8399963378906,69.5199966430664,349000,60.316577911377
2013-12-09,69.5400009155273,69.7900009155273,69.2699966430664,69.5500030517578,393400,60.3426284790039
2013-12-10,69.379997253418,70,69.3499984741211,69.4899978637695,418900,60.2905426025391
2013-12-11,69.4000015258789,69.8499984741211,67.9800033569336,68.1600036621094,462900,59.3415718078613
2013-12-12,67.9700012207031,68.4100036621094,67.4400024414062,67.5400009155273,584600,58.8018074035645
2013-12-13,67.75,67.9800033569336,67.5199966430664,67.9300003051758,281300,59.1413421630859
2013-12-16,68.2699966430664,69.3300018310547,67.9300003051758,68.0599975585938,320600,59.2544898986816
2013-12-17,68.120002746582,68.8099975585938,67.8199996948242,68.7699966430664,519800,59.8726348876953
2013-12-18,66,66.3300018310547,63.6300010681152,63.810001373291,2349100,55.5543594360352
2013-12-19,63.4300003051758,63.689998626709,62.4799995422363,63.1300010681152,1333600,54.9623527526855
2013-12-20,62.9099998474121,63.9199981689453,62.7900009155273,63.5900001525879,1135800,55.3628425598145
2013-12-23,63.8300018310547,63.8300018310547,62.4199981689453,62.4599990844727,1068500,54.379020690918
2013-12-24,62.2999992370605,62.9599990844727,62.0200004577637,62.6599998474121,412500,54.553165435791
