"Fecha","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
2013-11-01,106.199996948242,107.129997253418,105.150001525879,105.690002441406,1060300,94.5653305053711
2013-11-04,106.220001220703,106.599998474121,105.650001525879,105.959999084473,602200,94.806884765625
2013-11-05,105.459999084473,105.980003356934,104.839996337891,105.319999694824,758000,94.2342758178711
2013-11-06,105.919998168945,106.980003356934,105.580001831055,106.389999389648,550300,95.1916656494141
2013-11-07,106.389999389648,106.730003356934,104.529998779297,104.620002746582,642600,93.6079635620117
2013-11-08,104.809997558594,106.589996337891,104.529998779297,106.559997558594,723100,95.34375
2013-11-11,106.48999786377,106.569999694824,105.779998779297,105.98999786377,491400,94.8337478637695
2013-11-12,105.809997558594,106.48999786377,105.059997558594,106.430000305176,689200,95.227424621582
2013-11-13,106,106.330001831055,104.690002441406,106.290000915527,754200,95.102180480957
2013-11-14,106.720001220703,107.23999786377,106.150001525879,107.029998779297,707800,95.7643280029297
2013-11-15,107.330001831055,107.860000610352,106.970001220703,107.610000610352,1195100,96.2832489013672
2013-11-18,107.819999694824,107.889999389648,106.709999084473,107.069999694824,713100,95.8000793457031
2013-11-19,106.699996948242,107.199996948242,106.209999084473,106.580001831055,719900,95.3616409301758
2013-11-20,106.730003356934,107.160003662109,106.199996948242,106.589996337891,494700,95.3705978393555
2013-11-21,107.120002746582,107.76000213623,106.559997558594,107.419998168945,673700,96.1132583618164
2013-11-22,107.470001220703,107.550003051758,106.75,107.459999084473,576200,96.1490020751953
2013-11-25,107.48999786377,107.889999389648,105.970001220703,106.480003356934,806900,95.2721939086914
2013-11-26,106.720001220703,108.139999389648,106.300003051758,107.98999786377,1711100,96.6232223510742
2013-11-27,107.940002441406,107.940002441406,106.809997558594,106.959999084473,772200,95.7016372680664
2013-11-29,107.160003662109,107.769996643066,106.860000610352,107.169998168945,417900,95.8895492553711
2013-12-02,106.900001525879,106.980003356934,105.650001525879,105.75,956500,94.6190185546875
2013-12-03,105.26000213623,105.790000915527,103.209999084473,103.650001525879,1589500,92.7400665283203
