"Fecha","ULTA.Open","ULTA.High","ULTA.Low","ULTA.Close","ULTA.Volume","ULTA.Adjusted"
2013-11-01,128.800003051758,130.330001831055,127.680000305176,128.630004882812,271800,128.630004882812
2013-11-04,129.309997558594,131.330001831055,128.429992675781,130.699996948242,354400,130.699996948242
2013-11-05,130.399993896484,131.990005493164,128.850006103516,131.5,232100,131.5
2013-11-06,131.839996337891,131.940002441406,129.630004882812,131.410003662109,282300,131.410003662109
2013-11-07,131.460006713867,131.960006713867,126.300003051758,126.839996337891,593600,126.839996337891
2013-11-08,127.059997558594,129.199996948242,126.610000610352,127.889999389648,507600,127.889999389648
2013-11-11,128.460006713867,129.910003662109,127.069999694824,128.270004272461,377400,128.270004272461
2013-11-12,128.619995117188,129.669998168945,127.220001220703,129.529998779297,587500,129.529998779297
2013-11-13,128.539993286133,130.529998779297,128.020004272461,130.410003662109,433400,130.410003662109
2013-11-14,130.309997558594,130.669998168945,129.050003051758,130.440002441406,305700,130.440002441406
2013-11-15,130.160003662109,132.350006103516,130.160003662109,131.240005493164,391500,131.240005493164
2013-11-18,132.020004272461,132.720001220703,129.580001831055,129.979995727539,357500,129.979995727539
2013-11-19,129.960006713867,131.410003662109,127.370002746582,127.48999786377,371400,127.48999786377
2013-11-20,128.100006103516,128.339996337891,125.73999786377,125.800003051758,444700,125.800003051758
2013-11-21,125.800003051758,129.160003662109,125.800003051758,127.110000610352,462900,127.110000610352
2013-11-22,127.370002746582,128.539993286133,127.01000213623,128,326600,128
2013-11-25,128.160003662109,130,127.949996948242,129.149993896484,311800,129.149993896484
2013-11-26,128.889999389648,130.729995727539,128.839996337891,128.889999389648,454600,128.889999389648
2013-11-27,129,129.490005493164,127.860000610352,128.470001220703,433300,128.470001220703
2013-11-29,128.660003662109,128.75,126.430000305176,126.940002441406,340000,126.940002441406
2013-12-02,126.73999786377,128.119995117188,126.339996337891,126.930000305176,396500,126.930000305176
2013-12-03,126.389999389648,126.889999389648,124.440002441406,125.01000213623,598100,125.01000213623
2013-12-04,123.730003356934,124.98999786377,122.550003051758,123.480003356934,1079800,123.480003356934
2013-12-05,124.849998474121,125.900001525879,117.800003051758,118,2509100,118
2013-12-06,92.2699966430664,97.75,91.6999969482422,93.7600021362305,13926700,93.7600021362305
2013-12-09,93.129997253418,93.8000030517578,89.6500015258789,90.2099990844727,6152800,90.2099990844727
2013-12-10,89.4199981689453,96.3099975585938,89.4199981689453,94.3899993896484,4165200,94.3899993896484
2013-12-11,94.2200012207031,95.3600006103516,92.7399978637695,93.2099990844727,3018400,93.2099990844727
2013-12-12,93.370002746582,93.370002746582,91.0999984741211,91.2399978637695,914500,91.2399978637695
2013-12-13,91.4800033569336,93.3199996948242,91.2600021362305,91.9599990844727,876800,91.9599990844727
2013-12-16,92.1399993896484,93,90.5999984741211,91.1800003051758,1095100,91.1800003051758
2013-12-17,91.9400024414062,91.9400024414062,88.6100006103516,91.629997253418,1820700,91.629997253418
2013-12-18,91.5,94.3899993896484,91.4899978637695,93.6399993896484,1849000,93.6399993896484
2013-12-19,93.0199966430664,94.629997253418,92.7300033569336,93.4400024414062,743200,93.4400024414062
2013-12-20,93.7099990844727,95.1900024414062,93.2399978637695,95.1900024414062,1917100,95.1900024414062
2013-12-23,95.1699981689453,95.9199981689453,93.0100021362305,93.3600006103516,1092600,93.3600006103516
2013-12-24,93.4199981689453,94.9899978637695,93.0599975585938,94.4199981689453,515900,94.4199981689453
2013-12-26,95.0500030517578,95.5500030517578,94.3499984741211,94.8099975585938,544100,94.8099975585938
2013-12-27,94.6900024414062,95.4000015258789,93.4800033569336,93.5299987792969,412000,93.5299987792969
2013-12-30,93.75,94.379997253418,93.0699996948242,94.370002746582,622800,94.370002746582
2013-12-31,94.2600021362305,97.1500015258789,93.5899963378906,96.5199966430664,1382500,96.5199966430664
2014-01-02,96.2099990844727,98.2600021362305,95.6999969482422,95.9100036621094,1619100,95.9100036621094
2014-01-03,95.9000015258789,97.0299987792969,94.6600036621094,94.9199981689453,708200,94.9199981689453
2014-01-06,95.0299987792969,95.6500015258789,92.5100021362305,92.9100036621094,1182000,92.9100036621094
2014-01-07,93.3199996948242,94.8300018310547,92.1699981689453,94.4599990844727,829900,94.4599990844727
2014-01-08,94.2399978637695,94.3199996948242,92.9599990844727,94.1699981689453,653800,94.1699981689453
2014-01-09,94.1900024414062,94.4199981689453,91.6100006103516,92.2900009155273,1126000,92.2900009155273
2014-01-10,92.5999984741211,93.5800018310547,91.6600036621094,92.3300018310547,790900,92.3300018310547
2014-01-13,91.9800033569336,92.3600006103516,88.1500015258789,88.8899993896484,1198700,88.8899993896484
2014-01-14,89.129997253418,90.3000030517578,88.3199996948242,88.7600021362305,999600,88.7600021362305
2014-01-15,88.5,88.8499984741211,82.4199981689453,85.8899993896484,3204800,85.8899993896484
2014-01-16,85.5,85.75,82.3300018310547,82.75,2979100,82.75
2014-01-17,81.6699981689453,85.2399978637695,81.1900024414062,83.5599975585938,1772800,83.5599975585938
2014-01-21,83.8199996948242,83.8199996948242,80.4700012207031,80.9300003051758,1618500,80.9300003051758
2014-01-22,81.2399978637695,83.0999984741211,80.3499984741211,83.0599975585938,1297200,83.0599975585938
