"Fecha","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
2013-11-01,166.960006713867,167.949996948242,166.419998168945,167.699996948242,816300,139.183822631836
2013-11-04,167.880004882812,168.380004882812,165.919998168945,166.490005493164,1035200,138.179550170898
2013-11-05,165,166.380004882812,164.539993286133,165.199996948242,1092500,137.937393188477
2013-11-06,166.75,166.889999389648,163.419998168945,164.380004882812,1270000,137.252792358398
2013-11-07,165.050003051758,165.350006103516,159.369995117188,159.509994506836,2622700,133.186431884766
2013-11-08,159.860000610352,164.240005493164,159.860000610352,163.710006713867,2471800,136.693344116211
2013-11-11,163.990005493164,166.179992675781,162.949996948242,165.029998779297,725200,137.795455932617
2013-11-12,164.820007324219,167.649993896484,164.399993896484,167.380004882812,2799100,139.757675170898
2013-11-13,165.75,170.240005493164,165.600006103516,170.210006713867,1024100,142.120681762695
2013-11-14,170.119995117188,170.309997558594,167.759994506836,168.509994506836,712100,140.701232910156
2013-11-15,168.509994506836,169.660003662109,165.600006103516,166.389999389648,1411200,138.931045532227
2013-11-18,164.550003051758,166.639999389648,163,163.589996337891,905100,139.10107421875
2013-11-19,163.190002441406,163.809997558594,158.139999389648,159.199996948242,1396500,135.368240356445
2013-11-20,160.470001220703,160.960006713867,157.479995727539,158.389999389648,780100,134.679565429688
2013-11-21,159.970001220703,165,159.320007324219,163.529998779297,2878200,139.050094604492
2013-11-22,163.570007324219,164.020004272461,161.119995117188,162.449996948242,717900,138.131759643555
2013-11-25,163.149993896484,164.610000610352,162.899993896484,163.669998168945,638600,139.169158935547
2013-11-26,163.720001220703,164.830001831055,163.009994506836,164,544200,139.449768066406
2013-11-27,164.190002441406,166.449996948242,163.5,165.559997558594,617600,140.776214599609
2013-11-29,165.850006103516,167.410003662109,164.949996948242,165.869995117188,565500,141.039794921875
2013-12-02,165.570007324219,167.369995117188,164.119995117188,164.740005493164,750100,140.078979492188
2013-12-03,164,165.369995117188,161.880004882812,163.309997558594,1287300,138.863052368164
2013-12-04,162.720001220703,168.990005493164,162.130004882812,167.779998779297,1568600,142.663940429688
2013-12-05,167.669998168945,172.869995117188,167.100006103516,171.410003662109,1694200,145.750518798828
2013-12-06,173,174,169.720001220703,173.160003662109,1383800,147.238540649414
2013-12-09,173.5,179.119995117188,173.5,178.529998779297,2595100,151.804656982422
2013-12-10,178.490005493164,181.759994506836,176.410003662109,181.149993896484,1742100,154.032440185547
2013-12-11,181.240005493164,183.440002441406,180.020004272461,180.699996948242,1598900,153.649765014648
2013-12-12,180.839996337891,182.410003662109,178.479995727539,179.490005493164,1277800,152.620971679688
2013-12-13,181.020004272461,182.259994506836,179.919998168945,181.759994506836,968600,154.551132202148
2013-12-16,183.050003051758,185.410003662109,181.240005493164,182.820007324219,1282500,155.452438354492
2013-12-17,183.229995727539,184.009994506836,180.839996337891,182.479995727539,1061700,155.163330078125
2013-12-18,183.529998779297,186.960006713867,181.5,186.669998168945,1145500,158.726119995117
2013-12-19,187.350006103516,187.350006103516,183.059997558594,185.110000610352,1047300,157.399658203125
2013-12-20,186.009994506836,186.070007324219,181.889999389648,185.350006103516,1534600,157.603759765625
2013-12-23,186.649993896484,186.649993896484,184.009994506836,185.149993896484,801700,157.433685302734
2013-12-24,185.990005493164,190.800003051758,185.179992675781,189.25,862500,160.919876098633
2013-12-26,189.350006103516,191.580001831055,188.809997558594,191.039993286133,692400,162.44189453125
2013-12-27,191.210006713867,191.899993896484,190.029998779297,191.25,587500,162.620483398438
2013-12-30,190.830001831055,194.389999389648,190.699996948242,193.289993286133,1948600,164.355102539062
2013-12-31,193.300003051758,194.529998779297,191.830001831055,194.210006713867,731500,165.137420654297
2014-01-02,194.139999389648,199.880004882812,193.119995117188,197.940002441406,3054800,168.309051513672
2014-01-03,198.149993896484,198.75,195.119995117188,196,1169400,166.659439086914
2014-01-06,198.289993286133,198.839996337891,195.199996948242,195.860000610352,1289100,166.540451049805
2014-01-07,196.649993896484,202.880004882812,196.649993896484,201.509994506836,1686500,171.344589233398
2014-01-08,202.669998168945,205.399993896484,201.369995117188,205.289993286133,1406000,174.558776855469
2014-01-09,205.75,206.490005493164,203.149993896484,204.770004272461,1228300,174.116622924805
2014-01-10,204.350006103516,207.240005493164,202.259994506836,206.860000610352,1151000,175.893737792969
2014-01-13,206.100006103516,209.740005493164,203.360000610352,203.470001220703,1618900,173.01123046875
2014-01-14,203.940002441406,207.940002441406,202.539993286133,207.600006103516,1587500,176.523010253906
2014-01-15,207.899993896484,210.410003662109,207.089996337891,210.100006103516,1025100,178.648727416992
2014-01-16,209.059997558594,210.119995117188,207.839996337891,210.089996337891,904400,178.640182495117
2014-01-21,216.559997558594,216.990005493164,209.979995727539,212.270004272461,1815600,180.493896484375
