"Fecha","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
2013-11-01,104.629997253418,104.75,103.129997253418,103.800003051758,281600,83.9938507080078
2013-11-04,104.5,105.059997558594,103.970001220703,104.980003356934,189200,84.9487152099609
2013-11-05,104.330001831055,105.300003051758,103.930000305176,104.910003662109,173500,84.8920593261719
2013-11-06,105.279998779297,105.76000213623,104.419998168945,104.98999786377,143100,84.956787109375
2013-11-07,105.019996643066,105.639999389648,103.470001220703,103.839996337891,239300,84.0262145996094
2013-11-08,103.569999694824,105.019996643066,103.129997253418,104.959999084473,142700,84.932502746582
2013-11-11,105.089996337891,105.580001831055,104.849998474121,105.01000213623,112500,84.9729766845703
2013-11-12,104.980003356934,105.139999389648,104.26000213623,104.349998474121,253700,84.4389190673828
2013-11-13,103.98999786377,106.01000213623,103.98999786377,105.980003356934,418900,85.7578735351562
2013-11-14,106.349998474121,107.449996948242,106.089996337891,107,216700,86.5832443237305
2013-11-15,106.980003356934,107.440002441406,106.459999084473,107.040000915527,183100,86.6156234741211
2013-11-18,107.48999786377,107.540000915527,106,106.180000305176,297000,85.9197235107422
2013-11-19,106.230003356934,106.459999084473,104.940002441406,105.309997558594,273200,85.2157287597656
2013-11-20,105,105.699996948242,104.220001220703,104.610000610352,132800,85.0044708251953
2013-11-21,104.76000213623,106.160003662109,104.709999084473,105.930000305176,111400,86.0770645141602
2013-11-22,105.849998474121,106.279998779297,105.26000213623,106.23999786377,143100,86.3289642333984
2013-11-25,106.449996948242,106.75,105.839996337891,106.419998168945,145600,86.4752349853516
2013-11-26,106.319999694824,106.849998474121,106.099998474121,106.349998474121,135400,86.4183502197266
2013-11-27,106.309997558594,106.910003662109,105.400001525879,106.040000915527,136800,86.1664505004883
2013-11-29,106.120002746582,106.650001525879,105.290000915527,106.150001525879,64600,86.2558059692383
2013-12-02,105.860000610352,105.860000610352,104.699996948242,105.269996643066,387500,85.540771484375
2013-12-03,104.860000610352,105.48999786377,104.699996948242,105.400001525879,157300,85.6464080810547
2013-12-04,104.620002746582,105.589996337891,103.410003662109,104.519996643066,172900,84.9313354492188
2013-12-05,104.169998168945,105.150001525879,103.910003662109,104.029998779297,291400,84.5331649780273
2013-12-06,105.040000915527,106.220001220703,104.860000610352,105.959999084473,214300,86.101432800293
2013-12-09,106.019996643066,106.809997558594,105.879997253418,106.209999084473,199300,86.3045883178711
2013-12-10,105.849998474121,106.580001831055,105.330001831055,105.589996337891,167900,85.80078125
2013-12-11,105.51000213623,105.819999694824,103.26000213623,103.440002441406,271200,84.0537490844727
2013-12-12,103.519996643066,103.699996948242,102.889999389648,103.190002441406,306100,83.8505706787109
2013-12-13,103.48999786377,104.220001220703,102.879997253418,103.790000915527,253200,84.3381118774414
2013-12-16,104.419998168945,105.220001220703,103.379997253418,104.680000305176,204200,85.0613479614258
2013-12-17,104.620002746582,105.339996337891,103.720001220703,104.98999786377,293600,85.3132400512695
2013-12-18,105.360000610352,107.51000213623,104.540000915527,107.430000305176,248900,87.2959442138672
2013-12-19,106.930000305176,106.980003356934,106.300003051758,106.540000915527,346800,86.5727767944336
2013-12-20,106.610000610352,107.930000305176,106.360000610352,106.889999389648,294200,86.8571548461914
2013-12-23,107.459999084473,108.129997253418,106.910003662109,107.930000305176,187000,87.7022399902344
2013-12-24,108.050003051758,108.529998779297,108.050003051758,108.5,73000,88.1654281616211
2013-12-26,108.599998474121,109.23999786377,108.389999389648,108.879997253418,102100,88.4741897583008
2013-12-27,108.910003662109,108.910003662109,108.080001831055,108.269996643066,98300,87.9785232543945
2013-12-30,108.23999786377,108.839996337891,108,108.73999786377,117000,88.3604049682617
2013-12-31,109.120002746582,109.73999786377,108.660003662109,109.519996643066,257500,88.9942245483398
2014-01-02,109.279998779297,109.669998168945,108.139999389648,108.550003051758,252500,88.2060699462891
2014-01-03,108.730003356934,109.290000915527,108.470001220703,108.76000213623,155200,88.3766555786133
2014-01-06,109.069999694824,109.569999694824,107.269996643066,107.629997253418,151300,87.4584579467773
2014-01-07,108.190002441406,108.360000610352,107.419998168945,107.879997253418,164300,87.66162109375
2014-01-08,107.830001831055,108.180000305176,107,107.76000213623,188500,87.5641098022461
2014-01-09,108.089996337891,108.48999786377,107.110000610352,107.5,260400,87.3528137207031
2014-01-10,108.150001525879,108.300003051758,107.129997253418,107.529998779297,230100,87.377197265625
2014-01-13,106.98999786377,107.800003051758,105.669998168945,105.98999786377,206400,86.1258392333984
