"Fecha","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
2013-11-01,45.2518463134766,45.5742111206055,44.8824691772461,45.3190078735352,1189115,37.7814979553223
2013-11-04,45.4466094970703,45.7018127441406,45.2854270935059,45.5674934387207,874043,37.9886627197266
2013-11-05,45.3995971679688,45.997314453125,44.9697761535645,45.7756881713867,1272053,38.1622352600098
2013-11-06,45.9032897949219,46.030891418457,45.4600410461426,45.6816673278809,871512,38.0838508605957
2013-11-07,45.8764266967773,45.9905967712402,44.4862327575684,44.5533905029297,1240486,37.1432228088379
2013-11-08,44.5466766357422,45.2518463134766,44.5332450866699,45.2384147644043,1647579,37.7143173217773
2013-11-11,45.2787094116211,45.6883811950684,45.2115516662598,45.60107421875,1784864,38.0166473388672
2013-11-12,45.5540618896484,45.9368705749512,45.4063148498535,45.7018127441406,922584,38.100643157959
2013-11-13,45.4600410461426,45.9838829040527,45.3525848388672,45.9704513549805,1183904,38.3246040344238
2013-11-14,46.185359954834,46.8770980834961,46.0510406494141,46.8368034362793,1180033,39.0468559265137
2013-11-15,47.2128944396973,47.5083961486816,46.957691192627,47.3337821960449,1785907,39.4611892700195
2013-11-18,47.4949645996094,47.6427116394043,47.0382804870605,47.2061805725098,949982,39.3548011779785
2013-11-19,47.2330436706543,47.3807907104492,46.5547332763672,46.7427787780762,1129704,38.9684677124023
2013-11-20,47.011417388916,47.2800521850586,46.6823387145996,46.769645690918,1402787,38.9908561706543
2013-11-21,46.9106788635254,47.3472137451172,46.7427787780762,47.2934875488281,1319105,39.4275856018066
2013-11-22,47.2330436706543,47.4143714904785,46.5681686401367,47.2599067687988,1340845,39.3995895385742
2013-11-25,47.3472137451172,47.7233047485352,47.3404960632324,47.5486907958984,890273,39.6403465270996
2013-11-26,47.5285415649414,47.8844871520996,47.4613838195801,47.6427116394043,1245102,39.7187271118164
2013-11-27,47.6830101013184,47.9650764465332,47.2867698669434,47.8643379211426,918117,39.9034957885742
2013-11-29,47.8710556030273,47.9180641174316,47.4815292358398,47.4949645996094,539018,39.5955696105957
