"Fecha","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume","ITW.Adjusted"
2013-11-01,79.0500030517578,79.3499984741211,78.5100021362305,78.9800033569336,1442000,62.742561340332
2013-11-04,79.25,79.2900009155273,79.0199966430664,79.2200012207031,1317300,62.9332275390625
2013-11-05,78.9400024414062,79.3300018310547,78.5100021362305,79.1500015258789,1422100,62.8775825500488
2013-11-06,79.6800003051758,79.6800003051758,79.1600036621094,79.25,1444300,62.9570503234863
2013-11-07,78.8099975585938,79.2799987792969,78.3000030517578,78.3600006103516,1727100,62.2500152587891
2013-11-08,78.3600006103516,79.2799987792969,78.2200012207031,79.0800018310547,1903600,62.8220100402832
2013-11-11,79.0899963378906,79.3600006103516,79.0100021362305,79.0899963378906,991100,62.8299369812012
2013-11-12,79.0599975585938,79.2699966430664,78.6399993896484,78.8300018310547,1312400,62.6234016418457
2013-11-13,78.5199966430664,79.3300018310547,78.3899993896484,79.25,1962400,62.9570503234863
2013-11-14,79.5,79.7799987792969,79.1999969482422,79.5500030517578,2103400,63.1953964233398
2013-11-15,79.8099975585938,79.9199981689453,79.5800018310547,79.6500015258789,2535700,63.2748374938965
2013-11-18,79.9599990844727,79.9700012207031,79.25,79.4499969482422,1571100,63.1159248352051
2013-11-19,79.3499984741211,79.6999969482422,79.0299987792969,79.1699981689453,1566600,62.8935012817383
2013-11-20,79.5199966430664,79.5299987792969,78.5500030517578,78.6399993896484,1486400,62.4724807739258
2013-11-21,78.7900009155273,79.4199981689453,78.7399978637695,79.1699981689453,1597800,62.8935012817383
2013-11-22,79.0899963378906,79.5299987792969,78.9199981689453,79.5,1717000,63.1556510925293
2013-11-25,79.6100006103516,79.8399963378906,79.1900024414062,79.2399978637695,1113300,62.9491004943848
2013-11-26,79.3000030517578,79.5400009155273,79.1600036621094,79.2799987792969,1556000,62.980884552002
2013-11-27,79.5400009155273,79.6800003051758,79.2399978637695,79.5,1184600,63.1556510925293
2013-11-29,79.4700012207031,79.8399963378906,79.4700012207031,79.5800018310547,792200,63.2192077636719
2013-12-02,79.4000015258789,79.8000030517578,79.0199966430664,79.0800018310547,1899800,62.8220100402832
2013-12-03,78.5400009155273,78.9800033569336,77.9599990844727,78.2099990844727,2418900,62.1308555603027
2013-12-04,77.870002746582,78.5,77.3000030517578,78.120002746582,2096700,62.0593566894531
