"Fecha","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
2013-11-01,64.9199981689453,65.2799987792969,64.7699966430664,65.1399993896484,1214300,42.9252624511719
2013-11-04,65.4199981689453,65.4899978637695,64.6900024414062,64.9700012207031,1373900,42.8132400512695
2013-11-05,64.129997253418,64.4199981689453,63.8199996948242,64.0100021362305,1625500,42.7264709472656
2013-11-06,64.3600006103516,65.0899963378906,64.2200012207031,64.9000015258789,1428200,43.3205490112305
2013-11-07,65.1600036621094,65.4199981689453,64.3600006103516,64.4000015258789,1367500,42.9867897033691
2013-11-08,64.2099990844727,64.4300003051758,63.3199996948242,64.4199981689453,1065500,43.0001487731934
2013-11-11,63.7400016784668,63.7400016784668,62.939998626709,63.2200012207031,1944800,42.199146270752
2013-11-12,63.2000007629395,63.2900009155273,62.6100006103516,63.0099983215332,1767700,42.0589714050293
2013-11-13,62.5499992370605,62.7999992370605,62.0200004577637,62.7900009155273,1090700,41.9121246337891
2013-11-14,63,63.5499992370605,62.810001373291,63.4300003051758,893000,42.3393173217773
2013-11-15,63.2900009155273,63.8699989318848,63.1599998474121,63.6699981689453,1170500,42.4995155334473
2013-11-18,63.8699989318848,63.9099998474121,63.5,63.5499992370605,995200,42.4194183349609
2013-11-19,63.6399993896484,63.7099990844727,63.060001373291,63.2799987792969,990400,42.2391929626465
2013-11-20,63.6199989318848,63.6199989318848,62.7999992370605,62.8300018310547,1359900,41.9388275146484
2013-11-21,63.1599998474121,63.2000007629395,62.810001373291,62.8800010681152,1011600,41.9722023010254
2013-11-22,62.75,62.8800010681152,62.3899993896484,62.5299987792969,1185200,41.7385787963867
2013-11-25,62.6800003051758,62.939998626709,62.4000015258789,62.5200004577637,864400,41.7318954467773
2013-11-26,62.5,62.6599998474121,61.8300018310547,62,1520000,41.3848037719727
2013-11-27,61.9500007629395,62.2299995422363,61.5999984741211,61.75,1135100,41.2179374694824
2013-11-29,61.7700004577637,62.2700004577637,61.6199989318848,61.8899993896484,557800,41.3113822937012
2013-12-02,62.060001373291,62.3199996948242,61.6500015258789,62.2799987792969,1578800,41.5717010498047
2013-12-03,62.0099983215332,62.1500015258789,61.5499992370605,61.9700012207031,1629600,41.3647804260254
2013-12-04,61.6699981689453,62.3899993896484,61.5999984741211,62.1599998474121,987900,41.4915962219238
2013-12-05,62.0299987792969,62.2900009155273,61.75,62.2400016784668,1215200,41.5450019836426
2013-12-06,62.560001373291,63.3400001525879,62.4000015258789,63.0099983215332,1163100,42.0589714050293
2013-12-09,62.810001373291,62.9900016784668,62.1199989318848,62.4000015258789,1317200,41.6518096923828
2013-12-10,62.1100006103516,62.2000007629395,60.2200012207031,61.2999992370605,4628900,40.9175567626953
2013-12-11,60.6399993896484,61.2799987792969,60.4199981689453,60.8499984741211,2502900,40.6171684265137
2013-12-12,60.8499984741211,61.6699981689453,60.8400001525879,61.2200012207031,1550900,40.8641510009766
2013-12-13,61.2799987792969,61.4300003051758,60.5699996948242,61.2000007629395,1242400,40.8507919311523
2013-12-16,61.2900009155273,62.1599998474121,61.2799987792969,61.8899993896484,1673600,41.3113822937012
2013-12-17,61.7200012207031,61.9000015258789,61.310001373291,61.6500015258789,1209000,41.1511764526367
