"Fecha","LIN.Open","LIN.High","LIN.Low","LIN.Close","LIN.Volume","LIN.Adjusted"
2013-11-01,125.169998168945,125.389999389648,123.809997558594,124.089996337891,1065400,101.926338195801
2013-11-04,124.449996948242,124.459999084473,123.339996337891,123.730003356934,887100,101.630645751953
2013-11-05,124,125.040000915527,123.269996643066,125.01000213623,1323800,102.682006835938
2013-11-06,125.169998168945,126.190002441406,125.019996643066,125.889999389648,784300,103.404830932617
2013-11-07,125.940002441406,126.230003356934,123.980003356934,124.180000305176,1067300,102.00025177002
2013-11-08,124.180000305176,124.5,123.400001525879,124.48999786377,1047400,102.254867553711
2013-11-11,124.699996948242,124.919998168945,124.040000915527,124.680000305176,607700,102.41096496582
2013-11-12,124.349998474121,124.550003051758,123.519996643066,124.050003051758,938300,101.893478393555
2013-11-13,123.839996337891,124.550003051758,123.48999786377,124.540000915527,893100,102.295967102051
2013-11-14,124.98999786377,126.01000213623,124.690002441406,125.620002746582,543300,103.183059692383
2013-11-15,125.879997253418,126.830001831055,125.139999389648,126.800003051758,827800,104.152313232422
2013-11-18,127.300003051758,127.339996337891,125.879997253418,126.290000915527,688300,103.733428955078
2013-11-19,125.980003356934,127,125.699996948242,126.23999786377,693800,103.692306518555
2013-11-20,125.919998168945,126.370002746582,124.349998474121,124.5,812500,102.263076782227
2013-11-21,124.860000610352,125.589996337891,124.190002441406,125.419998168945,632300,103.018783569336
2013-11-22,125.430000305176,126.709999084473,124.919998168945,126.569999694824,725600,103.963371276855
2013-11-25,126.51000213623,127.069999694824,125.949996948242,126.069999694824,699700,103.552665710449
2013-11-26,126.01000213623,126.25,125.599998474121,126.069999694824,1604800,103.552665710449
2013-11-27,125.819999694824,126.860000610352,125.699996948242,126.580001831055,512300,103.97159576416
2013-11-29,126.5,127.089996337891,125.959999084473,126.26000213623,568300,103.708755493164
2013-12-02,126.110000610352,127.379997253418,124.650001525879,124.779998779297,1161700,102.493103027344
2013-12-03,124.129997253418,125.050003051758,123.580001831055,124.23999786377,1154700,102.049537658691
2013-12-04,122.790000915527,123.980003356934,122.389999389648,123.620002746582,822500,102.033027648926
2013-12-05,122.98999786377,123.540000915527,122.339996337891,122.48999786377,1217400,101.10033416748
2013-12-06,123.889999389648,125.559997558594,123.440002441406,125.459999084473,810100,103.551719665527
2013-12-09,125.930000305176,125.980003356934,124.690002441406,125.410003662109,1095100,103.510467529297
2013-12-10,128.199996948242,128.619995117188,125.639999389648,125.940002441406,2042000,103.947914123535
2013-12-11,125.680000305176,126.110000610352,123.949996948242,124.120002746582,1307700,102.44571685791
2013-12-12,123.650001525879,125.059997558594,122.860000610352,124.680000305176,1218500,102.907928466797
2013-12-13,124.809997558594,125.099998474121,124.059997558594,124.25,727200,102.553024291992
2013-12-16,124.599998474121,125.730003356934,124.5,125.019996643066,1017400,103.188552856445
2013-12-17,125,125.75,124.800003051758,125.23999786377,930600,103.370124816895
2013-12-18,125.370002746582,126.730003356934,123.76000213623,126.660003662109,1133900,104.542182922363
2013-12-19,126.230003356934,127.169998168945,125.690002441406,127.150001525879,1108700,104.946586608887
2013-12-20,126.959999084473,127.879997253418,126.819999694824,127.540000915527,1055800,105.268531799316
2013-12-23,128.139999389648,128.139999389648,127.379997253418,127.959999084473,804800,105.61515045166
2013-12-24,127.910003662109,129.119995117188,127.720001220703,128.970001220703,316900,106.448768615723
2013-12-26,128.919998168945,129.619995117188,128.259994506836,129.570007324219,326800,106.944023132324
2013-12-27,130,130.399993896484,129.669998168945,130.009994506836,486500,107.307159423828
2013-12-30,129.679992675781,130.389999389648,129.520004272461,130.009994506836,453100,107.307159423828
2013-12-31,130.440002441406,130.580001831055,129.470001220703,130.029998779297,597600,107.323692321777
2014-01-02,129.139999389648,129.919998168945,128.740005493164,129.5,777700,106.88623046875
