"Fecha","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
2013-11-01,35.9199981689453,36.0250015258789,35.0750007629395,35.4300003051758,7031600,25.8516693115234
2013-11-04,35.4850006103516,35.8800010681152,35.0900001525879,35.8450012207031,4843800,26.1544723510742
2013-11-05,35.5999984741211,35.7449989318848,35.2150001525879,35.3600006103516,5071600,25.8005905151367
2013-11-06,35.5950012207031,35.9799995422363,35.060001373291,35.2000007629395,5263000,25.6838436126709
2013-11-07,35.0299987792969,35.5400009155273,34.689998626709,35.2150001525879,8184800,25.6947937011719
2013-11-08,35.2000007629395,35.939998626709,34.8950004577637,35.8250007629395,5051400,26.1398811340332
2013-11-11,35.8300018310547,36.125,35.4000015258789,36.0999984741211,3816200,26.3405342102051
2013-11-12,36.1500015258789,37.2099990844727,36.0250015258789,37.0050010681152,6765200,27.0008754730225
2013-11-13,36.875,37.5849990844727,36.6199989318848,37.5499992370605,5727200,27.3985328674316
2013-11-14,37.689998626709,39.7000007629395,37.689998626709,39.4300003051758,13853000,28.7702789306641
2013-11-15,39.4550018310547,39.75,38.8699989318848,39.4199981689453,9410800,28.7629871368408
2013-11-18,39.3699989318848,39.6300010681152,38.5950012207031,38.7150001525879,6683200,28.3998737335205
2013-11-19,38.7400016784668,39.875,38.3650016784668,39.4150009155273,10812800,28.9133644104004
2013-11-20,39.5050010681152,39.5800018310547,38.4249992370605,38.7000007629395,5748000,28.3888664245605
2013-11-21,38.6100006103516,39.4850006103516,38.4099998474121,39.3899993896484,5360400,28.8950252532959
2013-11-22,39.6500015258789,40.2150001525879,39.6399993896484,40.125,6741200,29.4342002868652
2013-11-25,40.2750015258789,41.0499992370605,39.8699989318848,40.8899993896484,9178400,29.9953689575195
2013-11-26,41.0950012207031,41.6599998474121,40.7649993896484,40.7750015258789,9426600,29.9110145568848
2013-11-27,40.7750015258789,42.8250007629395,40.7750015258789,42.1699981689453,11929200,30.9343318939209
2013-11-29,42.3199996948242,42.3199996948242,41.310001373291,41.3699989318848,3893800,30.3474884033203
2013-12-02,41.9199981689453,44.1199989318848,41.7099990844727,43.7050018310547,12023200,32.0603523254395
2013-12-03,43.4599990844727,44.1450004577637,43.1949996948242,43.4949989318848,9649200,31.9062957763672
2013-12-04,42.0449981689453,42.9199981689453,41.1199989318848,41.6300010681152,14658200,30.5382080078125
2013-12-05,42.2350006103516,42.7000007629395,41.4099998474121,41.9249992370605,10253600,30.7546138763428
2013-12-06,42.3499984741211,44.4300003051758,42.3300018310547,43.5999984741211,12492600,31.9833145141602
