"Fecha","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
2013-11-01,45.0900001525879,45.4000015258789,44.6699981689453,44.939998626709,305100,39.7912826538086
2013-11-04,45.0499992370605,45.3800010681152,44.8899993896484,45.310001373291,173200,40.1188888549805
2013-11-05,45.0499992370605,45.1599998474121,44.8800010681152,45.060001373291,174900,39.8975296020508
2013-11-06,45.25,45.3199996948242,44.9599990844727,45.2099990844727,151400,40.030345916748
2013-11-07,45.439998626709,45.4500007629395,44.810001373291,44.8300018310547,139600,39.6938934326172
2013-11-08,44.7700004577637,45.3400001525879,44.7700004577637,45.2299995422363,175300,40.0480613708496
2013-11-11,45.2700004577637,45.5499992370605,45,45.439998626709,256100,40.2339897155762
2013-11-12,45.2799987792969,45.7000007629395,45.0200004577637,45.689998626709,107100,40.4553375244141
2013-11-13,45.4300003051758,45.5299987792969,44.9799995422363,45.5200004577637,158100,40.3048362731934
2013-11-14,45.4500007629395,45.7299995422363,45.310001373291,45.4500007629395,74700,40.2428550720215
2013-11-15,45.3699989318848,45.4700012207031,44.9900016784668,45.4199981689453,126000,40.2162857055664
2013-11-18,45.4199981689453,45.4199981689453,44.6500015258789,44.7299995422363,255800,39.789306640625
2013-11-19,44.6800003051758,45.0999984741211,44.5400009155273,44.8899993896484,89600,39.9316520690918
2013-11-20,45.0699996948242,45.4300003051758,44.5699996948242,45.2200012207031,139800,40.2251853942871
2013-11-21,45.4199981689453,46.0299987792969,45.2599983215332,45.7900009155273,218400,40.7322235107422
2013-11-22,45.689998626709,46.2999992370605,45.5,46.2299995422363,269800,41.1236190795898
2013-11-25,46.2200012207031,46.439998626709,45.9500007629395,46.0499992370605,136300,40.9635047912598
2013-11-26,46.0200004577637,46.3300018310547,45.8800010681152,46.1500015258789,124400,41.0524787902832
2013-11-27,46.2700004577637,46.5400009155273,46.0900001525879,46.4300003051758,106600,41.3015365600586
2013-11-29,46.3300018310547,46.5,45.9500007629395,46.1399993896484,81100,41.0435676574707
2013-12-02,46.0900001525879,46.3400001525879,45.6300010681152,46.0499992370605,135800,40.9635047912598
2013-12-03,45.8499984741211,46.2000007629395,45.6500015258789,45.9000015258789,119600,40.830078125
2013-12-04,45.6399993896484,45.8300018310547,44.7200012207031,45.2799987792969,120600,40.2785568237305
2013-12-05,45.2999992370605,45.7000007629395,45.0699996948242,45.7000007629395,103500,40.6521759033203
2013-12-06,46.1800003051758,46.8199996948242,46.1800003051758,46.439998626709,151200,41.3104286193848
2013-12-09,46.4500007629395,46.689998626709,45.9500007629395,46.6199989318848,128500,41.4705467224121
2013-12-10,46.4700012207031,46.4700012207031,45.8199996948242,46,190300,40.9190216064453
2013-12-11,46.0699996948242,46.2299995422363,44.8499984741211,44.9900016784668,263300,40.0206069946289
2013-12-12,44.9000015258789,45.2799987792969,44.689998626709,45.0999984741211,168700,40.1184387207031
2013-12-13,45.189998626709,45.6199989318848,45.0099983215332,45.5,194000,40.4742546081543
2013-12-16,45.6300010681152,46.4199981689453,45.0200004577637,45.9000015258789,198200,40.830078125
2013-12-17,45.9099998474121,45.9099998474121,45.0299987792969,45.560001373291,168100,40.5276298522949
