"Fecha","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
2013-11-01,44.2599983215332,44.689998626709,44.1599998474121,44.5699996948242,254600,34.7697906494141
2013-11-04,44.689998626709,44.9099998474121,44.2000007629395,44.4599990844727,306000,34.6839828491211
2013-11-05,44.4300003051758,44.5800018310547,44,44.0200004577637,370700,34.3407402038574
2013-11-06,44.2299995422363,44.9799995422363,44.1699981689453,44.6800003051758,481700,34.8556098937988
2013-11-07,45,45.4700012207031,44.5400009155273,44.7999992370605,558000,34.94921875
2013-11-08,44.7000007629395,45.6100006103516,44.3499984741211,45.4799995422363,548100,35.4797019958496
2013-11-11,45.5,45.9300003051758,45.189998626709,45.8800010681152,342100,35.7917633056641
2013-11-12,45.8499984741211,45.9000015258789,45.2999992370605,45.7700004577637,350900,35.7059326171875
2013-11-13,45.7200012207031,46.8300018310547,45.4599990844727,46.7299995422363,367700,36.4548606872559
2013-11-14,46.8800010681152,47.439998626709,46.5299987792969,47.060001373291,321300,36.7122917175293
2013-11-15,47.0499992370605,47.1599998474121,46.4799995422363,46.7999992370605,265900,36.509464263916
2013-11-18,46.7799987792969,46.7799987792969,46.3499984741211,46.439998626709,355300,36.2286262512207
2013-11-19,46.3600006103516,46.5099983215332,45.5999984741211,45.7700004577637,526000,35.7059326171875
2013-11-20,45.7799987792969,46.1599998474121,45.310001373291,45.3400001525879,365100,35.3704986572266
2013-11-21,45.0200004577637,45.2400016784668,44.8300018310547,44.9500007629395,590100,35.3547630310059
2013-11-22,45.060001373291,45.3600006103516,44.7700004577637,45.0400009155273,558100,35.4255447387695
2013-11-25,45.0800018310547,45.5200004577637,44.6100006103516,44.7999992370605,315700,35.2367820739746
2013-11-26,44.7999992370605,44.7999992370605,44.1300010681152,44.6699981689453,354100,35.1345252990723
2013-11-27,44.7200012207031,44.7900009155273,44.1699981689453,44.4599990844727,193800,34.9693603515625
2013-11-29,44.5900001525879,45.1300010681152,44.4500007629395,44.4500007629395,195200,34.9615020751953
2013-12-02,44.439998626709,44.75,43.9599990844727,44.2099990844727,307400,34.7727127075195
2013-12-03,44.0900001525879,44.7799987792969,43.9799995422363,44.3800010681152,471200,34.906436920166
2013-12-04,44.2200012207031,44.5900001525879,43.810001373291,43.939998626709,844200,34.5603561401367
2013-12-05,43.9799995422363,44.0800018310547,43.6399993896484,44.0099983215332,413900,34.6154098510742
2013-12-06,44.2099990844727,45.1599998474121,43.9300003051758,45.1300010681152,349100,35.4963417053223
2013-12-09,45.2700004577637,45.3300018310547,44.7700004577637,44.9000015258789,329200,35.3154373168945
2013-12-10,44.9199981689453,45.0299987792969,44.2200012207031,44.2200012207031,306200,34.7805938720703
2013-12-11,44.1699981689453,44.2099990844727,43.7299995422363,43.8300018310547,425900,34.4738311767578
2013-12-12,43.7900009155273,44.1699981689453,43.6399993896484,44.0200004577637,206100,34.6232833862305
