"Fecha","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
2013-11-01,130.899993896484,133.5,130.899993896484,133.029998779297,4582400,113.284103393555
2013-11-04,133.75,133.990005493164,132.460006713867,132.789993286133,3915800,113.079711914062
2013-11-05,132.029998779297,133.740005493164,130.589996337891,133.570007324219,4069200,113.743965148926
2013-11-06,134.020004272461,134.580001831055,132.679992675781,133.089996337891,3747700,113.74821472168
2013-11-07,133.440002441406,133.929992675781,131.350006103516,131.509994506836,3826800,112.397842407227
2013-11-08,131.279998779297,133.899993896484,130.949996948242,133.490005493164,4790900,114.090103149414
2013-11-11,133.139999389648,133.330001831055,132.119995117188,132.529998779297,2962200,113.269622802734
2013-11-12,132.399993896484,133.080001831055,131.970001220703,132.330001831055,2851000,113.098686218262
2013-11-13,131.919998168945,133.490005493164,131.100006103516,133.169998168945,3577100,113.816596984863
2013-11-14,133.699996948242,135.380004882812,133.169998168945,135.089996337891,3279600,115.457542419434
2013-11-15,135.360000610352,136.570007324219,134.539993286133,136.080001831055,4495100,116.303688049316
2013-11-18,140.25,142,137.770004272461,138.360000610352,8158800,118.252334594727
2013-11-19,138.5,138.789993286133,136.699996948242,136.979995727539,3954000,117.072853088379
2013-11-20,135.800003051758,135.889999389648,132.289993286133,132.449996948242,8634900,113.20125579834
2013-11-21,132.449996948242,133.289993286133,131.199996948242,132.929992675781,4700600,113.611465454102
2013-11-22,133.490005493164,136.119995117188,133.429992675781,135.970001220703,4290200,116.209655761719
2013-11-25,134.009994506836,134.860000610352,130.580001831055,133,7181700,113.671295166016
2013-11-26,133,135.440002441406,132.559997558594,134.779998779297,4200800,115.192604064941
2013-11-27,135.050003051758,136.300003051758,134.169998168945,134.720001220703,3350900,115.141326904297
2013-11-29,134.820007324219,135.229995727539,134.179992675781,134.25,1680900,114.739654541016
2013-12-02,134.990005493164,135.460006713867,133.619995117188,134.160003662109,3378100,114.662712097168
2013-12-03,133.929992675781,133.929992675781,131.919998168945,132,5171900,112.816635131836
2013-12-04,131.729995727539,132.149993896484,130.550003051758,131.5,5137100,112.389289855957
