"Fecha","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
2013-11-01,116.51000213623,117.529998779297,115.48999786377,115.98999786377,1096900,96.9275588989258
2013-11-04,116.400001525879,116.98999786377,115.779998779297,116.309997558594,621200,97.1949844360352
2013-11-05,115.919998168945,116.620002746582,114.910003662109,115.940002441406,544700,96.8857879638672
2013-11-06,116.25,116.529998779297,115.209999084473,115.940002441406,681800,97.2632904052734
2013-11-07,116.790000915527,116.870002746582,114.269996643066,114.529998779297,1152200,96.0804443359375
2013-11-08,114.680000305176,116.5,114.680000305176,116.129997253418,938500,97.4226837158203
2013-11-11,116.110000610352,117.019996643066,115.870002746582,116.5,673800,97.7330780029297
2013-11-12,116.51000213623,116.98999786377,115.919998168945,116.110000610352,883500,97.4059143066406
2013-11-13,115.650001525879,117.01000213623,115.410003662109,117,658800,98.1525344848633
2013-11-14,117,117.300003051758,116.199996948242,116.830001831055,662100,98.0099258422852
2013-11-15,117.099998474121,117.610000610352,116.419998168945,117.610000610352,943300,98.6642684936523
2013-11-18,118.199996948242,118.860000610352,116.580001831055,116.919998168945,857400,98.0854263305664
2013-11-19,116.639999389648,116.949996948242,115.099998474121,115.360000610352,779300,96.776725769043
2013-11-20,116.050003051758,116.050003051758,114.440002441406,114.830001831055,621300,96.3321075439453
2013-11-21,115,116.830001831055,115,116.709999084473,775800,97.9092559814453
2013-11-22,116.589996337891,118.639999389648,116.199996948242,118.620002746582,1288200,99.5115814208984
2013-11-25,118.779998779297,120.120002746582,118.370002746582,118.680000305176,1096200,99.561897277832
2013-11-26,118.470001220703,119.040000915527,117.709999084473,117.779998779297,937600,98.8068923950195
2013-11-27,118.470001220703,118.589996337891,117.959999084473,118.25,534700,99.2011871337891
2013-11-29,118.410003662109,119,117.629997253418,117.839996337891,217700,98.8572311401367
2013-12-02,117.819999694824,118.290000915527,116.870002746582,117.23999786377,717000,98.3538589477539
2013-12-03,117,117.019996643066,115.720001220703,116.540000915527,926600,97.7666625976562
2013-12-04,115.940002441406,117.110000610352,115.190002441406,116.709999084473,1186500,97.9092559814453
2013-12-05,116.319999694824,117.610000610352,116.209999084473,116.51000213623,1379100,97.7414779663086
2013-12-06,119.73999786377,121.580001831055,118.959999084473,121.099998474121,1246000,101.592079162598
2013-12-09,121.209999084473,122.519996643066,120.279998779297,120.790000915527,921900,101.332038879395
2013-12-10,119.550003051758,120.730003356934,119.480003356934,119.690002441406,894500,100.409217834473
2013-12-11,114.319999694824,119.839996337891,114.319999694824,117.98999786377,1121800,98.9830627441406
2013-12-12,118.389999389648,118.919998168945,117.639999389648,118.269996643066,1227600,99.2179412841797
2013-12-13,118.75,119.589996337891,118.150001525879,118.970001220703,1136000,99.8051910400391
2013-12-16,119.209999084473,121.089996337891,119.209999084473,120.480003356934,708900,101.071960449219
2013-12-17,120.480003356934,120.769996643066,119.589996337891,119.919998168945,750400,100.602172851562
2013-12-18,120.319999694824,122.569999694824,119.129997253418,122.5,967600,102.766555786133
2013-12-19,122.290000915527,124.01000213623,121.800003051758,123.870002746582,1063200,103.915870666504
2013-12-20,124.669998168945,126.25,123.910003662109,126.209999084473,1750100,105.878890991211
