"Fecha","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
2013-11-01,33.9500007629395,35.5699996948242,33.8800010681152,35.5400009155273,7567400,35.5400009155273
2013-11-04,35.5699996948242,36.7999992370605,35.4500007629395,35.8499984741211,6870300,35.8499984741211
2013-11-05,35.9599990844727,35.9599990844727,34.9900016784668,35.5200004577637,4181400,35.5200004577637
2013-11-06,35.7999992370605,35.9599990844727,34.3400001525879,34.4900016784668,4212300,34.4900016784668
2013-11-07,34.6599998474121,35.0099983215332,33.8899993896484,33.9900016784668,4015400,33.9900016784668
2013-11-08,33.6399993896484,35.6199989318848,33.6100006103516,35.3600006103516,7082200,35.3600006103516
2013-11-11,35.4099998474121,35.5900001525879,34.9599990844727,35.310001373291,3925400,35.310001373291
2013-11-12,35.4000015258789,37.8199996948242,35.4000015258789,36.7900009155273,12914800,36.7900009155273
2013-11-13,36.810001373291,36.8600006103516,35.6500015258789,36.0200004577637,5910300,36.0200004577637
2013-11-14,36.0999984741211,37.0299987792969,36.0999984741211,36.5,3734300,36.5
2013-11-15,36.4799995422363,36.8899993896484,36.4700012207031,36.7299995422363,3667800,36.7299995422363
2013-11-18,36.9199981689453,37.2999992370605,36.1199989318848,36.3800010681152,5135800,36.3800010681152
2013-11-19,37.8400001525879,38.9099998474121,37.4900016784668,37.7999992370605,16471200,37.7999992370605
2013-11-20,38.0800018310547,38.0999984741211,37.0999984741211,37.2700004577637,5437900,37.2700004577637
2013-11-21,37.0499992370605,37.7400016784668,36.9700012207031,37.1100006103516,3059100,37.1100006103516
2013-11-22,37.9700012207031,38.7900009155273,37.4700012207031,38.5400009155273,8035500,38.5400009155273
2013-11-25,38.9700012207031,40.189998626709,38.7999992370605,39.8300018310547,8408300,39.8300018310547
2013-11-26,39.8400001525879,39.8499984741211,38.810001373291,39.0499992370605,6382400,39.0499992370605
2013-11-27,39.2400016784668,39.6599998474121,39.0800018310547,39.4300003051758,3707600,39.4300003051758
2013-11-29,39.5800018310547,39.7000007629395,39,39.25,1559400,39.25
2013-12-02,39.310001373291,39.6199989318848,38.4199981689453,38.560001373291,3604300,38.560001373291
2013-12-03,38.4199981689453,38.6699981689453,37.0400009155273,37.1699981689453,5863400,37.1699981689453
2013-12-04,36.939998626709,37.5800018310547,36.75,37.5699996948242,4493100,37.5699996948242
2013-12-05,37.5099983215332,37.7400016784668,36.7299995422363,36.7900009155273,3489100,36.7900009155273
2013-12-06,37.1800003051758,37.4599990844727,36.5699996948242,36.7400016784668,4188500,36.7400016784668
2013-12-09,36.6800003051758,37.7200012207031,36.6500015258789,37.5499992370605,5377800,37.5499992370605
2013-12-10,37.6599998474121,38.1699981689453,37.5,37.6399993896484,5056000,37.6399993896484
2013-12-11,37.5699996948242,38.1300010681152,36.4500007629395,36.5800018310547,5656500,36.5800018310547
2013-12-12,36.3899993896484,37.9300003051758,36.3899993896484,37.6199989318848,5804500,37.6199989318848
2013-12-13,37.9500007629395,38.8800010681152,37.8899993896484,38.5299987792969,4385900,38.5299987792969
2013-12-16,38.7400016784668,39,38.3699989318848,38.4700012207031,2869800,38.4700012207031
2013-12-17,38.4799995422363,38.4900016784668,37.2099990844727,37.310001373291,3672600,37.310001373291
2013-12-18,37.3600006103516,37.5499992370605,36.5099983215332,37.2900009155273,3712600,37.2900009155273
2013-12-19,37.4199981689453,37.689998626709,36.6399993896484,37.2700004577637,2399300,37.2700004577637
2013-12-20,37.310001373291,37.5200004577637,36.7700004577637,37.3899993896484,4257900,37.3899993896484
2013-12-23,37.560001373291,37.8300018310547,36.9000015258789,36.9799995422363,3391300,36.9799995422363
2013-12-24,36.9599990844727,37.8300018310547,36.7000007629395,37.5999984741211,2473300,37.5999984741211
2013-12-26,37.9099998474121,38.3300018310547,37.6100006103516,38.0699996948242,2518600,38.0699996948242
2013-12-27,38.0699996948242,38.1100006103516,36.560001373291,36.7799987792969,3615200,36.7799987792969
2013-12-30,36.8800010681152,37.4300003051758,36.7900009155273,37.2999992370605,2581000,37.2999992370605
