"Fecha","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
2013-11-01,62.6800003051758,62.8499984741211,61.9900016784668,62.3899993896484,1199100,52.1671943664551
2013-11-04,62.4000015258789,62.8800010681152,62.4000015258789,62.7099990844727,1125300,52.4347534179688
2013-11-05,62.5800018310547,63,62.5200004577637,62.6800003051758,807400,52.40966796875
2013-11-06,62.8899993896484,63.2000007629395,62.6100006103516,62.6500015258789,1144500,52.384593963623
2013-11-07,62.8499984741211,63.4199981689453,62.439998626709,62.4900016784668,1602100,52.2508201599121
2013-11-08,62.5999984741211,63.1699981689453,62.5999984741211,63.1199989318848,1172000,52.7775688171387
2013-11-11,63,63.689998626709,62.939998626709,63.5099983215332,1031900,53.103687286377
2013-11-12,63.5099983215332,64.25,63.4199981689453,64.2399978637695,1192000,53.7140579223633
2013-11-13,64,64.4800033569336,63.7999992370605,64.4499969482422,1213200,53.8896636962891
2013-11-14,64.4100036621094,64.9700012207031,64.2699966430664,64.5800018310547,1086500,53.9983558654785
2013-11-15,64.8099975585938,65.7900009155273,64.7300033569336,65.5699996948242,1500800,54.8261375427246
2013-11-18,65.4899978637695,65.7900009155273,65.1900024414062,65.4199981689453,1208600,54.7007141113281
2013-11-19,65.3000030517578,65.5,64.5500030517578,64.6100006103516,1120000,54.0234336853027
2013-11-20,64.7900009155273,65.0699996948242,64.5100021362305,64.5800018310547,1300300,53.9983558654785
2013-11-21,64.8499984741211,65.4599990844727,64.6900024414062,65.4100036621094,1468500,54.6923637390137
2013-11-22,65.3899993896484,65.9499969482422,65.1600036621094,65.879997253418,743900,55.0853385925293
2013-11-25,65.8300018310547,66.1399993896484,65.5999984741211,65.7900009155273,721200,55.0100898742676
2013-11-26,65.8499984741211,65.9899978637695,65.2200012207031,65.5699996948242,1914700,54.8261375427246
2013-11-27,65.6500015258789,65.9599990844727,65.3399963378906,65.5,1204600,54.7676048278809
2013-11-29,65.5899963378906,66.2900009155273,65.3300018310547,65.879997253418,764600,55.0853385925293
2013-12-02,65.75,66.129997253418,65.4300003051758,65.6600036621094,928600,54.9013977050781
2013-12-03,65.379997253418,65.8399963378906,65,65.7900009155273,927600,55.0100898742676
2013-12-04,65.370002746582,65.6999969482422,64.629997253418,64.9300003051758,1357400,54.2910003662109
2013-12-05,64.75,65.5699996948242,64.6999969482422,65.2300033569336,1084800,54.5418434143066
2013-12-06,65.5899963378906,66.3300018310547,65.4100036621094,66.1800003051758,1131900,55.3361854553223
2013-12-09,66.0199966430664,66.2600021362305,65.6500015258789,65.7900009155273,923100,55.0100898742676
2013-12-10,65.5100021362305,66.0899963378906,65.129997253418,65.4100036621094,1431100,54.6923637390137
2013-12-11,64.8300018310547,65.4199981689453,64.5500030517578,64.5999984741211,1150900,54.2722816467285
2013-12-12,64.4000015258789,65.0999984741211,64.2099990844727,64.8600006103516,1334700,54.4907150268555
2013-12-13,64.8499984741211,65.2300033569336,64.6100006103516,65.0500030517578,1233600,54.6503639221191
2013-12-16,65.0500030517578,65.5,64.8399963378906,65.3600006103516,1154900,54.9107933044434
2013-12-17,65.0899963378906,65.7900009155273,64.8399963378906,65.5199966430664,1175100,55.0452041625977
2013-12-18,65.4400024414062,66.1699981689453,64.9899978637695,66.1600036621094,1015300,55.5828971862793
2013-12-19,66.0599975585938,66.3499984741211,65.8199996948242,65.8499984741211,2152300,55.3224334716797
2013-12-20,65.6500015258789,66.0800018310547,65.5899963378906,65.6100006103516,3196500,55.1208114624023
2013-12-23,66,66.879997253418,65.6600036621094,66.7799987792969,1744500,56.1037712097168
2013-12-24,66.5299987792969,67.2799987792969,66.5,67.0999984741211,538500,56.372615814209
2013-12-26,67.0899963378906,67.4899978637695,66.9400024414062,67.1800003051758,861100,56.439811706543
2013-12-27,67.120002746582,67.6100006103516,67.0299987792969,67.3300018310547,599800,56.5658340454102
2013-12-30,67.1100006103516,67.6699981689453,67.1100006103516,67.25,590900,56.4986228942871
2013-12-31,67.1800003051758,67.6399993896484,67.1500015258789,67.5,647800,56.708667755127
2014-01-02,67.370002746582,67.4899978637695,65.8399963378906,66.3300018310547,1101600,55.7257270812988
2014-01-03,66.4899978637695,66.6399993896484,66.1600036621094,66.1999969482422,801600,55.616512298584
2014-01-06,66.4700012207031,66.6699981689453,65.9100036621094,65.9199981689453,1033000,55.3812637329102
2014-01-07,65.9199981689453,66.4800033569336,65.7399978637695,66.1900024414062,1010300,55.6080932617188
