"Fecha","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
2013-11-01,80.629997253418,81.1999969482422,79.6699981689453,80.7799987792969,545300,77.6610488891602
2013-11-04,80.9400024414062,81.5299987792969,80.4700012207031,81.4199981689453,694400,78.2763442993164
2013-11-05,81.6800003051758,81.6800003051758,80.0299987792969,80.2399978637695,602400,77.1418762207031
2013-11-06,80.4100036621094,81.0199966430664,79.5800018310547,80.129997253418,474600,77.0361251831055
2013-11-07,80.3099975585938,80.4400024414062,77.2399978637695,77.3099975585938,772200,74.3250198364258
2013-11-08,78.3399963378906,80.0599975585938,77.5199966430664,80,1026600,76.9111328125
2013-11-11,80.0699996948242,81.1500015258789,79.8600006103516,80.7200012207031,533300,77.6033401489258
2013-11-12,80.4300003051758,80.9599990844727,79.870002746582,80.7600021362305,615100,77.6417922973633
2013-11-13,80.8499984741211,81.0999984741211,79.8000030517578,80.379997253418,659800,77.2764587402344
2013-11-14,80.379997253418,80.8199996948242,80.1399993896484,80.75,583200,77.6322021484375
2013-11-15,80.9499969482422,81.0400009155273,79.1999969482422,79.4000015258789,963400,76.3343353271484
2013-11-18,79.4300003051758,79.9000015258789,78.8300018310547,79.5100021362305,890400,76.440071105957
2013-11-19,79.620002746582,79.8099975585938,78.8000030517578,79.1100006103516,726700,76.0555191040039
2013-11-20,79.1500015258789,80,79.1500015258789,79.7900009155273,715100,76.7092819213867
2013-11-21,79.5,80.3099975585938,79.370002746582,79.8899993896484,763600,76.8054046630859
2013-11-22,80.3000030517578,80.3300018310547,79.4700012207031,79.7699966430664,818500,76.6900177001953
2013-11-25,80.1399993896484,81.5599975585938,79.6399993896484,81.5299987792969,1200600,78.382080078125
2013-11-26,82.0800018310547,82.9800033569336,81.4100036621094,82.0899963378906,4447900,78.9204711914062
2013-11-27,82.5299987792969,82.8000030517578,81.8399963378906,82.2099990844727,508200,79.0839996337891
2013-11-29,82.4899978637695,82.9199981689453,82.129997253418,82.4300003051758,265000,79.2956237792969
2013-12-02,82.7600021362305,83.4899978637695,81.9599990844727,82.2799987792969,765600,79.1513137817383
2013-12-03,82.2799987792969,83.129997253418,81.9400024414062,83.0899963378906,570200,79.930534362793
2013-12-04,82.5999984741211,82.9700012207031,82.0400009155273,82.8099975585938,535000,79.6611633300781
2013-12-05,82.5599975585938,82.7399978637695,82.0299987792969,82.2099990844727,552800,79.0839996337891
2013-12-06,83.0299987792969,83.8300018310547,82.7300033569336,82.9100036621094,573800,79.7574005126953
2013-12-09,82.8099975585938,83.1600036621094,81.8199996948242,83,645200,79.8439407348633
2013-12-10,82.6800003051758,83.4899978637695,82.4400024414062,83.120002746582,571600,79.9593887329102
2013-12-11,83.4499969482422,83.4499969482422,80.7200012207031,80.8399963378906,598200,77.7660751342773
2013-12-12,80.6399993896484,81.379997253418,80.3499984741211,80.9300003051758,659000,77.8526763916016
2013-12-13,81.2900009155273,81.7799987792969,80.5,81.3300018310547,420300,78.2374801635742
2013-12-16,81.4700012207031,81.9400024414062,80.8099975585938,80.9199981689453,408300,77.8430557250977
2013-12-17,80.6600036621094,81.2799987792969,79.7200012207031,80.25,861500,77.1985397338867
2013-12-18,80.5199966430664,81,79.3899993896484,80.5299987792969,708000,77.4678649902344
2013-12-19,80.3600006103516,80.4400024414062,78.4599990844727,79.0199966430664,1760500,76.0152969360352
2013-12-20,78.5599975585938,79.6500015258789,78.1100006103516,79.4000015258789,1844700,76.380859375
2013-12-23,79.5599975585938,79.9599990844727,79.3499984741211,79.6800003051758,494000,76.6501998901367
2013-12-24,79.8099975585938,80.9899978637695,79.5299987792969,80.5299987792969,261000,77.4678649902344
2013-12-26,80.9000015258789,81.0899963378906,80.1699981689453,80.5899963378906,297000,77.5256042480469
