"Fecha","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
2013-11-01,300.920013427734,304.170013427734,300.149993896484,303.649993896484,494400,235.84049987793
2013-11-04,303.730010986328,304.679992675781,303.010009765625,303.480010986328,431000,235.708374023438
2013-11-05,303.760009765625,304.260009765625,300.489990234375,301.850006103516,431200,234.442459106445
2013-11-06,306,307.019989013672,303.109985351562,305.010009765625,477300,236.896774291992
2013-11-07,308.489990234375,308.489990234375,296.540008544922,296.679992675781,480900,230.42692565918
2013-11-08,297.049987792969,302.100006103516,297,301.589996337891,863200,234.240447998047
2013-11-11,300.730010986328,303.690002441406,299.75,302.190002441406,423500,234.706527709961
2013-11-12,300.600006103516,302.369995117188,296.440002441406,297.209991455078,463900,230.838668823242
2013-11-13,295.160003662109,298.859985351562,294.369995117188,298.679992675781,639500,231.980361938477
2013-11-14,298.429992675781,302.850006103516,297.880004882812,302.600006103516,639600,235.024993896484
2013-11-15,302.5,305.570007324219,301.769989013672,303.190002441406,494700,235.483200073242
2013-11-18,305.75,306.609985351562,302.989990234375,303.940002441406,555700,236.06575012207
2013-11-19,304.239990234375,306.010009765625,301.609985351562,302.399993896484,341600,234.869598388672
2013-11-20,302.75,305.239990234375,297.380004882812,299.029998779297,490300,232.252227783203
2013-11-21,299.279998779297,303.880004882812,297.809997558594,303.429992675781,400400,235.669555664062
2013-11-22,303.970001220703,303.980010986328,300.920013427734,303.760009765625,615100,235.925964355469
2013-11-25,304.529998779297,305,301.209991455078,301.619995117188,304200,234.263778686523
2013-11-26,299.079986572266,305.739990234375,299.079986572266,303.440002441406,674700,235.677291870117
2013-11-27,304.160003662109,307.859985351562,303.579986572266,307.600006103516,421500,238.908401489258
2013-11-29,309.850006103516,309.850006103516,302.410003662109,302.75,231700,236.43278503418
2013-12-02,302.5,309.209991455078,302.5,305,489300,238.189895629883
2013-12-03,302.809997558594,304.549987792969,296.399993896484,298.410003662109,650300,233.043426513672
2013-12-04,297.029998779297,300.470001220703,292.019989013672,297.459991455078,466500,232.301483154297
2013-12-05,295.660003662109,296.649993896484,293.429992675781,295.549987792969,544500,230.809906005859
2013-12-06,299.579986572266,302.079986572266,299.200012207031,301.829986572266,496000,235.714279174805
2013-12-09,302.649993896484,304.929992675781,300.459991455078,302.709991455078,375900,236.401428222656
2013-12-10,300.299987792969,302.619995117188,298.549987792969,299.399993896484,483700,233.816589355469
2013-12-11,299.679992675781,300.779998779297,292.049987792969,292.320007324219,669900,228.287490844727
2013-12-12,292.299987792969,295.359985351562,291.670013427734,291.769989013672,717300,227.857894897461
2013-12-13,293.350006103516,299.059997558594,293.350006103516,297.799987792969,612300,232.567047119141
2013-12-16,298,304.950012207031,297.489990234375,304.760009765625,934300,238.00244140625
2013-12-17,304.510009765625,305.809997558594,302.130004882812,302.630004882812,809400,236.339019775391
2013-12-18,301.790008544922,309.859985351562,297.880004882812,309.690002441406,960400,241.852615356445
2013-12-19,309.640014648438,309.980010986328,306.119995117188,308.390014648438,701700,240.837326049805
