"Fecha","BRK.B.Open","BRK.B.High","BRK.B.Low","BRK.B.Close","BRK.B.Volume","BRK.B.Adjusted"
2013-11-01,115.279998779297,116.069999694824,114.940002441406,115.269996643066,3703900,115.269996643066
2013-11-04,115.779998779297,115.819999694824,114.5,114.870002746582,3522300,114.870002746582
2013-11-05,114.470001220703,115.099998474121,114.300003051758,114.360000610352,2297600,114.360000610352
2013-11-06,114.690002441406,115.110000610352,114.599998474121,114.910003662109,3536000,114.910003662109
2013-11-07,115.120002746582,115.459999084473,113.790000915527,113.830001831055,3553400,113.830001831055
2013-11-08,113.5,115.919998168945,113.5,115.879997253418,4497400,115.879997253418
2013-11-11,115.5,116,115.26000213623,115.650001525879,1946800,115.650001525879
2013-11-12,115.309997558594,115.459999084473,114,114.209999084473,3084000,114.209999084473
2013-11-13,113.76000213623,114.889999389648,113.76000213623,114.809997558594,3910100,114.809997558594
2013-11-14,114.860000610352,115.690002441406,114.709999084473,115.690002441406,2854600,115.690002441406
2013-11-15,115.339996337891,116.339996337891,115.23999786377,116.300003051758,3682400,116.300003051758
2013-11-18,116.559997558594,116.559997558594,115.690002441406,115.900001525879,2633200,115.900001525879
2013-11-19,115.900001525879,116.220001220703,115.459999084473,115.839996337891,2611300,115.839996337891
2013-11-20,115.919998168945,115.919998168945,114.540000915527,114.900001525879,2833000,114.900001525879
2013-11-21,115.319999694824,116.51000213623,114.709999084473,116.419998168945,3201300,116.419998168945
2013-11-22,116.519996643066,117.330001831055,116.419998168945,116.959999084473,3181100,116.959999084473
2013-11-25,117.180000305176,117.279998779297,115.379997253418,115.629997253418,4220600,115.629997253418
2013-11-26,115.800003051758,116.839996337891,115.76000213623,116.580001831055,4320100,116.580001831055
2013-11-27,116.599998474121,116.949996948242,115.959999084473,116.580001831055,2682100,116.580001831055
2013-11-29,116.730003356934,116.970001220703,116.089996337891,116.529998779297,2098700,116.529998779297
2013-12-02,116.5,116.589996337891,115.110000610352,115.330001831055,4021100,115.330001831055
2013-12-03,114.589996337891,115.01000213623,114.040000915527,114.790000915527,3913800,114.790000915527
2013-12-04,114.349998474121,115.580001831055,114,115.300003051758,3675700,115.300003051758
2013-12-05,115.01000213623,115.559997558594,114.870002746582,114.959999084473,2874600,114.959999084473
2013-12-06,115.970001220703,116.699996948242,115.76000213623,116.660003662109,3260500,116.660003662109
2013-12-09,116.879997253418,117.459999084473,116.769996643066,117.139999389648,3370200,117.139999389648
2013-12-10,117.029998779297,117.150001525879,115.599998474121,115.610000610352,2969700,115.610000610352
2013-12-11,115.599998474121,115.800003051758,114.279998779297,114.51000213623,3754300,114.51000213623
2013-12-12,114.48999786377,115.059997558594,114.040000915527,114.379997253418,3120300,114.379997253418
