"Fecha","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
2013-11-01,75.1600036621094,75.7900009155273,74.6600036621094,75,718500,68.3014831542969
2013-11-04,78.6500015258789,78.6500015258789,75.1500015258789,75.9100036621094,500100,69.1302185058594
2013-11-05,75.620002746582,75.9000015258789,75.0199966430664,75.0500030517578,1834900,68.3470306396484
2013-11-06,74.4800033569336,74.8199996948242,73.1600036621094,73.1999969482422,1465900,66.6622467041016
2013-11-07,73.6900024414062,73.8499984741211,72.6999969482422,72.9499969482422,1060100,66.4345474243164
2013-11-08,72.8399963378906,73.5,72.8000030517578,73.1999969482422,550000,66.6622467041016
2013-11-11,73.3300018310547,73.4400024414062,72.870002746582,73.2099990844727,412600,66.6713562011719
2013-11-12,73.1900024414062,73.8000030517578,72.8099975585938,73.7399978637695,573400,67.1540069580078
2013-11-13,73.0100021362305,73.7900009155273,72.6600036621094,72.7099990844727,1159000,66.3509750366211
2013-11-14,72.9300003051758,73.0899963378906,72.2300033569336,72.3000030517578,669000,65.9768218994141
2013-11-15,72.3499984741211,74,72.1100006103516,73.9599990844727,841700,67.4916534423828
2013-11-18,74.2799987792969,74.4100036621094,73.5500030517578,73.6999969482422,714900,67.25439453125
2013-11-19,73.4899978637695,73.7200012207031,72.5199966430664,72.6800003051758,670600,66.3236083984375
2013-11-20,72.6699981689453,72.7799987792969,72.1999969482422,72.370002746582,381500,66.0406951904297
2013-11-21,72.129997253418,73,72.129997253418,72.9599990844727,425900,66.5791091918945
2013-11-22,72.9899978637695,73.3499984741211,72.6600036621094,73.3000030517578,417700,66.889404296875
2013-11-25,73.7099990844727,74.5800018310547,73.4499969482422,74.4300003051758,663100,67.9205551147461
2013-11-26,74.8000030517578,75,74.3399963378906,74.9700012207031,1230800,68.4133224487305
2013-11-27,75.0999984741211,75.1699981689453,74.5800018310547,74.9899978637695,452800,68.4315643310547
2013-11-29,75.129997253418,75.4199981689453,74.9100036621094,75.1900024414062,244600,68.6140823364258
2013-12-02,75.6800003051758,76.1699981689453,74.9100036621094,76.0100021362305,841600,69.3623886108398
2013-12-03,75.7200012207031,76.1600036621094,75.5699996948242,75.8300018310547,840200,69.1981201171875
2013-12-04,75.2900009155273,76.1399993896484,74.9700012207031,75.8300018310547,647300,69.1981201171875
2013-12-05,75.8600006103516,76.5100021362305,75.6600036621094,76.0100021362305,807000,69.3623886108398
2013-12-06,76.629997253418,76.9899978637695,76.1699981689453,76.7300033569336,727500,70.019401550293
2013-12-09,77,77.3099975585938,76.7699966430664,76.8600006103516,662800,70.1380233764648
2013-12-10,76.6399993896484,76.8600006103516,76.1900024414062,76.2600021362305,572100,69.5904998779297
2013-12-11,76.1500015258789,76.4000015258789,75.0999984741211,75.2399978637695,520200,68.6596908569336
2013-12-12,75.1999969482422,75.4899978637695,73.6999969482422,74.6100006103516,887100,68.0848159790039
2013-12-13,74.9199981689453,75.1500015258789,74.0199966430664,74.2200012207031,622100,67.7289123535156
2013-12-16,74.4400024414062,75.4899978637695,74.4400024414062,75.4599990844727,582900,68.8604736328125
2013-12-17,75.5999984741211,75.8399963378906,75.0299987792969,75.2799987792969,443800,68.6961822509766
2013-12-18,75.379997253418,76.7399978637695,75.1399993896484,76.7099990844727,845500,70.0011367797852
2013-12-19,76.3300018310547,76.8600006103516,75.7799987792969,76.0199966430664,457400,69.3714828491211
2013-12-20,76.3899993896484,76.4599990844727,75.9300003051758,76.4400024414062,1235300,69.754768371582
2013-12-23,76.9700012207031,77.3899993896484,76.3899993896484,77.1600036621094,482700,70.4117889404297
2013-12-24,77.0299987792969,77.3899993896484,76.9599990844727,77.2699966430664,266800,70.5121917724609
2013-12-26,77.4100036621094,78.1600036621094,77.2200012207031,77.4300003051758,322500,70.6581802368164
2013-12-27,77.629997253418,77.9300003051758,77.1900024414062,77.4499969482422,246800,70.6764297485352
2013-12-30,77.5199966430664,77.5199966430664,76.9300003051758,77.3099975585938,326900,70.5486679077148
2013-12-31,77.0500030517578,77.5,76.9199981689453,77.3000030517578,383700,70.5395355224609
2014-01-02,77.1699981689453,77.2900009155273,76.2600021362305,76.5999984741211,538600,69.9007797241211
2014-01-03,76.870002746582,77.4300003051758,76.5999984741211,77.2900009155273,526800,70.5304412841797
2014-01-06,77.6699981689453,77.9300003051758,76.4599990844727,76.620002746582,634100,69.9190521240234
2014-01-07,77.1900024414062,77.7200012207031,76.8099975585938,77.3000030517578,448200,70.5395355224609
2014-01-08,77.2799987792969,77.5,76.5699996948242,77.1500015258789,481800,70.4026641845703
2014-01-09,77.129997253418,77.5,76.7300033569336,77.4800033569336,1069600,70.7038269042969
2014-01-10,77.8300018310547,79.2600021362305,77.5699996948242,79.2300033569336,875700,72.3007583618164
2014-01-13,79.1699981689453,79.2699966430664,77.6999969482422,77.8000030517578,753100,70.9958343505859
