"Fecha","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted"
2013-11-01,54.6100006103516,54.6800003051758,54.1399993896484,54.6100006103516,2720000,54.6100006103516
2013-11-04,55.0099983215332,55.4199981689453,54.6599998474121,55.3899993896484,3433600,55.3899993896484
2013-11-05,55.2400016784668,55.2799987792969,54.6699981689453,54.7900009155273,3616600,54.7900009155273
2013-11-06,54.9000015258789,55.1100006103516,54.5400009155273,54.8800010681152,3286100,54.8800010681152
2013-11-07,55.0499992370605,55.1699981689453,53.0999984741211,53.1699981689453,5526600,53.1699981689453
2013-11-08,53.4199981689453,54.9300003051758,53.3300018310547,54.8400001525879,5940900,54.8400001525879
2013-11-11,54.8499984741211,56.1800003051758,54.4900016784668,56.1800003051758,4221800,56.1800003051758
2013-11-12,55.8400001525879,56.3400001525879,55.5999984741211,56.2400016784668,2929200,56.2400016784668
2013-11-13,55.5900001525879,57.5900001525879,55.5900001525879,57.5499992370605,5168600,57.5499992370605
2013-11-14,57.560001373291,57.9900016784668,56.9099998474121,57.1699981689453,4571300,57.1699981689453
2013-11-15,57.5400009155273,57.5900001525879,56.7799987792969,57.3499984741211,2909900,57.3499984741211
2013-11-18,57.4500007629395,57.4900016784668,56.4000015258789,56.5999984741211,3173600,56.5999984741211
2013-11-19,56.7299995422363,56.7299995422363,55.6500015258789,55.7700004577637,3405000,55.7700004577637
2013-11-20,55.9799995422363,56.3199996948242,55.7999992370605,55.939998626709,2931300,55.939998626709
2013-11-21,56.2799987792969,56.5900001525879,55.8600006103516,56.2299995422363,2461200,56.2299995422363
2013-11-22,56.2599983215332,56.5,55.8899993896484,56.4099998474121,2890800,56.4099998474121
2013-11-25,56.6199989318848,57.1800003051758,56.5,56.9500007629395,2986400,56.9500007629395
2013-11-26,56.8699989318848,56.8899993896484,56.2000007629395,56.7000007629395,2841000,56.7000007629395
2013-11-27,56.8499984741211,57.0299987792969,56.6800003051758,56.9099998474121,2134000,56.9099998474121
2013-11-29,57.1199989318848,57.1500015258789,56.6199989318848,56.7799987792969,965200,56.7799987792969
2013-12-02,56.7400016784668,57.0299987792969,56.6100006103516,56.7599983215332,1950800,56.7599983215332
2013-12-03,56.6300010681152,57.060001373291,56.3899993896484,56.4000015258789,4129500,56.4000015258789
2013-12-04,56.189998626709,56.4300003051758,55.4199981689453,56.0499992370605,3663500,56.0499992370605
2013-12-05,55.6300010681152,55.75,54.4700012207031,55.0400009155273,7792700,55.0400009155273
2013-12-06,55.9900016784668,56.0999984741211,55.5499992370605,55.5999984741211,3334300,55.5999984741211
2013-12-09,55.939998626709,56.0499992370605,55.2400016784668,55.439998626709,3397700,55.439998626709
2013-12-10,55.3800010681152,55.3899993896484,54.6500015258789,55.3199996948242,3787300,55.3199996948242
2013-12-11,55.25,55.5999984741211,54.5800018310547,54.6399993896484,3990000,54.6399993896484
2013-12-12,54.439998626709,54.939998626709,53.9300003051758,53.9900016784668,6248200,53.9900016784668
2013-12-13,58.060001373291,61.0900001525879,58,60.8899993896484,15848100,60.8899993896484
2013-12-16,60.6300010681152,60.8800010681152,58.4000015258789,58.5,8786000,58.5
2013-12-17,58.5,58.8800010681152,57.5400009155273,57.6699981689453,6351800,57.6699981689453
2013-12-18,57.5800018310547,59.0699996948242,57.0200004577637,59.0400009155273,4975300,59.0400009155273
2013-12-19,58.7299995422363,58.9799995422363,58.0699996948242,58.1300010681152,3310500,58.1300010681152
2013-12-20,58.4199981689453,59.5499992370605,58.2200012207031,59.2599983215332,5363200,59.2599983215332
2013-12-23,59.7400016784668,59.8899993896484,59.1199989318848,59.4700012207031,1947900,59.4700012207031
2013-12-24,59.5800018310547,59.7799987792969,59.2200012207031,59.5299987792969,846700,59.5299987792969
2013-12-26,59.5299987792969,59.9900016784668,59.4799995422363,59.5800018310547,1026500,59.5800018310547
2013-12-27,59.7299995422363,59.9900016784668,59.2799987792969,59.5099983215332,1266900,59.5099983215332
2013-12-30,59.6699981689453,59.7999992370605,59.2400016784668,59.5499992370605,1329100,59.5499992370605
2013-12-31,59.5999984741211,59.9199981689453,59.560001373291,59.8800010681152,1391300,59.8800010681152
2014-01-02,59.060001373291,59.5299987792969,58.939998626709,59.2900009155273,2745900,59.2900009155273
2014-01-03,59.189998626709,59.689998626709,59.1100006103516,59.1599998474121,1589000,59.1599998474121
2014-01-06,58.060001373291,58.7700004577637,58.0099983215332,58.1199989318848,3753600,58.1199989318848
2014-01-07,58.2599983215332,59.0499992370605,58.060001373291,58.9700012207031,2963600,58.9700012207031
2014-01-08,59.1199989318848,59.2799987792969,58.4599990844727,58.9000015258789,3456000,58.9000015258789
2014-01-09,58.9900016784668,59.5299987792969,58.7200012207031,59.0900001525879,2427400,59.0900001525879
2014-01-10,59.3499984741211,59.6300010681152,58.9500007629395,59.5299987792969,1829100,59.5299987792969
2014-01-13,59.2799987792969,59.439998626709,58.4099998474121,58.5999984741211,2928700,58.5999984741211
2014-01-14,58.6800003051758,60.5299987792969,58.6300010681152,60.3699989318848,4179500,60.3699989318848
2014-01-15,60.439998626709,61.810001373291,60.4000015258789,61.6800003051758,4220300,61.6800003051758
2014-01-16,61.5900001525879,61.9799995422363,61.2599983215332,61.6300010681152,3747800,61.6300010681152
2014-01-17,61.0200004577637,61.5999984741211,60.7999992370605,61.3699989318848,3314500,61.3699989318848
2014-01-21,61.5,61.7900009155273,60.7000007629395,60.8499984741211,3198700,60.8499984741211
2014-01-22,60.9300003051758,61.810001373291,60.7000007629395,61.7700004577637,3594000,61.7700004577637
2014-01-23,61.1800003051758,61.4300003051758,60.3199996948242,60.8800010681152,2671300,60.8800010681152
