"Fecha","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
2013-11-01,79,79.0800018310547,77.5,78.2200012207031,1112800,58.9933204650879
2013-11-04,78.3600006103516,78.5100021362305,77.129997253418,77.6900024414062,1147700,58.5935821533203
2013-11-05,77.5400009155273,78.1100006103516,77.1900024414062,77.7300033569336,754700,58.6237564086914
2013-11-06,77.9599990844727,78.8600006103516,77.4499969482422,77.9199981689453,1169000,58.7670707702637
2013-11-07,78.2900009155273,78.6900024414062,76.7099990844727,76.8099975585938,1936800,57.9299011230469
2013-11-08,77.2300033569336,79.1500015258789,77.1100006103516,79.1100006103516,2174200,59.6645202636719
2013-11-11,78.9400024414062,79.1900024414062,78.4700012207031,79.0100021362305,744100,59.5891227722168
2013-11-12,78.7799987792969,79.6800003051758,78.5400009155273,79.0699996948242,885200,59.6343765258789
2013-11-13,78.7600021362305,79.9300003051758,78.6800003051758,79.7200012207031,901000,60.1246185302734
2013-11-14,79.8600006103516,80.0999984741211,78.879997253418,79.2399978637695,1590900,59.7625770568848
2013-11-15,79.1699981689453,79.7600021362305,78.5299987792969,78.7099990844727,1251900,59.362865447998
2013-11-18,78.7600021362305,78.9800033569336,77.6399993896484,77.8600006103516,1328000,58.7217903137207
2013-11-19,77.8199996948242,77.9499969482422,76.2200012207031,76.6699981689453,1766700,57.8243026733398
2013-11-20,76.8600006103516,76.870002746582,75.6999969482422,75.870002746582,1270100,57.2209358215332
2013-11-21,76.1900024414062,76.6999969482422,75.7099990844727,76.4499969482422,909000,57.658390045166
2013-11-22,76.6500015258789,76.870002746582,76.2300033569336,76.4300003051758,1269300,57.6432991027832
2013-11-25,76.5100021362305,76.6500015258789,75.7600021362305,75.8899993896484,1056100,57.2360191345215
2013-11-26,75.4800033569336,76.4700012207031,75.370002746582,75.4499969482422,1278500,56.9041709899902
2013-11-27,75.8300018310547,76.8399963378906,75.5699996948242,76.6399993896484,891600,57.8016929626465
2013-11-29,76.8399963378906,77.5100021362305,76.8300018310547,77.0299987792969,471900,58.095817565918
2013-12-02,77.2099990844727,77.8300018310547,76.370002746582,76.4599990844727,1228500,57.6659317016602
2013-12-03,76.0400009155273,76.6500015258789,75.0500030517578,75.4300003051758,1103400,56.8890991210938
2013-12-04,74.7900009155273,75.4100036621094,74.129997253418,74.5800018310547,1384600,56.2480430603027
