"Fecha","TYL.Open","TYL.High","TYL.Low","TYL.Close","TYL.Volume","TYL.Adjusted"
2013-11-01,96.5199966430664,96.629997253418,94.1600036621094,94.5100021362305,235900,94.5100021362305
2013-11-04,94.8899993896484,98.2399978637695,94.3499984741211,98.0199966430664,188400,98.0199966430664
2013-11-05,97.2399978637695,97.6900024414062,96.0599975585938,96.5299987792969,125100,96.5299987792969
2013-11-06,97.1999969482422,97.5999984741211,95.129997253418,95.8199996948242,122200,95.8199996948242
2013-11-07,95.9899978637695,96.4199981689453,92.2099990844727,92.3199996948242,155400,92.3199996948242
2013-11-08,92.2300033569336,97.4499969482422,92.2300033569336,95.2600021362305,189400,95.2600021362305
2013-11-11,94.9899978637695,95.6100006103516,93.4199981689453,95.2200012207031,150300,95.2200012207031
2013-11-12,95.1399993896484,96.4000015258789,94.75,96.120002746582,230300,96.120002746582
2013-11-13,95.1900024414062,97.9000015258789,95,97.7900009155273,194900,97.7900009155273
2013-11-14,97.5500030517578,97.9899978637695,96.8899993896484,97.7399978637695,115500,97.7399978637695
2013-11-15,97.5999984741211,98.25,96.5299987792969,98.0199966430664,149000,98.0199966430664
2013-11-18,98.120002746582,98.5999984741211,96.9100036621094,97.7099990844727,220000,97.7099990844727
2013-11-19,98.0500030517578,101.690002441406,97.1900024414062,99.5100021362305,231400,99.5100021362305
2013-11-20,99.9700012207031,100.26000213623,99.0199966430664,99.5100021362305,156800,99.5100021362305
2013-11-21,99.9499969482422,101.800003051758,99.4899978637695,101.160003662109,221100,101.160003662109
2013-11-22,102.139999389648,102.76000213623,101.209999084473,102.019996643066,192300,102.019996643066
2013-11-25,102.059997558594,102.449996948242,100.830001831055,101.370002746582,56000,101.370002746582
2013-11-26,101.599998474121,102.5,99.9700012207031,102,119000,102
2013-11-27,102,103.400001525879,101.629997253418,102.75,97700,102.75
2013-11-29,103.430000305176,104.319999694824,102.550003051758,102.610000610352,42900,102.610000610352
2013-12-02,102.410003662109,102.410003662109,100.540000915527,101.040000915527,87100,101.040000915527
2013-12-03,100.629997253418,102.790000915527,100.629997253418,101.800003051758,149300,101.800003051758
2013-12-04,101.080001831055,102.540000915527,98.9599990844727,100.199996948242,148200,100.199996948242
