"Fecha","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
2013-11-01,79.4499969482422,80.4300003051758,78.6100006103516,79.370002746582,2759400,64.470100402832
2013-11-04,79.4199981689453,79.7099990844727,78.6699981689453,79,1868400,64.169563293457
2013-11-05,78.9000015258789,79.8000030517578,78.3099975585938,78.5999984741211,3250200,63.8446273803711
2013-11-06,78.9499969482422,79.8099975585938,78.7799987792969,79.5299987792969,2104300,64.6000442504883
2013-11-07,79.5699996948242,80.0500030517578,78.6399993896484,78.7699966430664,2878000,63.9827041625977
2013-11-08,78.4700012207031,78.7699966430664,76.4400024414062,77.7900009155273,3746200,63.1867027282715
2013-11-11,79.0100021362305,79.0100021362305,77.4199981689453,77.4499969482422,2277000,62.9105415344238
2013-11-12,77.7200012207031,78.4100036621094,77.1900024414062,77.9599990844727,2408800,63.324779510498
2013-11-13,77.5699996948242,78.3000030517578,77.4100036621094,78.1699981689453,2000900,63.4953651428223
2013-11-14,78.6399993896484,79.4199981689453,78,79.0999984741211,2065400,64.2507553100586
2013-11-15,78.879997253418,79.4899978637695,78.7900009155273,79.2799987792969,1852100,64.3969573974609
2013-11-18,79.1800003051758,79.3899993896484,78.4499969482422,78.5699996948242,1236500,63.8202781677246
2013-11-19,78.5699996948242,79.0599975585938,77.9300003051758,78.0999984741211,2041500,63.4385108947754
2013-11-20,78.4800033569336,79.5599975585938,77.4400024414062,78.129997253418,2196800,63.4628601074219
2013-11-21,78.1900024414062,78.3600006103516,77.4300003051758,77.5899963378906,2058100,63.0242462158203
2013-11-22,77.6500015258789,77.8000030517578,76.2200012207031,77.2799987792969,2078200,62.7724342346191
2013-11-25,77.3399963378906,77.3899993896484,76.629997253418,77,2077100,62.5450134277344
2013-11-26,76.9499969482422,78.4899978637695,76.9300003051758,78.0299987792969,3368700,63.3816337585449
2013-11-27,77.9000015258789,78.5,77.3899993896484,78.370002746582,1444000,63.6578140258789
2013-11-29,78.3600006103516,78.879997253418,77.6100006103516,77.7699966430664,834800,63.1704559326172
2013-12-02,77.629997253418,78.629997253418,77.3000030517578,78.2099990844727,2036400,63.5278396606445
2013-12-03,77.8300018310547,78.120002746582,77.5500030517578,77.7099990844727,2039300,63.1217193603516
2013-12-04,77.3300018310547,78.4100036621094,77.1399993896484,77.4300003051758,2197200,62.894287109375
2013-12-05,77.370002746582,78.1600036621094,76.7200012207031,77.75,2018900,63.1542053222656
2013-12-06,78.3099975585938,78.4899978637695,77.4700012207031,78.0800018310547,1465300,63.4222679138184
2013-12-09,78.1699981689453,78.9000015258789,77.6900024414062,78.8399963378906,2165300,64.0395812988281
2013-12-10,78.7099990844727,79.4800033569336,78.3899993896484,79.2099990844727,1794200,64.3401260375977
2013-12-11,79.0899963378906,79.1999969482422,77.5500030517578,77.8099975585938,2760500,63.2029457092285
2013-12-12,77.25,77.4499969482422,76.5999984741211,76.6900024414062,2299700,62.5262298583984
2013-12-13,77,77.7399978637695,76.5,76.7600021362305,2253300,62.5833168029785
2013-12-16,76.8600006103516,76.9800033569336,75.6500015258789,76.0899963378906,3439600,62.0370483398438
2013-12-17,76.1699981689453,76.8199996948242,75.879997253418,76.3899993896484,2656100,62.2816467285156
2013-12-18,77.2200012207031,78.370002746582,75.9100036621094,78.2200012207031,3121900,63.773681640625
2013-12-19,78.0800018310547,78.5999984741211,77.4700012207031,78.1100006103516,2554500,63.683967590332
2013-12-20,78.2699966430664,78.7600021362305,77.7600021362305,77.9499969482422,3072900,63.5535202026367
2013-12-23,79.0199966430664,79.3000030517578,78.25,78.4199981689453,1785300,63.9367332458496
2013-12-24,78.3399963378906,78.7900009155273,78.2200012207031,78.7099990844727,559700,64.1731414794922
2013-12-26,78.879997253418,79.0699996948242,78.4199981689453,78.8399963378906,951300,64.2791595458984
2013-12-27,79.1100006103516,79.1100006103516,78.3399963378906,78.8199996948242,1444900,64.2628555297852
