"Fecha","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
2013-11-01,66.1545257568359,66.2686538696289,65.7506561279297,66.1194000244141,2109770,53.086555480957
2013-11-04,66.4793701171875,66.6461791992188,65.803337097168,66.2949981689453,1800873,53.2275428771973
2013-11-05,66.0667266845703,66.4354705810547,65.6189651489258,66.2949981689453,1329099,53.2275428771973
2013-11-06,66.1457443237305,66.7690963745117,66.1281814575195,66.5759429931641,1427737,53.453125
2013-11-07,66.8568954467773,67.0851593017578,66.031608581543,66.136962890625,1745745,53.1006660461426
2013-11-08,66.2335357666016,66.7515335083008,66.031608581543,66.7339782714844,1570909,53.5800094604492
2013-11-11,66.5759429931641,66.7603149414062,66.2862167358398,66.5144882202148,1328871,53.4037742614746
2013-11-12,66.4530258178711,66.6373977661133,66.1896362304688,66.4793701171875,2064551,53.3755798339844
2013-11-13,66.4179077148438,67.164176940918,66.0579452514648,67.1202774047852,2775629,53.8901557922363
2013-11-14,67.2870941162109,67.9806823730469,67.1729583740234,67.5768203735352,2494752,54.256706237793
2013-11-15,67.4890213012695,67.954345703125,67.2080764770508,67.8928909301758,2674030,54.5104866027832
2013-11-18,67.9192276000977,68.2177352905273,67.72607421875,67.9192276000977,2006235,54.5316314697266
2013-11-19,69.1834945678711,70.6233520507812,68.7269515991211,69.9824447631836,7722648,56.1881637573242
2013-11-20,70.1580352783203,70.351188659668,69.1922760009766,69.4029846191406,3275536,55.7229385375977
2013-11-21,69.6400375366211,70.122917175293,69.4732208251953,70.0438995361328,2192575,56.2375068664551
2013-11-22,69.9297637939453,70.2721710205078,69.8507461547852,70.2458267211914,1765906,56.3996238708496
2013-11-25,70.2370529174805,70.5882339477539,70.1843719482422,70.3424072265625,1921721,56.477165222168
2013-11-26,73.0289764404297,73.5908660888672,70.0614547729492,70.5092163085938,2641911,56.6111030578613
2013-11-27,70.5004425048828,70.6935882568359,70.2019348144531,70.5267791748047,1211213,56.6251945495605
2013-11-29,70.3950805664062,70.8077239990234,70.2194900512695,70.2546081542969,951065,56.4066848754883
2013-12-02,70.1931533813477,70.351188659668,69.7453918457031,69.8595275878906,1557583,56.0894927978516
2013-12-03,70.5443344116211,70.9569778442383,69.9736633300781,70.5355606079102,3243075,56.6322593688965
2013-12-04,70.1404724121094,70.3599624633789,69.1308135986328,69.648811340332,2120249,55.9203033447266
2013-12-05,69.315185546875,69.8244094848633,68.8323059082031,68.9464416503906,2527327,55.3563652038574
2013-12-06,69.7541732788086,70.0351181030273,69.4732208251953,69.9385452270508,2130727,56.1529312133789
2013-12-09,69.9736633300781,70.0351181030273,68.972785949707,69.3678665161133,2705581,55.6947288513184
2013-12-10,69.2361755371094,69.4029846191406,68.7971878051758,68.9288864135742,2278456,55.3422660827637
2013-12-11,68.744514465332,68.9640045166016,67.7963104248047,67.9806823730469,3309251,54.9167251586914
2013-12-12,67.7875366210938,68.2616348266602,67.6909561157227,67.7348556518555,3402421,54.7181396484375
2013-12-13,68.1826171875,68.2791900634766,67.5856018066406,67.620719909668,1884817,54.6259346008301
2013-12-16,68.0684814453125,68.4547882080078,67.7699737548828,68.059700012207,1548129,54.9805564880371
2013-12-17,67.4275665283203,68.059700012207,67.26953125,67.8226547241211,1950082,54.7890777587891
2013-12-18,68.2352905273438,69.4907836914062,67.7085189819336,69.438102722168,3256287,56.0940780639648
2013-12-19,69.666374206543,70.105354309082,69.2449493408203,69.7366104125977,2828365,56.3352165222168
2013-12-20,69.7278289794922,70.4477615356445,69.3415298461914,70.2107086181641,4040375,56.7182006835938
2013-12-23,70.5092163085938,70.5882339477539,69.9912185668945,70.1843719482422,1624442,56.6969299316406
2013-12-24,70.0438995361328,70.4916610717773,69.8858642578125,70.4301986694336,682944,56.8955154418945
2013-12-26,70.6321334838867,71.0008773803711,70.351188659668,70.8955230712891,996967,57.2713890075684
2013-12-27,71.0798950195312,71.2379302978516,70.7287063598633,70.8691864013672,823497,57.2501449584961
2013-12-30,70.9569778442383,71.2028121948242,70.684814453125,71.1852493286133,818599,57.5054664611816
2013-12-31,71.3257217407227,71.5978927612305,70.8077239990234,70.9394226074219,1258139,57.3068656921387
2014-01-02,70.3863067626953,70.6321334838867,69.6927108764648,70.1141357421875,2239160,56.6402053833008
2014-01-03,70.4214248657227,71.4398574829102,70.2370529174805,70.8779602050781,2218886,57.2572364807129
2014-01-06,70.7726058959961,71.0886764526367,69.7014923095703,70.0702362060547,1748365,56.6047210693359
2014-01-07,70.2194900512695,71.132568359375,70.1404724121094,70.9218597412109,1567492,57.2926788330078
2014-01-08,70.5004425048828,70.8867416381836,70.1580352783203,70.5443344116211,2130044,56.9877166748047
