"Fecha","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
2013-11-01,146.020004272461,147.279998779297,145.139999389648,147.059997558594,779100,109.272666931152
2013-11-04,148.240005493164,150.309997558594,147.929992675781,150.259994506836,678800,111.650413513184
2013-11-05,149.399993896484,149.490005493164,147,147.850006103516,823700,109.859680175781
2013-11-06,147.630004882812,148.729995727539,146.210006713867,146.529998779297,857100,108.878845214844
2013-11-07,147.630004882812,149.139999389648,143.800003051758,143.949996948242,844000,106.961784362793
2013-11-08,144.020004272461,145.259994506836,142.660003662109,145.25,681800,107.927757263184
2013-11-11,144.820007324219,145.529998779297,141.919998168945,142.509994506836,1067200,105.891792297363
2013-11-12,142.610000610352,143.699996948242,141.119995117188,142.770004272461,845100,106.085006713867
2013-11-13,141.300003051758,144.529998779297,141.300003051758,144.25,714400,107.65601348877
2013-11-14,144.559997558594,150.440002441406,144.559997558594,149.050003051758,1411500,111.238327026367
2013-11-15,149.899993896484,152.270004272461,149.059997558594,150.839996337891,1575700,112.574203491211
2013-11-18,151.509994506836,152.929992675781,150.229995727539,150.539993286133,1198200,112.350296020508
2013-11-19,148.619995117188,151.649993896484,147.399993896484,149.259994506836,898700,111.395042419434
2013-11-20,149.25,150.75,144.509994506836,145.619995117188,1126200,108.678421020508
2013-11-21,145.369995117188,150.460006713867,145.369995117188,150.229995727539,934900,112.118911743164
2013-11-22,150.160003662109,151.399993896484,149.350006103516,150.279998779297,836000,112.156257629395
2013-11-25,150.279998779297,152.380004882812,149.559997558594,151.270004272461,791400,112.895126342773
2013-11-26,151.490005493164,154,150.889999389648,153.110000610352,589300,114.268356323242
2013-11-27,153.289993286133,154.240005493164,151.669998168945,152.320007324219,447300,113.678718566895
2013-11-29,152.779998779297,154.429992675781,152.220001220703,152.759994506836,267700,114.007110595703
2013-12-02,153.009994506836,153.600006103516,149.089996337891,149.289993286133,595700,111.417411804199
