"Fecha","DTE.Open","DTE.High","DTE.Low","DTE.Close","DTE.Volume","DTE.Adjusted"
2013-11-01,58.9446792602539,59.3021278381348,58.7063827514648,59.0978736877441,990173,42.2802200317383
2013-11-04,59.3021278381348,59.7191505432129,58.8851051330566,59.6595726013184,1778128,42.682071685791
2013-11-05,59.5319137573242,60.1021270751953,59.2765960693359,59.3702125549316,1760855,42.4750518798828
2013-11-06,59.4468078613281,59.957447052002,59.4468078613281,59.7361717224121,1300843,42.736873626709
2013-11-07,59.846809387207,60.1191482543945,59.0042533874512,59.02978515625,1693058,42.2315101623535
2013-11-08,58.7063827514648,59.0382995605469,57.8808517456055,59.012767791748,1757095,42.2193374633789
2013-11-11,59.0978736877441,59.2851066589355,58.6042556762695,58.876594543457,804758,42.1219062805176
2013-11-12,58.6042556762695,58.876594543457,57.8297882080078,58.1191482543945,1302723,41.5800170898438
2013-11-13,57.7021293640137,58.0255317687988,57.3702125549316,58.0085105895996,1773193,41.5008544921875
2013-11-14,58.2723388671875,59.072338104248,58.2297859191895,58.8510627746582,829315,42.1036529541016
2013-11-15,58.7234039306641,59.1489372253418,58.527660369873,59.1404266357422,969023,42.310661315918
2013-11-18,59.3531913757324,59.3957443237305,58.8680839538574,59.0382995605469,822148,42.2375984191895
2013-11-19,58.9446792602539,58.987232208252,58.4765968322754,58.5446815490723,1095570,41.8844451904297
2013-11-20,58.7234039306641,58.9106369018555,58.348934173584,58.527660369873,1731245,41.8722724914551
2013-11-21,58.638298034668,58.9531898498535,58.391487121582,58.6553192138672,1130820,41.9636039733887
2013-11-22,58.5531921386719,58.876594543457,58.3744697570801,58.6042556762695,1225290,41.9270782470703
2013-11-25,58.6042556762695,58.7319145202637,57.9489364624023,58.0170211791992,936005,41.5069541931152
2013-11-26,57.9489364624023,58.1106376647949,57.0978736877441,57.1829795837402,1189453,40.9102554321289
2013-11-27,57.2425537109375,57.2595748901367,56.8425521850586,56.9531898498535,1035645,40.745849609375
2013-11-29,56.8510627746582,57.1063842773438,56.7319145202637,56.7999992370605,530043,40.6362609863281
2013-12-02,56.9021263122559,56.9957466125488,56.2127647399902,56.834041595459,1029888,40.6606140136719
2013-12-03,56.6212768554688,56.9787216186523,56.4936180114746,56.8936157226562,994873,40.7032356262207
