"Fecha","TECH.Open","TECH.High","TECH.Low","TECH.Close","TECH.Volume","TECH.Adjusted"
2013-11-01,21.9174995422363,22.1725006103516,21.7525005340576,22.1625003814697,710400,20.3750705718994
2013-11-04,22.1825008392334,22.1949996948242,21.9225006103516,21.9349994659424,676000,20.165922164917
2013-11-05,21.8775005340576,21.9899997711182,21.6875,21.7399997711182,410800,19.9866428375244
2013-11-06,21.7875003814697,21.8724994659424,21.4650001525879,21.5699996948242,471200,19.8303489685059
2013-11-07,21.5324993133545,21.7250003814697,21.1525001525879,21.3525009155273,525200,19.7011852264404
2013-11-08,21.4424991607666,21.8425006866455,21.2950000762939,21.7999992370605,645600,20.1140747070312
2013-11-11,21.7450008392334,21.9200000762939,21.6525001525879,21.8374996185303,704400,20.1486644744873
2013-11-12,21.7600002288818,21.7600002288818,21.4025001525879,21.6700000762939,562400,19.9941272735596
2013-11-13,21.5725002288818,21.7775001525879,21.5200004577637,21.7374992370605,346000,20.0564022064209
2013-11-14,21.75,22.0174999237061,21.6499996185303,21.9349994659424,572000,20.2386302947998
2013-11-15,21.9274997711182,22.1924991607666,21.8425006866455,22.0249996185303,473200,20.3216705322266
2013-11-18,21.9899997711182,22.3199996948242,21.8649997711182,22.0200004577637,727600,20.3170585632324
2013-11-19,21.9724998474121,22.1149997711182,21.6825008392334,21.6975002288818,559600,20.0195007324219
2013-11-20,21.6949996948242,21.8425006866455,21.6000003814697,21.7299995422363,406000,20.0494842529297
2013-11-21,21.7299995422363,21.8449993133545,21.6825008392334,21.7600002288818,362400,20.0771675109863
2013-11-22,21.75,21.7749996185303,21.6674995422363,21.7374992370605,420400,20.0564022064209
2013-11-25,21.75,21.8474998474121,21.5650005340576,21.6399993896484,606800,19.9664497375488
2013-11-26,21.7099990844727,21.7724990844727,21.3799991607666,21.4974994659424,690000,19.8349609375
2013-11-27,21.5949993133545,21.6299991607666,21.3325004577637,21.4825000762939,616000,19.8211250305176
2013-11-29,21.5725002288818,21.7900009155273,21.3724994659424,21.3850002288818,346000,19.7311744689941
2013-12-02,21.3924999237061,21.5849990844727,21.2199993133545,21.2425003051758,592800,19.5996894836426
2013-12-03,21.1900005340576,21.3250007629395,21.0174999237061,21.2124996185303,502400,19.5720062255859
2013-12-04,21.1749992370605,21.3274993896484,21.1324996948242,21.25,656400,19.606616973877
2013-12-05,21.1825008392334,21.4825000762939,21.1474990844727,21.4549999237061,556800,19.7957534790039
2013-12-06,21.5550003051758,21.8474998474121,21.3374996185303,21.8199996948242,541600,20.1325225830078
2013-12-09,21.8525009155273,22.0249996185303,21.5900001525879,21.9274997711182,632400,20.2317028045654
2013-12-10,21.8150005340576,22.0049991607666,21.6774997711182,21.8600006103516,708800,20.16943359375
2013-12-11,21.8824996948242,21.8824996948242,21.4825000762939,21.5100002288818,886800,19.8464984893799
2013-12-12,21.5049991607666,21.7700004577637,21.2875003814697,21.6375007629395,670800,19.9641399383545
2013-12-13,21.7250003814697,21.8500003814697,21.5,21.6900005340576,575200,20.012580871582
2013-12-16,21.7399997711182,22.3050003051758,21.7399997711182,22.2374992370605,875600,20.5177402496338
2013-12-17,22.2674999237061,22.3099994659424,22.1025009155273,22.1875,1315600,20.4716014862061
2013-12-18,22.1725006103516,23.1350002288818,22.0900001525879,23.0825004577637,1210800,21.2973899841309
2013-12-19,23.0750007629395,23.1949996948242,22.8549995422363,22.9925003051758,1176400,21.21435546875
2013-12-20,23.0349998474121,23.2450008392334,22.9475002288818,23.1299991607666,1459600,21.341215133667
2013-12-23,23.1924991607666,23.4874992370605,22.9974994659424,23.2549991607666,534800,21.4565505981445
2013-12-24,23.2950000762939,23.4675006866455,23.2075004577637,23.375,340800,21.5672664642334
2013-12-26,23.4599990844727,23.4925003051758,23.2900009155273,23.4500007629395,471200,21.6364669799805
2013-12-27,23.4549999237061,23.5925006866455,23.3700008392334,23.5475006103516,523600,21.7264251708984
2013-12-30,23.4775009155273,23.6774997711182,23.4274997711182,23.5750007629395,445600,21.751802444458
2013-12-31,23.6224994659424,23.6949996948242,23.4400005340576,23.6674995422363,489600,21.83713722229
2014-01-02,23.2625007629395,23.6525001525879,23.1224994659424,23.5475006103516,1356800,21.7264251708984
2014-01-03,23.6725006103516,23.8274993896484,23.4475002288818,23.6725006103516,958000,21.8417644500732
