"Fecha","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
2013-11-01,35.0639114379883,35.1327438354492,33.7954788208008,34.3952789306641,6377709,31.9916763305664
2013-11-04,34.3657836914062,35.1819076538086,34.3657836914062,34.5427742004395,3246366,32.1288528442383
2013-11-05,34.4051132202148,34.5427742004395,33.4021644592285,33.7364807128906,5121612,31.3789176940918
2013-11-06,33.8643074035645,34.3067855834961,33.4611587524414,33.9429702758789,3879448,31.570972442627
2013-11-07,34.3362846374512,35.1032447814941,33.6381492614746,33.6676483154297,6282111,31.314884185791
2013-11-08,33.3333320617676,33.3333320617676,31.8387413024902,32.241886138916,12669074,29.9887542724609
2013-11-11,32.1140594482422,32.3008842468262,31.612585067749,32.0353965759277,4734237,29.7966995239258
2013-11-12,32.0255661010742,32.733528137207,31.7109146118164,32.3598823547363,7121441,30.0985107421875
2013-11-13,32.0943946838379,33.0186805725098,32.0943946838379,32.7728614807129,6028573,30.4826240539551
2013-11-14,32.8121948242188,34.3166198730469,32.6548652648926,33.6479835510254,9122897,31.2965984344482
2013-11-15,33.7659797668457,34.3067855834961,33.3136672973633,33.598819732666,5607128,31.2508716583252
2013-11-18,33.8643074035645,34.5624389648438,33.7168121337891,33.9429702758789,6007724,31.570972442627
2013-11-19,33.7954788208008,34.1002960205078,33.3923301696777,33.6381492614746,3528278,31.287446975708
2013-11-20,34.6017684936523,35.0049171447754,33.8249740600586,33.972469329834,7149510,31.5983905792236
2013-11-21,34.1592903137207,34.5427742004395,33.2743377685547,34.3362846374512,5521903,31.936803817749
2013-11-22,34.4051132202148,34.4149475097656,33.78564453125,33.972469329834,3654691,31.5983905792236
2013-11-25,33.9822998046875,34.1002960205078,33.2546691894531,33.7364807128906,3835514,31.3789176940918
2013-11-26,33.9528007507324,35.6538848876953,33.9233055114746,35.447395324707,7365012,32.9702529907227
2013-11-27,35.4867248535156,35.9980316162109,35.1720733642578,35.3490676879883,4310860,32.8788185119629
2013-11-29,35.3982315063477,35.4375610351562,34.6804313659668,35.1622428894043,1567909,32.7050285339355
2013-12-02,35.2212371826172,35.3687324523926,34.4936103820801,34.5919380187988,3621537,32.1746025085449
2013-12-03,34.3657836914062,34.8672561645508,34.2281227111816,34.7197647094727,4767899,32.2934761047363
2013-12-04,34.5231056213379,34.7197647094727,33.6479835510254,33.9429702758789,5894939,31.570972442627
2013-12-05,33.9233055114746,34.1297950744629,33.5201568603516,33.6479835510254,3543635,31.2965984344482
2013-12-06,34.1789588928223,34.6902656555176,33.8151435852051,33.9626350402832,3896941,31.5892734527588
2013-12-09,34.060962677002,35.2212371826172,34.060962677002,34.6509323120117,5257585,32.2294578552246
2013-12-10,34.8475914001465,35.8800392150879,34.8475914001465,35.1524085998535,4458426,32.6958885192871
2013-12-11,35.0540809631348,35.0835800170898,34.1592903137207,34.4444427490234,3065441,32.0373992919922
2013-12-12,34.4149475097656,34.5231056213379,33.9822998046875,34.3067855834961,2237298,31.9093589782715
2013-12-13,34.3756141662598,34.7590942382812,34.3362846374512,34.4149475097656,2755256,32.0099601745605
