"Fecha","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
2013-11-01,131.770004272461,134.740005493164,131.580001831055,134.649993896484,3728600,119.622505187988
2013-11-04,134.649993896484,136.059997558594,134.089996337891,135.119995117188,2474500,120.040069580078
2013-11-05,134.369995117188,136.889999389648,133.789993286133,136.229995727539,2670600,121.026161193848
2013-11-06,136.809997558594,136.979995727539,131.919998168945,132.770004272461,5439500,117.952362060547
2013-11-07,133.050003051758,133.350006103516,130.25,130.550003051758,2846400,115.980072021484
2013-11-08,130.289993286133,132.729995727539,130.279998779297,132.570007324219,2676700,117.774658203125
2013-11-11,131.979995727539,133.169998168945,131.600006103516,132.520004272461,1805000,117.730247497559
2013-11-12,131.800003051758,136.100006103516,130.809997558594,134.630004882812,4789000,119.604766845703
2013-11-13,134.119995117188,135.889999389648,133.330001831055,135.289993286133,3447600,120.191108703613
2013-11-14,135.410003662109,136.5,135.039993286133,136.440002441406,3123700,121.212730407715
2013-11-15,138.460006713867,139.940002441406,137.889999389648,138.649993896484,3644900,123.176086425781
2013-11-18,138.589996337891,139.770004272461,136.789993286133,137.139999389648,2965700,121.834625244141
2013-11-19,137.169998168945,137.320007324219,133.929992675781,134,2960600,119.04508972168
2013-11-20,134.350006103516,135.740005493164,134.190002441406,134.580001831055,1716000,119.560356140137
2013-11-21,135.320007324219,138.860000610352,135.25,138.380004882812,2920800,122.936210632324
2013-11-22,138.100006103516,138.449996948242,135.940002441406,137.070007324219,1680100,121.772422790527
2013-11-25,137.809997558594,137.979995727539,136.710006713867,137.220001220703,1234500,121.905738830566
2013-11-26,137.300003051758,138.619995117188,137.009994506836,137.809997558594,1495000,122.429885864258
2013-11-27,138.699996948242,140.279998779297,138.509994506836,139.860000610352,1358600,124.251068115234
2013-11-29,140.449996948242,140.550003051758,138.509994506836,138.699996948242,733100,123.22053527832
2013-12-02,139.149993896484,140.960006713867,138.729995727539,140.210006713867,1953400,124.56201171875
2013-12-03,139.460006713867,140,137.679992675781,138.039993286133,1927300,122.634178161621
2013-12-04,137.660003662109,140,136.809997558594,138.710006713867,1187900,123.229454040527
2013-12-05,137.899993896484,139.669998168945,137.669998168945,138.220001220703,1161200,122.794105529785
2013-12-06,139.990005493164,140.169998168945,139.070007324219,139.389999389648,1216500,123.833511352539
2013-12-09,139.820007324219,140,139.110000610352,139.809997558594,1349300,124.206687927246
2013-12-10,139.660003662109,140.179992675781,138.220001220703,138.490005493164,1538700,123.16609954834
2013-12-11,138.880004882812,139,136.350006103516,136.509994506836,1451900,121.405181884766
2013-12-12,136.559997558594,137.529998779297,136.270004272461,136.339996337891,1795700,121.253997802734
2013-12-13,138.009994506836,138.880004882812,137.009994506836,137.899993896484,2583700,122.641372680664
2013-12-16,139.589996337891,140.970001220703,138.880004882812,139.850006103516,3549800,124.375633239746
2013-12-17,139.800003051758,140.169998168945,138.5,139.089996337891,2697000,123.699729919434
2013-12-18,138.100006103516,140.240005493164,137.360000610352,139.720001220703,4825100,124.260040283203
2013-12-19,139.610000610352,140.020004272461,137.759994506836,139.690002441406,2688900,124.233322143555
2013-12-20,139.520004272461,143.729995727539,139.229995727539,142.710006713867,3350200,126.919212341309
2013-12-23,143.309997558594,143.440002441406,141.619995117188,142.190002441406,1461000,126.456733703613
2013-12-24,142.240005493164,142.380004882812,141.139999389648,142,750600,126.287651062012
2013-12-26,142.649993896484,143.520004272461,142.330001831055,143.300003051758,1246400,127.443855285645
2013-12-27,143.279998779297,143.860000610352,142.740005493164,143.429992675781,923500,127.559455871582
2013-12-30,143.479995727539,143.880004882812,142.860000610352,143.050003051758,889300,127.221572875977
2013-12-31,143.009994506836,144.130004882812,143,143.770004272461,1102600,127.86190032959
2014-01-02,142.899993896484,144.389999389648,139.570007324219,139.770004272461,3360000,124.304504394531
2014-01-03,140.330001831055,141.149993896484,139.910003662109,140.050003051758,2779600,124.553489685059
2014-01-06,142.699996948242,143,138.259994506836,138.720001220703,2995000,123.370635986328
2014-01-07,139.339996337891,140.979995727539,138.990005493164,140.639999389648,1702000,125.078193664551
