"Fecha","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
2013-11-01,118.709999084473,119.800003051758,118.550003051758,119.620002746582,2185100,98.5012359619141
2013-11-04,120,120.400001525879,119.26000213623,120.339996337891,1588900,99.0941009521484
2013-11-05,120.150001525879,120.430000305176,119.099998474121,120.129997253418,1419700,98.9211654663086
2013-11-06,120.440002441406,124.559997558594,120.319999694824,124.069999694824,3059000,102.165588378906
2013-11-07,124.73999786377,124.73999786377,122.51000213623,122.779998779297,2459500,101.103340148926
2013-11-08,122.209999084473,122.889999389648,121.120002746582,122.779998779297,2314300,101.103340148926
2013-11-11,122.73999786377,123.669998168945,122.099998474121,123.019996643066,1275700,101.300918579102
2013-11-12,121.610000610352,122.730003356934,121.519996643066,122.449996948242,1588000,100.831573486328
2013-11-13,121.910003662109,123.169998168945,121.599998474121,123.169998168945,1679300,101.681884765625
2013-11-14,123.389999389648,124.059997558594,122.849998474121,123.73999786377,1488000,102.152473449707
2013-11-15,123.660003662109,124.690002441406,123.389999389648,124.290000915527,1784200,102.606491088867
2013-11-18,124.660003662109,124.660003662109,122.919998168945,123.309997558594,1327600,101.79744720459
2013-11-19,123.540000915527,124.099998474121,123.120002746582,123.629997253418,1233600,102.061653137207
2013-11-20,124,124.209999084473,122.430000305176,122.76000213623,1135900,101.343421936035
2013-11-21,122.949996948242,124.199996948242,122.309997558594,123.889999389648,1164200,102.27628326416
2013-11-22,124.26000213623,125.349998474121,124,125.209999084473,1502000,103.365982055664
2013-11-25,125.669998168945,126.120002746582,124.900001525879,125.169998168945,1391900,103.3330078125
2013-11-26,125.209999084473,126.120002746582,125.040000915527,125.180000305176,1597700,103.341232299805
2013-11-27,125.650001525879,125.889999389648,125.199996948242,125.379997253418,873400,103.506340026855
2013-11-29,125.699996948242,126.029998779297,125.139999389648,125.430000305176,725400,103.547607421875
2013-12-02,125.660003662109,125.690002441406,123.449996948242,123.690002441406,1444900,102.111175537109
2013-12-03,123.720001220703,123.970001220703,122.970001220703,123.819999694824,1767900,102.218482971191
2013-12-04,123.26000213623,124.459999084473,122.360000610352,122.970001220703,1644000,101.516777038574
2013-12-05,121.5,122.349998474121,120.5,120.949996948242,3329000,99.8491973876953
2013-12-06,122,122.150001525879,121.019996643066,122.059997558594,1734800,100.765563964844
2013-12-09,122.819999694824,122.839996337891,121.379997253418,121.660003662109,2192500,100.435325622559
2013-12-10,121.190002441406,121.480003356934,119.970001220703,120.040000915527,3163300,99.0979614257812
2013-12-11,118.099998474121,120.300003051758,116.970001220703,118.569999694824,6113600,97.884391784668
2013-12-12,118.519996643066,119.400001525879,118.099998474121,118.220001220703,2023600,97.5954666137695
2013-12-13,119.01000213623,119.050003051758,117.410003662109,117.910003662109,1722600,97.3395385742188
2013-12-16,117.919998168945,118.900001525879,117.529998779297,118,2069500,97.4138488769531
2013-12-17,118.169998168945,118.360000610352,117.019996643066,117.550003051758,1722800,97.0423583984375
2013-12-18,117.779998779297,118.599998474121,115.849998474121,118.5,3167600,97.8266372680664
2013-12-19,117.839996337891,118.440002441406,117.25,117.98999786377,2339400,97.4055938720703
2013-12-20,117.690002441406,119.050003051758,117.690002441406,118.529998779297,3007000,97.8513717651367
2013-12-23,119.099998474121,119.129997253418,118.129997253418,118.690002441406,1181600,97.9834518432617
2013-12-24,118.690002441406,118.849998474121,118.180000305176,118.690002441406,612500,97.9834518432617
2013-12-26,118.680000305176,119.110000610352,118.589996337891,118.629997253418,1169900,97.9339447021484
