"Fecha","TRGP.Open","TRGP.High","TRGP.Low","TRGP.Close","TRGP.Volume","TRGP.Adjusted"
2013-11-01,77.4000015258789,78.2200012207031,76.0199966430664,76.6800003051758,320000,46.0034980773926
2013-11-04,76.9199981689453,78.5,76.5599975585938,78.2600021362305,265000,46.9514198303223
2013-11-05,76.8300018310547,77.6800003051758,75.9000015258789,76.4599990844727,464800,45.8715362548828
2013-11-06,77.0800018310547,77.4499969482422,76.0100021362305,76.4300003051758,262400,45.8535194396973
2013-11-07,76.8300018310547,77.3000030517578,74.5,76.0999984741211,353200,45.6555519104004
2013-11-08,76,78.5599975585938,75.9599990844727,78.5100021362305,194000,47.1014175415039
2013-11-11,78.7200012207031,79.379997253418,77.9700012207031,78.629997253418,192300,47.1734046936035
2013-11-12,78.5999984741211,78.8399963378906,78.120002746582,78.4100036621094,200800,47.0414199829102
2013-11-13,78.0899963378906,78.8399963378906,77.75,78.6900024414062,192700,47.2093925476074
2013-11-14,78.9300003051758,79.8099975585938,78.2300033569336,78.4000015258789,185700,47.0354270935059
2013-11-15,78.2699966430664,79.379997253418,77.7900009155273,79.379997253418,187200,47.623363494873
2013-11-18,79.5999984741211,79.7300033569336,78.4700012207031,78.9499969482422,354900,47.3653793334961
2013-11-19,78.6900024414062,79.5999984741211,78.0100021362305,79.2699966430664,259000,47.5573616027832
2013-11-20,79.6399993896484,79.6699981689453,78.7699966430664,79.4100036621094,213800,47.6413612365723
2013-11-21,79.8899993896484,81.0100021362305,79.5999984741211,80.4300003051758,156500,48.2532958984375
2013-11-22,80.6100006103516,81.620002746582,80.5500030517578,81.5599975585938,170200,48.931224822998
2013-11-25,81.5599975585938,82.3499984741211,81.4100036621094,81.6399993896484,250100,48.9792251586914
2013-11-26,81.8600006103516,82.3000030517578,80.9800033569336,80.9899978637695,197900,48.589241027832
2013-11-27,80.9499969482422,81.7600021362305,80.6600036621094,81.0199966430664,139900,48.6072463989258
2013-11-29,81.4300003051758,82.0599975585938,80.9300003051758,81.0899963378906,90100,48.6492500305176
2013-12-02,80.9000015258789,82.1600036621094,80.4700012207031,81.9800033569336,152300,49.1832122802734
2013-12-03,80.2300033569336,81.1399993896484,79.879997253418,80.0100021362305,400300,48.0013160705566
2013-12-04,78.3600006103516,79.5800018310547,77.8099975585938,78.8899993896484,284300,47.3293838500977
2013-12-05,78.6100006103516,78.9800033569336,77.7200012207031,78.6600036621094,244100,47.1913986206055
2013-12-06,79.3899993896484,80.1699981689453,78.379997253418,80.0100021362305,197500,48.0013160705566
2013-12-09,79.9400024414062,80.1999969482422,78.8899993896484,79.6399993896484,275700,47.7793312072754
2013-12-10,79.4800033569336,79.5,78.4100036621094,79.0100021362305,207800,47.4013786315918
2013-12-11,79.620002746582,80.2699966430664,79.2399978637695,79.620002746582,241200,47.7673416137695
2013-12-12,79.620002746582,80.1800003051758,79.0400009155273,79.5299987792969,247800,47.7133483886719
2013-12-13,79.7099990844727,81.3099975585938,79.2900009155273,80.9100036621094,217300,48.5412673950195
2013-12-16,80.9800033569336,82.1399993896484,80.9800033569336,81.9400024414062,269500,49.1591911315918
