"Fecha","SBNY.Open","SBNY.High","SBNY.Low","SBNY.Close","SBNY.Volume","SBNY.Adjusted"
2013-11-01,102,102.400001525879,100.910003662109,101.650001525879,177069,94.2372817993164
2013-11-04,101.930000305176,102.76000213623,100.769996643066,101.339996337891,196401,93.9498825073242
2013-11-05,100.98999786377,102.099998474121,100.290000915527,101.430000305176,218857,94.033332824707
2013-11-06,101.849998474121,102.559997558594,101.519996643066,101.980003356934,149217,94.5432357788086
2013-11-07,102.349998474121,103.334999084473,101.25,101.449996948242,304668,94.051872253418
2013-11-08,101.629997253418,105.639999389648,101.150001525879,105.48999786377,307304,97.7972640991211
2013-11-11,105.889999389648,106.650001525879,104.529998779297,105.559997558594,292066,97.8621444702148
2013-11-12,105.120002746582,105.129997253418,103.230003356934,103.970001220703,332412,96.3881072998047
2013-11-13,103.660003662109,105.550003051758,103.269996643066,105.419998168945,224823,97.7323608398438
2013-11-14,105.819999694824,106.459999084473,104.879997253418,106.199996948242,165753,98.4554748535156
2013-11-15,106.029998779297,106.970001220703,104.879997253418,105.650001525879,275530,97.9455795288086
2013-11-18,106.019996643066,106.959999084473,105.569999694824,105.959999084473,174140,98.2329711914062
2013-11-19,106.01000213623,106.01000213623,104.705001831055,105.080001831055,204424,97.4171524047852
2013-11-20,104.970001220703,105.419998168945,104.419998168945,105.180000305176,219112,97.5098648071289
2013-11-21,105.48999786377,108.959999084473,104.860000610352,107.809997558594,191843,99.9480743408203
2013-11-22,107.639999389648,108.769996643066,107.050003051758,108.379997253418,124598,100.476509094238
2013-11-25,108.699996948242,108.860000610352,107.139999389648,107.610000610352,154412,99.7626647949219
2013-11-26,107.849998474121,108.339996337891,107.01000213623,108.120002746582,171067,100.235473632812
2013-11-27,106.870002746582,106.910003662109,105.180000305176,106.51000213623,426716,98.7428741455078
2013-11-29,106.480003356934,107.269996643066,105.819999694824,106.25,110661,98.501823425293
2013-12-02,106.01000213623,107.98999786377,105.839996337891,106.069999694824,365968,98.3349533081055
2013-12-03,105.809997558594,106.319999694824,103.519996643066,103.870002746582,249190,96.2953872680664
2013-12-04,102.379997253418,103.910003662109,101.930000305176,103.300003051758,393998,95.766975402832
