"Fecha","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted"
2013-11-01,3.81750011444092,3.83249998092651,3.78749990463257,3.81500005722046,20613600,3.58013439178467
2013-11-04,3.82750010490417,3.82750010490417,3.69749999046326,3.70499992370605,41026400,3.47690629959106
2013-11-05,3.68249988555908,3.71749997138977,3.64249992370605,3.70000004768372,42236800,3.47221446037292
2013-11-06,3.70000004768372,3.72749996185303,3.66249990463257,3.72499990463257,19804400,3.49567532539368
2013-11-07,3.71250009536743,3.72250008583069,3.63000011444092,3.63750004768372,55307600,3.41356229782104
2013-11-08,3.75,3.90249991416931,3.73499989509583,3.89000010490417,73453200,3.65051627159119
2013-11-11,3.875,3.93249988555908,3.8675000667572,3.92249989509583,29762400,3.68101668357849
2013-11-12,3.94000005722046,3.96250009536743,3.88499999046326,3.9300000667572,31603200,3.68805503845215
2013-11-13,3.92000007629395,4.03749990463257,3.91249990463257,4.03749990463257,33279200,3.78893685340881
2013-11-14,4.02500009536743,4.07999992370605,4.02250003814697,4.05499982833862,30798000,3.80535912513733
2013-11-15,4.07000017166138,4.07499980926514,4.00250005722046,4.04250001907349,45033200,3.79362964630127
2013-11-18,3.95499992370605,3.99000000953674,3.93499994277954,3.9449999332428,31694800,3.70213150978088
2013-11-19,3.90499997138977,3.94000005722046,3.85500001907349,3.85999989509583,20671600,3.64198231697083
2013-11-20,3.86249995231628,3.87249994277954,3.79500007629395,3.80250000953674,20477600,3.58773016929626
2013-11-21,3.80749988555908,3.83999991416931,3.78999996185303,3.83249998092651,21356800,3.61603498458862
2013-11-22,3.83750009536743,3.83750009536743,3.78749990463257,3.79500007629395,15866800,3.58065390586853
2013-11-25,3.79500007629395,3.8824999332428,3.79500007629395,3.87750005722046,24820800,3.65849375724792
2013-11-26,3.92000007629395,3.95250010490417,3.89499998092651,3.91000008583069,75317600,3.68915820121765
2013-11-27,3.90750002861023,3.9375,3.8824999332428,3.92499995231628,18127200,3.70331025123596
2013-11-29,3.92499995231628,3.93499994277954,3.875,3.90000009536743,11696400,3.67972254753113
2013-12-02,3.88499999046326,3.96499991416931,3.87750005722046,3.9375,37387200,3.71510410308838
2013-12-03,3.9375,3.99000000953674,3.91000008583069,3.93499994277954,29056000,3.71274590492249
2013-12-04,3.92499995231628,3.99749994277954,3.91499996185303,3.99000000953674,49317600,3.76463985443115
2013-12-05,3.99749994277954,3.99749994277954,3.92000007629395,3.92499995231628,27181200,3.70331025123596
2013-12-06,3.97250008583069,3.97250008583069,3.85750007629395,3.8675000667572,28100000,3.64905834197998
2013-12-09,3.8675000667572,3.88000011444092,3.79500007629395,3.80250000953674,38522000,3.58773016929626
2013-12-10,3.80250000953674,3.90750002861023,3.79749989509583,3.89000010490417,52426800,3.6702868938446
2013-12-11,3.89750003814697,3.90249991416931,3.84500002861023,3.85249996185303,41415600,3.63490605354309
2013-12-12,3.83999991416931,3.85999989509583,3.76999998092651,3.77749991416931,25872400,3.56414246559143
2013-12-13,3.78500008583069,3.8125,3.75,3.75500011444092,18458800,3.54291248321533
2013-12-16,3.7574999332428,3.79250001907349,3.75500011444092,3.75999999046326,23762000,3.54762959480286
