"Fecha","PAYC.Open","PAYC.High","PAYC.Low","PAYC.Close","PAYC.Volume","PAYC.Adjusted"
2014-04-15,17.8999996185303,17.9200000762939,15.1499996185303,15.3500003814697,3531700,15.3091707229614
2014-04-16,15.3500003814697,16.0900001525879,15.210000038147,15.6199998855591,266500,15.5784521102905
2014-04-17,15.9499998092651,16.5499992370605,15.710000038147,16.25,262100,16.2067756652832
2014-04-21,16.5900001525879,16.5900001525879,16.0100002288818,16.1000003814697,78000,16.0571746826172
2014-04-22,16.2000007629395,16.6889991760254,15.7600002288818,15.9799995422363,96100,15.9374942779541
2014-04-23,15.8199996948242,16.1800003051758,15.8000001907349,16.0699996948242,56500,16.0272560119629
2014-04-24,16.2800006866455,16.2999992370605,15.75,15.75,42800,15.7081060409546
2014-04-25,15.75,15.75,15.25,15.3000001907349,71600,15.2593030929565
2014-04-28,15.4300003051758,15.6599998474121,14.5100002288818,14.9700002670288,197500,14.9301805496216
2014-04-29,15.0100002288818,15.4499998092651,15.0100002288818,15.2799997329712,68500,15.2393560409546
2014-04-30,15.1700000762939,15.5100002288818,15.0600004196167,15.4099998474121,53600,15.3690099716187
2014-05-01,15.289999961853,15.8999996185303,15.289999961853,15.6700000762939,39900,15.6283187866211
2014-05-02,15.6899995803833,16.0559997558594,15.6899995803833,15.8000001907349,22300,15.7579727172852
2014-05-05,15.6899995803833,15.9899997711182,15.6780004501343,15.6800003051758,13300,15.6382923126221
2014-05-06,15.6300001144409,15.6300001144409,15.25,15.3100004196167,31900,15.2692766189575
2014-05-07,15.2600002288818,15.289999961853,14.9499998092651,15.0500001907349,92600,15.0099687576294
2014-05-08,15.25,15.3280000686646,15.1800003051758,15.1800003051758,18600,15.1396226882935
2014-05-09,15.1199998855591,15.1700000762939,14.1199998855591,14.5100002288818,76000,14.4714050292969
2014-05-12,14.7299995422363,14.8699998855591,14.0900001525879,14.0900001525879,111200,14.0525217056274
2014-05-13,14.5699996948242,14.8719997406006,13.6750001907349,13.8699998855591,90800,13.8331060409546
2014-05-14,14.1499996185303,14.289999961853,13.9099998474121,14.0699996948242,105600,14.0325746536255
2014-05-15,14,14.3100004196167,13.6099996566772,14.289999961853,110100,14.251989364624
2014-05-16,14.289999961853,14.6800003051758,13.5699996948242,13.8100004196167,119700,13.7732667922974
2014-05-19,13.8500003814697,13.8500003814697,13.1000003814697,13.2399997711182,202500,13.2047824859619
2014-05-20,13.5,14.3000001907349,13.3699998855591,14,141100,13.962760925293
2014-05-21,14.25,14.25,13.8699998855591,14,47400,13.962760925293
2014-05-22,13.9099998474121,15.6099996566772,13.8450002670288,15.3800001144409,85300,15.33909034729
2014-05-23,15.3500003814697,15.3500003814697,14.3100004196167,14.5299997329712,352700,14.4913511276245
2014-05-27,14.5699996948242,14.8100004196167,13.7600002288818,14.0299997329712,68100,13.9926805496216
2014-05-28,14.0799999237061,14.0799999237061,13.1199998855591,13.25,244000,13.2147560119629
2014-05-29,13.4499998092651,13.8199996948242,13.4300003051758,13.4799995422363,64600,13.4441432952881
2014-05-30,13.4099998474121,13.5249996185303,13.2399997711182,13.3500003814697,76100,13.3144903182983
2014-06-02,13.4899997711182,13.8299999237061,13.1750001907349,13.539999961853,47600,13.5039844512939
2014-06-03,13.7399997711182,14.1099996566772,13.4300003051758,14.0299997329712,84800,13.9926805496216
2014-06-04,14,14.4429998397827,13.5900001525879,14.3000001907349,73700,14.261962890625
2014-06-05,13.0100002288818,14.4300003051758,13.0100002288818,14.1700000762939,67600,14.1323089599609
2014-06-06,14.3299999237061,14.5,13.8900003433228,14.4499998092651,42500,14.411563873291
2014-06-09,14.4499998092651,14.6750001907349,14.1899995803833,14.6400003433228,104500,14.6010589599609
2014-06-10,14.6499996185303,14.6700000762939,14.3500003814697,14.4300003051758,59700,14.3916168212891
2014-06-11,14.3500003814697,14.539999961853,14.25,14.460000038147,24900,14.421537399292
2014-06-12,14.460000038147,14.4700002670288,13.9130001068115,13.9700002670288,120500,13.9328413009644
2014-06-13,14.0699996948242,14.0699996948242,13.3999996185303,14,65100,13.962760925293
