"Fecha","TDY.Open","TDY.High","TDY.Low","TDY.Close","TDY.Volume","TDY.Adjusted"
2013-11-01,88.6800003051758,89.0299987792969,86.9800033569336,87.5299987792969,302700,87.5299987792969
2013-11-04,87.620002746582,88.7900009155273,87.4300003051758,88.6800003051758,154900,88.6800003051758
2013-11-05,88.3099975585938,89.1100006103516,87.9700012207031,88.6500015258789,118500,88.6500015258789
2013-11-06,88.9700012207031,90.0800018310547,88.3600006103516,88.6900024414062,126900,88.6900024414062
2013-11-07,88.8199996948242,89.1900024414062,86.9300003051758,87.0199966430664,118300,87.0199966430664
2013-11-08,86.9199981689453,87.8399963378906,86.4000015258789,87.5100021362305,117800,87.5100021362305
2013-11-11,87.4100036621094,87.4800033569336,86.6900024414062,87.3099975585938,81200,87.3099975585938
2013-11-12,87.0899963378906,88.4400024414062,86.7099990844727,88.129997253418,242600,88.129997253418
2013-11-13,87.4400024414062,88.870002746582,87.4400024414062,88.7600021362305,79700,88.7600021362305
2013-11-14,88.4700012207031,89.7300033569336,88.4700012207031,89.4499969482422,107800,89.4499969482422
2013-11-15,89.3300018310547,89.3300018310547,88.2399978637695,88.8600006103516,98300,88.8600006103516
2013-11-18,89.4499969482422,89.6800003051758,88.1100006103516,88.620002746582,87500,88.620002746582
2013-11-19,88.4700012207031,89.6100006103516,88.2900009155273,88.7099990844727,112500,88.7099990844727
2013-11-20,89.2099990844727,89.2099990844727,87.5,88.1500015258789,130100,88.1500015258789
2013-11-21,88.3199996948242,90.1800003051758,87.3300018310547,90.1699981689453,117500,90.1699981689453
2013-11-22,90.4300003051758,91.0999984741211,89.6100006103516,90.7900009155273,81300,90.7900009155273
2013-11-25,90.7799987792969,91.8000030517578,90.370002746582,91.1800003051758,99700,91.1800003051758
2013-11-26,91.3300018310547,92.4300003051758,89.9300003051758,92.3899993896484,120800,92.3899993896484
2013-11-27,92.7300033569336,93.1600036621094,91.7900009155273,92.9899978637695,161400,92.9899978637695
2013-11-29,93.5800018310547,93.5800018310547,92.6800003051758,92.7300033569336,49900,92.7300033569336
2013-12-02,92.5800018310547,92.8000030517578,90.8499984741211,91.2200012207031,100400,91.2200012207031
2013-12-03,90.8099975585938,91.8199996948242,90.3199996948242,90.4700012207031,110900,90.4700012207031
2013-12-04,89.8300018310547,90.4300003051758,88.5100021362305,89.7399978637695,144800,89.7399978637695
2013-12-05,89.4499969482422,90.8899993896484,89.3300018310547,90.4199981689453,71400,90.4199981689453
2013-12-06,91.5199966430664,91.5199966430664,90.5299987792969,90.6999969482422,80700,90.6999969482422
2013-12-09,90.6999969482422,91.1100006103516,89.6699981689453,90,109200,90
2013-12-10,89.6500015258789,90.370002746582,89.0100021362305,89.0899963378906,114700,89.0899963378906
2013-12-11,89.1999969482422,89.5800018310547,87.3300018310547,87.8899993896484,141000,87.8899993896484
2013-12-12,88.0199966430664,89.4599990844727,87.870002746582,88.9700012207031,155600,88.9700012207031
2013-12-13,89.0999984741211,90.2900009155273,88.9199981689453,89.6900024414062,192200,89.6900024414062
2013-12-16,89.9199981689453,90.9499969482422,89.5599975585938,89.6999969482422,134100,89.6999969482422
2013-12-17,89.6399993896484,89.9000015258789,88.8399963378906,89.6800003051758,106700,89.6800003051758
2013-12-18,90.0400009155273,91.4199981689453,89.1999969482422,91.25,111400,91.25
2013-12-19,91.1600036621094,91.1600036621094,90.379997253418,90.6999969482422,65700,90.6999969482422
2013-12-20,90.8499984741211,91.379997253418,90.5699996948242,90.7600021362305,524200,90.7600021362305
2013-12-23,91.0299987792969,91.879997253418,90.7900009155273,91.5500030517578,88400,91.5500030517578
