"Fecha","RJF.Open","RJF.High","RJF.Low","RJF.Close","RJF.Volume","RJF.Adjusted"
2013-11-01,30.4333324432373,30.5533332824707,30.1733322143555,30.4333324432373,992850,26.3250885009766
2013-11-04,30.466667175293,30.5,30.1399993896484,30.2133331298828,1027500,26.134786605835
2013-11-05,30.1399993896484,30.3666667938232,29.9599990844727,30.3400001525879,1124100,26.2443542480469
2013-11-06,30.4599990844727,30.5533332824707,30.2333335876465,30.5533332824707,605850,26.4288883209229
2013-11-07,30.6333332061768,30.6666679382324,29.8733329772949,29.9133338928223,901650,25.8752861022949
2013-11-08,29.9799995422363,30.8533325195312,29.9133338928223,30.8400001525879,1005000,26.6768589019775
2013-11-11,30.8933334350586,31.1800003051758,30.5866661071777,30.7999992370605,528150,26.6422576904297
2013-11-12,30.7399997711182,30.7533321380615,30.466667175293,30.6200008392334,590700,26.4865570068359
2013-11-13,30.4266662597656,31.2066669464111,30.2466678619385,31.2000007629395,900300,26.9882659912109
2013-11-14,31.2800006866455,31.2800006866455,30.8666667938232,31.1399993896484,576300,26.9363574981689
2013-11-15,31.2399997711182,31.3266677856445,30.9933338165283,31.2800006866455,532200,27.057466506958
2013-11-18,31.3066673278809,31.3799991607666,31.1066665649414,31.1666679382324,565950,26.9594345092773
2013-11-19,31.1200008392334,31.3799991607666,30.8466663360596,30.9333324432373,689100,26.7575931549072
2013-11-20,30.953332901001,31.466667175293,30.9066677093506,31.3333320617676,753600,27.1036033630371
2013-11-21,31.5200004577637,32.1333312988281,31.2000007629395,32.1333312988281,1519800,27.7956066131592
2013-11-22,32.1333312988281,32.2133331298828,31.8533325195312,32.1733322143555,814350,27.8302001953125
2013-11-25,32.2000007629395,32.5533332824707,32.0733337402344,32.4266662597656,1228350,28.0493392944336
2013-11-26,32.3666687011719,32.466667175293,32.0733337402344,32.1133346557617,855150,27.7783050537109
2013-11-27,32.2200012207031,32.2666664123535,31.8466663360596,32.093334197998,653400,27.7610034942627
2013-11-29,32.1399993896484,32.3866653442383,32.0666656494141,32.1199989318848,474450,27.7840728759766
2013-12-02,32.1533317565918,32.5866661071777,31.9599990844727,32.2866668701172,895350,27.9282379150391
2013-12-03,32.1800003051758,32.3800010681152,31.9266662597656,32.0400009155273,981300,27.7148761749268
2013-12-04,31.8466663360596,32.3333320617676,31.7666664123535,32.2000007629395,983400,27.853271484375
2013-12-05,32.406665802002,32.6666679382324,32.1066665649414,32.3800010681152,1218900,28.0089721679688
2013-12-06,32.6666679382324,32.8600006103516,32.3333320617676,32.5533332824707,1255800,28.1589088439941
