"Fecha","AWK.Open","AWK.High","AWK.Low","AWK.Close","AWK.Volume","AWK.Adjusted"
2013-11-01,43,43.1500015258789,42.560001373291,42.7599983215332,432900,35.1048240661621
2013-11-04,42.75,43.0999984741211,42.6100006103516,43.0099983215332,369600,35.3100624084473
2013-11-05,42.939998626709,45.0900001525879,42.9300003051758,43.2599983215332,752100,35.5153045654297
2013-11-06,43.439998626709,43.5400009155273,43.1699981689453,43.4900016784668,708200,35.7041206359863
2013-11-07,43.5699996948242,44.4900016784668,43.0900001525879,43.3400001525879,729200,35.5809783935547
2013-11-08,43.2000007629395,43.2000007629395,42.1699981689453,42.75,597600,35.0966186523438
2013-11-11,42.75,43.2999992370605,42.5,43.0499992370605,405100,35.3429069519043
2013-11-12,42.8899993896484,42.8899993896484,42.4199981689453,42.6699981689453,752600,35.030933380127
2013-11-13,42.2099990844727,42.5400009155273,42.060001373291,42.4099998474121,676800,35.0474700927734
2013-11-14,42.5400009155273,42.8899993896484,42.5400009155273,42.8699989318848,558600,35.4276008605957
2013-11-15,42.8199996948242,43.3199996948242,42.8199996948242,43.1800003051758,579700,35.6837844848633
2013-11-18,43.3400001525879,43.3600006103516,42.9199981689453,43.0999984741211,418300,35.6176719665527
2013-11-19,43,43.1800003051758,42.4500007629395,42.5900001525879,498700,35.196216583252
2013-11-20,42.5999984741211,42.9000015258789,42.0499992370605,42.060001373291,448200,34.7582244873047
2013-11-21,42.189998626709,42.4099998474121,41.9000015258789,41.9900016784668,816400,34.7003707885742
2013-11-22,42.1199989318848,42.3499984741211,41.7200012207031,42.2099990844727,804800,34.882194519043
2013-11-25,42.2700004577637,42.4599990844727,42.0999984741211,42.2000007629395,500900,34.8739242553711
2013-11-26,42.25,42.25,41.7700004577637,41.9799995422363,662000,34.6921081542969
2013-11-27,42.1100006103516,42.3899993896484,41.8300018310547,42.25,554500,34.9152412414551
2013-11-29,42.2299995422363,42.75,42.2299995422363,42.3499984741211,309100,34.9978790283203
2013-12-02,42.3899993896484,42.5800018310547,41.9199981689453,41.9599990844727,492000,34.6755790710449
2013-12-03,41.810001373291,42.0999984741211,41.3699989318848,41.6699981689453,904300,34.4359321594238
2013-12-04,41.560001373291,41.7099990844727,41.1500015258789,41.6199989318848,941000,34.3945999145508
2013-12-05,41.5499992370605,41.6399993896484,41.0299987792969,41.0499992370605,1240300,33.9235572814941
2013-12-06,41.4799995422363,41.7700004577637,41.1399993896484,41.2599983215332,1393700,34.0971069335938
2013-12-09,41.2400016784668,41.4000015258789,40.8499984741211,41.0999984741211,956800,33.9648857116699
2013-12-10,41.1199989318848,41.1800003051758,40.7700004577637,40.9300003051758,1308800,33.824390411377
2013-12-11,41.060001373291,41.1399993896484,40.3499984741211,40.3600006103516,950800,33.3533515930176
2013-12-12,40.3800010681152,40.8400001525879,40.3800010681152,40.75,747600,33.6756591796875
2013-12-13,40.939998626709,40.939998626709,40.4500007629395,40.7999992370605,895700,33.7169609069824
